,Report_Date,Slovakia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.45642706372301,956.4483579661927,True,1,0.44847197964653734,1649.6268540212518
1,2020-01-23,0,85.45642706372301,956.4483579661927,True,2,0.4951123289829857,1649.6268540212518
2,2020-01-24,0,85.45642706372301,956.4483579661927,True,3,0.5466018117110951,1649.6268540212518
3,2020-01-25,0,85.45642706372301,956.4483579661927,True,4,0.6034442822769898,1649.6268540212518
4,2020-01-26,0,85.45642706372301,956.4483579661927,True,5,0.6661958823047817,1649.6268540212518
5,2020-01-27,0,85.45642706372301,956.4483579661927,True,6,0.7354704521457309,1649.6268540212518
6,2020-01-28,0,85.45642706372301,956.4483579661927,True,7,0.8119454993266291,1649.6268540212518
7,2020-01-29,0,85.45642706372301,956.4483579661927,True,8,0.8963687805110175,1649.6268540212518
8,2020-01-30,0,85.45642706372301,956.4483579661927,True,9,0.9895655591889079,1649.6268540212518
9,2020-01-31,0,85.45642706372301,956.4483579661927,True,10,1.0924466074330688,1649.6268540212518
10,2020-02-01,0,85.45642706372301,956.4483579661927,True,11,1.2060170267433066,1649.6268540212518
11,2020-02-02,0,85.45642706372301,956.4483579661927,True,12,1.3313859702864146,1649.6268540212518
12,2020-02-03,0,85.45642706372301,956.4483579661927,True,13,1.4697773567714174,1649.6268540212518
13,2020-02-04,0,85.45642706372301,956.4483579661927,True,14,1.6225416748203128,1649.6268540212518
14,2020-02-05,0,85.45642706372301,956.4483579661927,True,15,1.7911689860460145,1649.6268540212518
15,2020-02-06,0,85.45642706372301,956.4483579661927,True,16,1.9773032451719892,1649.6268540212518
16,2020-02-07,0,85.45642706372301,956.4483579661927,True,17,2.182758066459235,1649.6268540212518
17,2020-02-08,0,85.45642706372301,956.4483579661927,True,18,2.4095340774774376,1649.6268540212518
18,2020-02-09,0,85.45642706372301,956.4483579661927,True,19,2.6598380138924327,1649.6268540212518
19,2020-02-10,0,85.45642706372301,956.4483579661927,True,20,2.936103722454573,1649.6268540212518
20,2020-02-11,0,85.45642706372301,956.4483579661927,True,21,3.241015253760797,1649.6268540212518
21,2020-02-12,0,85.45642706372301,956.4483579661927,True,22,3.577532241606047,1649.6268540212518
22,2020-02-13,0,85.45642706372301,956.4483579661927,True,23,3.948917781790897,1649.6268540212518
23,2020-02-14,0,85.45642706372301,956.4483579661927,True,24,4.358769040032627,1649.6268540212518
24,2020-02-15,0,85.45642706372301,956.4483579661927,True,25,4.811050836016059,1649.6268540212518
25,2020-02-16,0,85.45642706372301,956.4483579661927,True,26,5.31013246844522,1649.6268540212518
26,2020-02-17,0,85.45642706372301,956.4483579661927,True,27,5.86082806397882,1649.6268540212518
27,2020-02-18,0,85.45642706372301,956.4483579661927,True,28,6.468440750832038,1649.6268540212518
28,2020-02-19,0,85.45642706372301,956.4483579661927,True,29,7.138810975184377,1649.6268540212518
29,2020-02-20,0,85.45642706372301,956.4483579661927,True,30,7.878369294805822,1649.6268540212518
30,2020-02-21,0,85.45642706372301,956.4483579661927,True,31,8.694193998809341,1649.6268540212518
31,2020-02-22,0,85.45642706372301,956.4483579661927,True,32,9.59407391428416,1649.6268540212518
32,2020-02-23,0,85.45642706372301,956.4483579661927,True,33,10.586576768670854,1649.6268540212518
33,2020-02-24,0,85.45642706372301,956.4483579661927,True,34,11.68112347975554,1649.6268540212518
34,2020-02-25,0,85.45642706372301,956.4483579661927,True,35,12.888068741426245,1649.6268540212518
35,2020-02-26,0,85.45642706372301,956.4483579661927,True,36,14.21878826082507,1649.6268540212518
36,2020-02-27,0,85.45642706372301,956.4483579661927,True,37,15.685772978792851,1649.6268540212518
37,2020-02-28,0,85.45642706372301,956.4483579661927,True,38,17.302730567590125,1649.6268540212518
38,2020-02-29,0,85.45642706372301,956.4483579661927,True,39,19.084694444269864,1649.6268540212518
39,2020-03-01,0,85.45642706372301,956.4483579661927,True,40,21.048140460606195,1649.6268540212518
40,2020-03-02,0,85.45642706372301,956.4483579661927,True,41,23.211111326253846,1649.6268540212518
41,2020-03-03,0,85.45642706372301,956.4483579661927,True,42,25.593348685126486,1649.6268540212518
42,2020-03-04,0,85.45642706372301,956.4483579661927,True,43,28.21643258927417,1649.6268540212518
43,2020-03-05,0,85.45642706372301,956.4483579661927,True,44,31.103927892332973,1649.6268540212518
44,2020-03-06,1,85.45642706372301,956.4483579661927,True,45,34.28153680751345,1649.6268540212518
45,2020-03-07,1,85.45642706372301,956.4483579661927,True,46,37.777256533806785,1649.6268540212518
46,2020-03-08,3,85.45642706372301,956.4483579661927,True,47,41.62154043856275,1649.6268540212518
47,2020-03-09,3,85.45642706372301,956.4483579661927,True,48,45.84746078422757,1649.6268540212518
48,2020-03-10,7,85.45642706372301,956.4483579661927,True,49,50.49087039102256,1649.6268540212518
