,Report_Date,Canada_newfoundland and labrador_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,69.00334514209584,131.69691336105257,True,1,0.003112151395292906,263.3911898684698
1,2020-01-23,0,0,69.00334514209584,131.69691336105257,True,2,0.00367722360447426,263.3911898684698
2,2020-01-24,0,0,69.00334514209584,131.69691336105257,True,3,0.004344894078890815,263.3911898684698
3,2020-01-25,0,0,69.00334514209584,131.69691336105257,True,4,0.005133790570947957,263.3911898684698
4,2020-01-26,0,0,69.00334514209584,131.69691336105257,True,5,0.006065922624294817,263.3911898684698
5,2020-01-27,0,0,69.00334514209584,131.69691336105257,True,6,0.007167295418824771,263.3911898684698
6,2020-01-28,0,0,69.00334514209584,131.69691336105257,True,7,0.008468634995935382,263.3911898684698
7,2020-01-29,0,0,69.00334514209584,131.69691336105257,True,8,0.01000624505714353,263.3911898684698
8,2020-01-30,0,0,69.00334514209584,131.69691336105257,True,9,0.011823019183594336,263.3911898684698
9,2020-01-31,0,0,69.00334514209584,131.69691336105257,True,10,0.013969636637214585,263.3911898684698
10,2020-02-01,0,0,69.00334514209584,131.69691336105257,True,11,0.016505974993968057,263.3911898684698
11,2020-02-02,0,0,69.00334514209584,131.69691336105257,True,12,0.019502778864222896,263.3911898684698
12,2020-02-03,0,0,69.00334514209584,131.69691336105257,True,13,0.02304363103707062,263.3911898684698
13,2020-02-04,0,0,69.00334514209584,131.69691336105257,True,14,0.0272272807350101,263.3911898684698
14,2020-02-05,0,0,69.00334514209584,131.69691336105257,True,15,0.032170393505750745,263.3911898684698
15,2020-02-06,0,0,69.00334514209584,131.69691336105257,True,16,0.03801079886968202,263.3911898684698
16,2020-02-07,0,0,69.00334514209584,131.69691336105257,True,17,0.044911325488878016,263.3911898684698
17,2020-02-08,0,0,69.00334514209584,131.69691336105257,True,18,0.05306432968013561,263.3911898684698
18,2020-02-09,0,0,69.00334514209584,131.69691336105257,True,19,0.0626970419708417,263.3911898684698
19,2020-02-10,0,0,69.00334514209584,131.69691336105257,True,20,0.0740778785666105,263.3911898684698
20,2020-02-11,0,0,69.00334514209584,131.69691336105257,True,21,0.08752389060903354,263.3911898684698
