,Report_Date,Saint Lucia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.31017248078136,15.093703248809154,True,1,0.00035173277301054305,25.25909870278771
1,2020-01-23,0,75.31017248078136,15.093703248809154,True,2,0.00040983032783928537,25.25909870278771
2,2020-01-24,0,75.31017248078136,15.093703248809154,True,3,0.00047752401001911076,25.25909870278771
3,2020-01-25,0,75.31017248078136,15.093703248809154,True,4,0.0005563987830884096,25.25909870278771
4,2020-01-26,0,75.31017248078136,15.093703248809154,True,5,0.0006483013748383505,25.25909870278771
5,2020-01-27,0,75.31017248078136,15.093703248809154,True,6,0.0007553835019784186,25.25909870278771
6,2020-01-28,0,75.31017248078136,15.093703248809154,True,7,0.0008801522299308636,25.25909870278771
7,2020-01-29,0,75.31017248078136,15.093703248809154,True,8,0.0010255286446671412,25.25909870278771
8,2020-01-30,0,75.31017248078136,15.093703248809154,True,9,0.0011949162073091628,25.25909870278771
9,2020-01-31,0,75.31017248078136,15.093703248809154,True,10,0.0013922803878300642,25.25909870278771
10,2020-02-01,0,75.31017248078136,15.093703248809154,True,11,0.0016222414367809209,25.25909870278771
11,2020-02-02,0,75.31017248078136,15.093703248809154,True,12,0.0018901824595473082,25.25909870278771
12,2020-02-03,0,75.31017248078136,15.093703248809154,True,13,0.0022023753131644157,25.25909870278771
13,2020-02-04,0,75.31017248078136,15.093703248809154,True,14,0.0025661272592533086,25.25909870278771
14,2020-02-05,0,75.31017248078136,15.093703248809154,True,15,0.0029899517875102296,25.25909870278771
15,2020-02-06,0,75.31017248078136,15.093703248809154,True,16,0.00348376758316106,25.25909870278771
16,2020-02-07,0,75.31017248078136,15.093703248809154,True,17,0.0040591302613160124,25.25909870278771
17,2020-02-08,0,75.31017248078136,15.093703248809154,True,18,0.004729502245542796,25.25909870278771
18,2020-02-09,0,75.31017248078136,15.093703248809154,True,19,0.005510567043675017,25.25909870278771
19,2020-02-10,0,75.31017248078136,15.093703248809154,True,20,0.006420595189751361,25.25909870278771
20,2020-02-11,0,75.31017248078136,15.093703248809154,True,21,0.00748087029860339,25.25909870278771
21,2020-02-12,0,75.31017248078136,15.093703248809154,True,22,0.008716185043535156,25.25909870278771
22,2020-02-13,0,75.31017248078136,15.093703248809154,True,23,0.010155418445615768,25.25909870278771
23,2020-02-14,0,75.31017248078136,15.093703248809154,True,24,0.011832207686749691,25.25909870278771
24,2020-02-15,0,75.31017248078136,15.093703248809154,True,25,0.013785729763097013,25.25909870278771
25,2020-02-16,0,75.31017248078136,15.093703248809154,True,26,0.016061610719702024,25.25909870278771
26,2020-02-17,0,75.31017248078136,15.093703248809154,True,27,0.018712982994364594,25.25909870278771
27,2020-02-18,0,75.31017248078136,15.093703248809154,True,28,0.021801714595509877,25.25909870278771
28,2020-02-19,0,75.31017248078136,15.093703248809154,True,29,0.025399837494766177,25.25909870278771
29,2020-02-20,0,75.31017248078136,15.093703248809154,True,30,0.029591206781754822,25.25909870278771
30,2020-02-21,0,75.31017248078136,15.093703248809154,True,31,0.03447342685788607,25.25909870278771
31,2020-02-22,0,75.31017248078136,15.093703248809154,True,32,0.04016008628655245,25.25909870278771
32,2020-02-23,0,75.31017248078136,15.093703248809154,True,33,0.04678334891061955,25.25909870278771
33,2020-02-24,0,75.31017248078136,15.093703248809154,True,34,0.05449695552257281,25.25909870278771
34,2020-02-25,0,75.31017248078136,15.093703248809154,True,35,0.06347969773346712,25.25909870278771
35,2020-02-26,0,75.31017248078136,15.093703248809154,True,36,0.0739394337038732,25.25909870278771
36,2020-02-27,0,75.31017248078136,15.093703248809154,True,37,0.08611772399007547,25.25909870278771
37,2020-02-28,0,75.31017248078136,15.093703248809154,True,38,0.10029517476114987,25.25909870278771
38,2020-02-29,0,75.31017248078136,15.093703248809154,True,39,0.11679758478624881,25.25909870278771
39,2020-03-01,0,75.31017248078136,15.093703248809154,True,40,0.1360030014512631,25.25909870278771
40,2020-03-02,0,75.31017248078136,15.093703248809154,True,41,0.1583497990026711,25.25909870278771
41,2020-03-03,0,75.31017248078136,15.093703248809154,True,42,0.1843458983087552,25.25909870278771
42,2020-03-04,0,75.31017248078136,15.093703248809154,True,43,0.21457925036478773,25.25909870278771
43,2020-03-05,0,75.31017248078136,15.093703248809154,True,44,0.2497297037328784,25.25909870278771
44,2020-03-06,0,75.31017248078136,15.093703248809154,True,45,0.29058236662557985,25.25909870278771
45,2020-03-07,0,75.31017248078136,15.093703248809154,True,46,0.3380425541052439,25.25909870278771
46,2020-03-08,0,75.31017248078136,15.093703248809154,True,47,0.39315237552650056,25.25909870278771
47,2020-03-09,0,75.31017248078136,15.093703248809154,True,48,0.4571089612815367,25.25909870278771
48,2020-03-10,0,75.31017248078136,15.093703248809154,True,49,0.5312842440238934,25.25909870278771
49,2020-03-11,0,75.31017248078136,15.093703248809154,True,50,0.6172460891115851,25.25909870278771
50,2020-03-12,0,75.31017248078136,15.093703248809154,True,51,0.7167804016073598,25.25909870278771
51,2020-03-13,0,75.31017248078136,15.093703248809154,True,52,0.8319136109013329,25.25909870278771
52,2020-03-14,1,75.31017248078136,15.093703248809154,True,53,0.9649346361035052,25.25909870278771
53,2020-03-15,2,75.31017248078136,15.093703248809154,True,54,1.1184150534110913,25.25909870278771
54,2020-03-16,2,75.31017248078136,15.093703248809154,True,55,1.2952257109596685,25.25909870278771
55,2020-03-17,2,75.31017248078136,15.093703248809154,True,56,1.4985474637794383,25.25909870278771
