,Report_Date,Benin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
51,2020-03-13,0,0,101.162003029913,130.12445290897668,True,52,0.9636355194728936,256.37514188507924
52,2020-03-14,0,0,101.162003029913,130.12445290897668,True,53,1.0793062299703613,256.37514188507924
53,2020-03-15,0,0,101.162003029913,130.12445290897668,True,54,1.2087968301619763,256.37514188507924
54,2020-03-16,1,1,101.162003029913,130.12445290897668,True,55,1.3537420162313911,256.37514188507924
55,2020-03-17,1,1,101.162003029913,130.12445290897668,True,56,1.5159656696527706,256.37514188507924
56,2020-03-18,2,2,101.162003029913,130.12445290897668,True,57,1.6975016909751812,256.37514188507924
57,2020-03-19,2,2,101.162003029913,130.12445290897668,True,58,1.9006168564425014,256.37514188507924
58,2020-03-20,2,2,101.162003029913,130.12445290897668,True,59,2.127835822458944,256.37514188507924
59,2020-03-21,2,2,101.162003029913,130.12445290897668,True,60,2.38196838998484,256.37514188507924
60,2020-03-22,2,2,101.162003029913,130.12445290897668,True,61,2.6661391202343037,256.37514188507924
61,2020-03-23,5,5,101.162003029913,130.12445290897668,True,62,2.983819362368547,256.37514188507924
62,2020-03-24,6,6,101.162003029913,130.12445290897668,True,63,3.3388617106111225,256.37514188507924
63,2020-03-25,6,6,101.162003029913,130.12445290897668,True,64,3.7355368492268863,256.37514188507924
64,2020-03-26,6,6,101.162003029913,130.12445290897668,True,65,4.178572665429268,256.37514188507924
65,2020-03-27,6,6,101.162003029913,130.12445290897668,True,66,4.673195408257579,256.37514188507924
66,2020-03-28,6,6,101.162003029913,130.12445290897668,True,67,5.225172540970317,256.37514188507924
67,2020-03-29,6,6,101.162003029913,130.12445290897668,True,68,5.840856770182281,256.37514188507924
68,2020-03-30,6,6,101.162003029913,130.12445290897668,True,69,6.527230531087581,256.37514188507924
69,2020-03-31,9,8,101.162003029913,130.12445290897668,True,70,7.291949958750463,256.37514188507924
70,2020-04-01,13,12,101.162003029913,130.12445290897668,True,71,8.143387074924615,256.37514188507924
71,2020-04-02,13,12,101.162003029913,130.12445290897668,True,72,9.090668563293889,256.37514188507924
72,2020-04-03,16,14,101.162003029913,130.12445290897668,True,73,10.143709090164789,256.37514188507924
73,2020-04-04,16,14,101.162003029913,130.12445290897668,True,74,11.31323665202789,256.37514188507924
74,2020-04-05,22,17,101.162003029913,130.12445290897668,True,75,12.610806899908404,256.37514188507924
75,2020-04-06,26,20,101.162003029913,130.12445290897668,True,76,14.048802813188065,256.37514188507924
76,2020-04-07,26,20,101.162003029913,130.12445290897668,True,77,15.64041549139488,256.37514188507924
77,2020-04-08,26,20,101.162003029913,130.12445290897668,True,78,17.399601231529296,256.37514188507924
78,2020-04-09,26,20,101.162003029913,130.12445290897668,True,79,19.341009505404177,256.37514188507924
79,2020-04-10,35,29,101.162003029913,130.12445290897668,True,80,21.479876008063393,256.37514188507924
80,2020-04-11,35,29,101.162003029913,130.12445290897668,True,81,23.83187469600007,256.37514188507924
81,2020-04-12,35,29,101.162003029913,130.12445290897668,True,82,26.412922774498792,256.37514188507924
82,2020-04-13,35,29,101.162003029913,130.12445290897668,True,83,29.238933047908333,256.37514188507924
83,2020-04-14,35,16,101.162003029913,130.12445290897668,True,84,32.32550904991371,256.37514188507924
84,2020-04-15,35,16,101.162003029913,130.12445290897668,True,85,35.687580061645384,256.37514188507924
85,2020-04-16,35,16,101.162003029913,130.12445290897668,True,86,39.33897562979212,256.37514188507924
86,2020-04-17,35,16,101.162003029913,130.12445290897668,True,87,43.291942604492775,256.37514188507924
87,2020-04-18,35,16,101.162003029913,130.12445290897668,True,88,47.55661205052828,256.37514188507924
88,2020-04-19,35,16,101.162003029913,130.12445290897668,True,89,52.140428565873826,256.37514188507924
89,2020-04-20,54,26,101.162003029913,130.12445290897668,True,90,57.04756035177985,256.37514188507924
90,2020-04-21,54,26,101.162003029913,130.12445290897668,True,91,62.278314434474616,256.37514188507924
91,2020-04-22,54,26,101.162003029913,130.12445290897668,True,92,67.82858717825603,256.37514188507924
92,2020-04-23,54,26,101.162003029913,130.12445290897668,True,93,73.68938492922504,256.37514188507924
93,2020-04-24,54,26,101.162003029913,130.12445290897668,True,94,79.84645245697573,256.37514188507924
94,2020-04-25,54,26,101.162003029913,130.12445290897668,True,95,86.28004697771841,256.37514188507924
95,2020-04-26,64,30,101.162003029913,130.12445290897668,True,96,92.96489223435748,256.37514188507924
96,2020-04-27,64,30,101.162003029913,130.12445290897668,True,97,99.87033995380843,256.37514188507924
97,2020-04-28,64,30,101.162003029913,130.12445290897668,True,98,106.9607550198792,256.37514188507924
98,2020-04-29,64,30,101.162003029913,130.12445290897668,True,99,114.19612646548477,256.37514188507924
99,2020-04-30,64,30,101.162003029913,130.12445290897668,True,100,121.53289005386252,256.37514188507924
100,2020-05-01,90,46,101.162003029913,130.12445290897668,True,101,128.9249314294313,256.37514188507924
101,2020-05-02,90,46,101.162003029913,130.12445290897668,True,102,136.3247235063681,256.37514188507924
102,2020-05-03,90,46,101.162003029913,130.12445290897668,True,103,143.68453984937508,256.37514188507924
103,2020-05-04,96,44,101.162003029913,130.12445290897668,True,104,150.9576788696714,256.37514188507924
104,2020-05-05,96,44,101.162003029913,130.12445290897668,True,105,158.09963266215303,256.37514188507924
105,2020-05-06,96,44,101.162003029913,130.12445290897668,True,106,165.06913938565546,256.37514188507924
106,2020-05-07,140,85,101.162003029913,130.12445290897668,True,107,171.82906853562994,256.37514188507924
107,2020-05-08,242,178,101.162003029913,130.12445290897668,True,108,178.3471028706191,256.37514188507924
108,2020-05-09,284,220,101.162003029913,130.12445290897668,True,109,184.59619728224482,256.37514188507924
109,2020-05-10,319,255,101.162003029913,130.12445290897668,True,110,190.55481157906516,256.37514188507924
110,2020-05-11,319,255,101.162003029913,130.12445290897668,True,111,196.20692922242745,256.37514188507924
111,2020-05-12,327,249,101.162003029913,130.12445290897668,True,112,201.54188617958337,256.37514188507924
112,2020-05-13,327,242,101.162003029913,130.12445290897668,True,113,206.55404248187313,256.37514188507924
113,2020-05-14,339,254,101.162003029913,130.12445290897668,True,114,211.2423336025019,256.37514188507924
114,2020-05-15,339,254,101.162003029913,130.12445290897668,True,115,215.60973969433232,256.37514188507924
115,2020-05-16,339,254,101.162003029913,130.12445290897668,True,116,219.66270868978336,256.37514188507924
116,2020-05-17,339,254,101.162003029913,130.12445290897668,True,117,223.4105650779199,256.37514188507924
117,2020-05-18,339,254,101.162003029913,130.12445290897668,True,118,226.86493068519695,256.37514188507924
118,2020-05-19,130,45,101.162003029913,130.12445290897668,True,119,230.03917776283092,256.37514188507924
119,2020-05-20,130,71,101.162003029913,130.12445290897668,True,120,232.94792874339458,256.37514188507924
120,2020-05-21,135,71,101.162003029913,130.12445290897668,True,121,235.60661161333783,256.37514188507924
121,2020-05-22,135,71,101.162003029913,130.12445290897668,True,122,238.0310752253629,256.37514188507924
122,2020-05-23,135,71,101.162003029913,130.12445290897668,True,123,240.23726516520964,256.37514188507924
123,2020-05-24,191,106,101.162003029913,130.12445290897668,True,124,242.24095799767647,256.37514188507924
124,2020-05-25,191,104,101.162003029913,130.12445290897668,True,125,244.05754977493459,256.37514188507924
125,2020-05-26,208,87,101.162003029913,130.12445290897668,True,126,245.70189347915152,256.37514188507924
126,2020-05-27,210,73,101.162003029913,130.12445290897668,True,127,247.1881794543704,256.37514188507924
127,2020-05-28,210,73,101.162003029913,130.12445290897668,True,128,248.52985272195093,256.37514188507924
