,Report_Date,Benin_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,101.162003029913,130.12445290897668,True,1,0.002916149051381399,256.37514188507924
1,2020-01-23,0,0,101.162003029913,130.12445290897668,True,2,0.003267644513966969,256.37514188507924
2,2020-01-24,0,0,101.162003029913,130.12445290897668,True,3,0.003661506577086139,256.37514188507924
3,2020-01-25,0,0,101.162003029913,130.12445290897668,True,4,0.004102841637490644,256.37514188507924
4,2020-01-26,0,0,101.162003029913,130.12445290897668,True,5,0.004597371521011852,256.37514188507924
5,2020-01-27,0,0,101.162003029913,130.12445290897668,True,6,0.005151507644860592,256.37514188507924
6,2020-01-28,0,0,101.162003029913,130.12445290897668,True,7,0.005772434114313122,256.37514188507924
7,2020-01-29,0,0,101.162003029913,130.12445290897668,True,8,0.006468200829464934,256.37514188507924
8,2020-01-30,0,0,101.162003029913,130.12445290897668,True,9,0.007247827807077663,256.37514188507924
9,2020-01-31,0,0,101.162003029913,130.12445290897668,True,10,0.008121422067398229,256.37514188507924
10,2020-02-01,0,0,101.162003029913,130.12445290897668,True,11,0.009100308598042282,256.37514188507924
11,2020-02-02,0,0,101.162003029913,130.12445290897668,True,12,0.01019717708867286,256.37514188507924
12,2020-02-03,0,0,101.162003029913,130.12445290897668,True,13,0.011426246333579086,256.37514188507924
13,2020-02-04,0,0,101.162003029913,130.12445290897668,True,14,0.012803448426947773,256.37514188507924
14,2020-02-05,0,0,101.162003029913,130.12445290897668,True,15,0.014346635130503094,256.37514188507924
15,2020-02-06,0,0,101.162003029913,130.12445290897668,True,16,0.016075809078479473,256.37514188507924
16,2020-02-07,0,0,101.162003029913,130.12445290897668,True,17,0.01801338280417599,256.37514188507924
17,2020-02-08,0,0,101.162003029913,130.12445290897668,True,18,0.020184468929613144,256.37514188507924
18,2020-02-09,0,0,101.162003029913,130.12445290897668,True,19,0.022617205259527394,256.37514188507924
19,2020-02-10,0,0,101.162003029913,130.12445290897668,True,20,0.025343118968053028,256.37514188507924
20,2020-02-11,0,0,101.162003029913,130.12445290897668,True,21,0.028397534566467826,256.37514188507924
21,2020-02-12,0,0,101.162003029913,130.12445290897668,True,22,0.03182003089944796,256.37514188507924
22,2020-02-13,0,0,101.162003029913,130.12445290897668,True,23,0.035654953042190345,256.37514188507924
23,2020-02-14,0,0,101.162003029913,130.12445290897668,True,24,0.03995198566906092,256.37514188507924
24,2020-02-15,0,0,101.162003029913,130.12445290897668,True,25,0.044766795244467646,256.37514188507924
25,2020-02-16,0,0,101.162003029913,130.12445290897668,True,26,0.050161749257669856,256.37514188507924
26,2020-02-17,0,0,101.162003029913,130.12445290897668,True,27,0.05620672169541001,256.37514188507924
27,2020-02-18,0,0,101.162003029913,130.12445290897668,True,28,0.06297999503081039,256.37514188507924
28,2020-02-19,0,0,101.162003029913,130.12445290897668,True,29,0.07056927021623786,256.37514188507924
29,2020-02-20,0,0,101.162003029913,130.12445290897668,True,30,0.07907279751530832,256.37514188507924
30,2020-02-21,0,0,101.162003029913,130.12445290897668,True,31,0.08860064250961389,256.37514188507924
31,2020-02-22,0,0,101.162003029913,130.12445290897668,True,32,0.09927610328514205,256.37514188507924
32,2020-02-23,0,0,101.162003029913,130.12445290897668,True,33,0.11123729665907044,256.37514188507924
33,2020-02-24,0,0,101.162003029913,130.12445290897668,True,34,0.12463893336834274,256.37514188507924
34,2020-02-25,0,0,101.162003029913,130.12445290897668,True,35,0.13965430442714727,256.37514188507924
35,2020-02-26,0,0,101.162003029913,130.12445290897668,True,36,0.15647750339232427,256.37514188507924
36,2020-02-27,0,0,101.162003029913,130.12445290897668,True,37,0.17532591207608725,256.37514188507924
37,2020-02-28,0,0,101.162003029913,130.12445290897668,True,38,0.1964429803373537,256.37514188507924
38,2020-02-29,0,0,101.162003029913,130.12445290897668,True,39,0.220101333989974,256.37514188507924
39,2020-03-01,0,0,101.162003029913,130.12445290897668,True,40,0.2466062486117475,256.37514188507924
40,2020-03-02,0,0,101.162003029913,130.12445290897668,True,41,0.2762995311450096,256.37514188507924
41,2020-03-03,0,0,101.162003029913,130.12445290897668,True,42,0.3095638556687535,256.37514188507924
42,2020-03-04,0,0,101.162003029913,130.12445290897668,True,43,0.34682760461160594,256.37514188507924
43,2020-03-05,0,0,101.162003029913,130.12445290897668,True,44,0.3885702719776399,256.37514188507924
44,2020-03-06,0,0,101.162003029913,130.12445290897668,True,45,0.4353284908790778,256.37514188507924
45,2020-03-07,0,0,101.162003029913,130.12445290897668,True,46,0.4877027538075726,256.37514188507924
46,2020-03-08,0,0,101.162003029913,130.12445290897668,True,47,0.5463649006115129,256.37514188507924
47,2020-03-09,0,0,101.162003029913,130.12445290897668,True,48,0.6120664560447876,256.37514188507924
48,2020-03-10,0,0,101.162003029913,130.12445290897668,True,49,0.6856479059525195,256.37514188507924
49,2020-03-11,0,0,101.162003029913,130.12445290897668,True,50,0.7680490085693806,256.37514188507924
50,2020-03-12,0,0,101.162003029913,130.12445290897668,True,51,0.8603202448930206,256.37514188507924
