,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,active_patients,fastest_growth_day,growth_stabilized,current_day,cap
6,2020-01-28,-2.2612579543656244,-70.92583063737797,69.27550720052189,0.0,2.2851540743279884e-41,4.3183665425470083e-41,-0.03369287500315199,-75.5687982703191,76.22691442355371,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
7,2020-01-29,-3.1959831663575584,-67.9993032216308,66.30885326252566,0.0,3.1240408951309175e-39,5.682081684299201e-39,-0.8423641597004341,-71.62271969855036,71.46542636618202,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
8,2020-01-30,-1.4062698965816822,-67.13777347188176,68.05615936586953,0.0,2.3912605718307563e-37,4.204978097149616e-37,1.4356833279034786,-74.44795273357218,77.00632447253447,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
9,2020-01-31,3.779345555322566,-71.46004700752349,69.39043278351849,0.0,1.1583558486669802e-35,1.976379979695317e-35,8.153488361729726,-70.13493817334158,83.5035705207432,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
10,2020-02-01,4.706980106578628,-63.54112732178551,77.54608805260212,0.0,3.875292435420107e-34,6.433909596229347e-34,9.340633966909857,-65.67021887382968,86.56512753644174,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
11,2020-02-02,9.034476060848553,-58.05914463531671,81.05726715654328,0.0,9.550578756799609e-33,1.546588154687088e-32,13.691979294843858,-62.26304095168844,91.22628215284593,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
12,2020-02-03,9.469801796396377,-57.09232977747073,76.42419946009942,0.0,1.8209280140402946e-31,2.8819025179961138e-31,14.523127586634125,-62.82195863224794,83.87841998531016,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
13,2020-02-04,-1.2790282884579112,-67.32738537320944,73.93684906263695,0.0,2.7901737873355824e-30,4.323123585132987e-30,1.6700054015198615,-72.87620773455797,78.25327378355816,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
14,2020-02-05,-2.1664227310404067,-73.23030081145072,69.35014072981541,0.0,3.541236857153829e-29,5.379447244138794e-29,0.9224487882131944,-75.57365419962045,75.1112373832262,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
15,2020-02-06,-0.3271581854252661,-65.39418988864257,69.57405984254252,0.0,3.814454838771443e-28,5.688340973380594e-28,3.2636821586761053,-68.78661974495336,74.14740317777473,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
16,2020-02-07,4.910327219305279,-69.48920905203784,74.22389604303069,0.0,3.5571988116298256e-27,5.2133717607867285e-27,10.046805437635996,-70.51947473686056,84.52459281608967,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
17,2020-02-08,5.892252309534564,-67.98729456791683,70.98794523572394,0.0,2.9197298515520726e-26,4.2096102328620806e-26,11.30146391937609,-59.93748491809335,85.79045253283503,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
18,2020-02-09,10.276565116309277,-52.00855471545138,78.43112470195504,0.0,2.138623574434212e-25,3.0360352890768374e-25,15.722580107621617,-54.80250096798139,87.78232498798505,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
19,2020-02-10,10.771343639035143,-52.122339485312324,80.073934825133,0.0,1.4143528270880084e-24,1.9785571278454e-24,16.62582163720686,-58.30650709753961,89.51197074756568,2020-05-28,0.0,101.16200302991301,True,128,256.37514188507924
