,Report_Date,Bulgaria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.02664125969537,1343.0194062458336,True,1,2.4591640374885797,2235.0795060834193
1,2020-01-23,0,97.02664125969537,1343.0194062458336,True,2,2.6448055544913043,2235.0795060834193
2,2020-01-24,0,97.02664125969537,1343.0194062458336,True,3,2.844446236931605,2235.0795060834193
3,2020-01-25,0,97.02664125969537,1343.0194062458336,True,4,3.0591394303875608,2235.0795060834193
4,2020-01-26,0,97.02664125969537,1343.0194062458336,True,5,3.2900173733606435,2235.0795060834193
5,2020-01-27,0,97.02664125969537,1343.0194062458336,True,6,3.538297049060425,2235.0795060834193
6,2020-01-28,0,97.02664125969537,1343.0194062458336,True,7,3.8052864622782456,2235.0795060834193
7,2020-01-29,0,97.02664125969537,1343.0194062458336,True,8,4.092391370816134,2235.0795060834193
8,2020-01-30,0,97.02664125969537,1343.0194062458336,True,9,4.401122502753758,2235.0795060834193
9,2020-01-31,0,97.02664125969537,1343.0194062458336,True,10,4.73310329272717,2235.0795060834193
10,2020-02-01,0,97.02664125969537,1343.0194062458336,True,11,5.090078172354739,2235.0795060834193
11,2020-02-02,0,97.02664125969537,1343.0194062458336,True,12,5.473921451972293,2235.0795060834193
12,2020-02-03,0,97.02664125969537,1343.0194062458336,True,13,5.8866468329238835,2235.0795060834193
13,2020-02-04,0,97.02664125969537,1343.0194062458336,True,14,6.330417591786281,2235.0795060834193
14,2020-02-05,0,97.02664125969537,1343.0194062458336,True,15,6.807557480072165,2235.0795060834193
15,2020-02-06,0,97.02664125969537,1343.0194062458336,True,16,7.320562385142356,2235.0795060834193
16,2020-02-07,0,97.02664125969537,1343.0194062458336,True,17,7.872112800241797,2235.0795060834193
17,2020-02-08,0,97.02664125969537,1343.0194062458336,True,18,8.465087153732473,2235.0795060834193
18,2020-02-09,0,97.02664125969537,1343.0194062458336,True,19,9.102576049699595,2235.0795060834193
19,2020-02-10,0,97.02664125969537,1343.0194062458336,True,20,9.787897474118964,2235.0795060834193
20,2020-02-11,0,97.02664125969537,1343.0194062458336,True,21,10.524613022650566,2235.0795060834193
21,2020-02-12,0,97.02664125969537,1343.0194062458336,True,22,11.316545207814958,2235.0795060834193
22,2020-02-13,0,97.02664125969537,1343.0194062458336,True,23,12.167795904754417,2235.0795060834193
23,2020-02-14,0,97.02664125969537,1343.0194062458336,True,24,13.082765995908439,2235.0795060834193
24,2020-02-15,0,97.02664125969537,1343.0194062458336,True,25,14.066176275660025,2235.0795060834193
25,2020-02-16,0,97.02664125969537,1343.0194062458336,True,26,15.123089676237328,2235.0795060834193
26,2020-02-17,0,97.02664125969537,1343.0194062458336,True,27,16.258934875771335,2235.0795060834193
27,2020-02-18,0,97.02664125969537,1343.0194062458336,True,28,17.4795313482837,2235.0795060834193
28,2020-02-19,0,97.02664125969537,1343.0194062458336,True,29,18.791115913357782,2235.0795060834193
29,2020-02-20,0,97.02664125969537,1343.0194062458336,True,30,20.200370840157245,2235.0795060834193
30,2020-02-21,0,97.02664125969537,1343.0194062458336,True,31,21.714453556101667,2235.0795060834193
31,2020-02-22,0,97.02664125969537,1343.0194062458336,True,32,23.341028004660902,2235.0795060834193
32,2020-02-23,0,97.02664125969537,1343.0194062458336,True,33,25.088297689133064,2235.0795060834193
33,2020-02-24,0,97.02664125969537,1343.0194062458336,True,34,26.96504042963527,2235.0795060834193
34,2020-02-25,0,97.02664125969537,1343.0194062458336,True,35,28.98064484853462,2235.0795060834193
35,2020-02-26,0,97.02664125969537,1343.0194062458336,True,36,31.145148584815743,2235.0795060834193
36,2020-02-27,0,97.02664125969537,1343.0194062458336,True,37,33.4692782200135,2235.0795060834193
37,2020-02-28,0,97.02664125969537,1343.0194062458336,True,38,35.964490876886416,2235.0795060834193
38,2020-02-29,0,97.02664125969537,1343.0194062458336,True,39,38.64301742647315,2235.0795060834193
39,2020-03-01,0,97.02664125969537,1343.0194062458336,True,40,41.51790720902385,2235.0795060834193
40,2020-03-02,0,97.02664125969537,1343.0194062458336,True,41,44.60307413894421,2235.0795060834193
41,2020-03-03,0,97.02664125969537,1343.0194062458336,True,42,47.91334402271027,2235.0795060834193
42,2020-03-04,0,97.02664125969537,1343.0194062458336,True,43,51.464502871042974,2235.0795060834193
