,Report_Date,Taiwan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,62.9137436977909,207.17853759097082,True,1,0.023808566452987772,411.74511827428523
1,2020-01-23,1,62.9137436977909,207.17853759097082,True,2,0.027875413206641945,411.74511827428523
2,2020-01-24,3,62.9137436977909,207.17853759097082,True,3,0.03263688135886792,411.74511827428523
3,2020-01-25,3,62.9137436977909,207.17853759097082,True,4,0.038211592633473644,411.74511827428523
4,2020-01-26,4,62.9137436977909,207.17853759097082,True,5,0.04473841847259108,411.74511827428523
5,2020-01-27,5,62.9137436977909,207.17853759097082,True,6,0.052379934043181434,411.74511827428523
6,2020-01-28,8,62.9137436977909,207.17853759097082,True,7,0.06132646036112904,411.74511827428523
7,2020-01-29,8,62.9137436977909,207.17853759097082,True,8,0.07180079428868705,411.74511827428523
8,2020-01-30,9,62.9137436977909,207.17853759097082,True,9,0.08406374293901962,411.74511827428523
9,2020-01-31,10,62.9137436977909,207.17853759097082,True,10,0.09842059856843098,411.74511827428523
10,2020-02-01,10,62.9137436977909,207.17853759097082,True,11,0.1152287127896513,411.74511827428523
11,2020-02-02,10,62.9137436977909,207.17853759097082,True,12,0.13490635539676765,411.74511827428523
12,2020-02-03,10,62.9137436977909,207.17853759097082,True,13,0.1579430738196099,411.74511827428523
13,2020-02-04,11,62.9137436977909,207.17853759097082,True,14,0.18491180486009579,411.74511827428523
14,2020-02-05,11,62.9137436977909,207.17853759097082,True,15,0.2164830316178207,411.74511827428523
15,2020-02-06,16,62.9137436977909,207.17853759097082,True,16,0.2534413261753518,411.74511827428523
16,2020-02-07,16,62.9137436977909,207.17853759097082,True,17,0.2967046735454305,411.74511827428523
17,2020-02-08,17,62.9137436977909,207.17853759097082,True,18,0.3473470355042328,411.74511827428523
18,2020-02-09,18,62.9137436977909,207.17853759097082,True,19,0.4066246852096765,411.74511827428523
19,2020-02-10,18,62.9137436977909,207.17853759097082,True,20,0.4760069259005895,411.74511827428523
20,2020-02-11,18,62.9137436977909,207.17853759097082,True,21,0.5572119004115317,411.74511827428523
21,2020-02-12,18,62.9137436977909,207.17853759097082,True,22,0.65224830350612,411.74511827428523
22,2020-02-13,18,62.9137436977909,207.17853759097082,True,23,0.7634639266578602,411.74511827428523
23,2020-02-14,18,62.9137436977909,207.17853759097082,True,24,0.8936020949822661,411.74511827428523
24,2020-02-15,18,62.9137436977909,207.17853759097082,True,25,1.0458671979431262,411.74511827428523
25,2020-02-16,20,62.9137436977909,207.17853759097082,True,26,1.2240006675607689,411.74511827428523
26,2020-02-17,22,62.9137436977909,207.17853759097082,True,27,1.4323689169325982,411.74511827428523
27,2020-02-18,22,62.9137436977909,207.17853759097082,True,28,1.676064912500699,411.74511827428523
28,2020-02-19,23,62.9137436977909,207.17853759097082,True,29,1.9610252070943404,411.74511827428523
29,2020-02-20,24,62.9137436977909,207.17853759097082,True,30,2.2941643944130248,411.74511827428523
30,2020-02-21,26,62.9137436977909,207.17853759097082,True,31,2.683529040437754,411.74511827428523
31,2020-02-22,26,62.9137436977909,207.17853759097082,True,32,3.138473176422647,411.74511827428523
32,2020-02-23,28,62.9137436977909,207.17853759097082,True,33,3.669857364225398,411.74511827428523
33,2020-02-24,30,62.9137436977909,207.17853759097082,True,34,4.2902731166547285,411.74511827428523
34,2020-02-25,31,62.9137436977909,207.17853759097082,True,35,5.014294004631765,411.74511827428523
35,2020-02-26,32,62.9137436977909,207.17853759097082,True,36,5.858754018939763,411.74511827428523
36,2020-02-27,32,62.9137436977909,207.17853759097082,True,37,6.843052560693956,411.74511827428523
37,2020-02-28,34,62.9137436977909,207.17853759097082,True,38,7.989483664832939,411.74511827428523
38,2020-02-29,39,62.9137436977909,207.17853759097082,True,39,9.323584535926303,411.74511827428523
39,2020-03-01,40,62.9137436977909,207.17853759097082,True,40,10.874494985218691,411.74511827428523
40,2020-03-02,41,62.9137436977909,207.17853759097082,True,41,12.675314668480961,411.74511827428523
41,2020-03-03,42,62.9137436977909,207.17853759097082,True,42,14.763438897710717,411.74511827428523
42,2020-03-04,42,62.9137436977909,207.17853759097082,True,43,17.180846029224167,411.74511827428523
43,2020-03-05,44,62.9137436977909,207.17853759097082,True,44,19.974299901863557,411.74511827428523
44,2020-03-06,45,62.9137436977909,207.17853759097082,True,45,23.19541958494251,411.74511827428523
45,2020-03-07,45,62.9137436977909,207.17853759097082,True,46,26.900556193310926,411.74511827428523
46,2020-03-08,45,62.9137436977909,207.17853759097082,True,47,31.15040363934247,411.74511827428523
47,2020-03-09,45,62.9137436977909,207.17853759097082,True,48,36.009258544558215,411.74511827428523
48,2020-03-10,47,62.9137436977909,207.17853759097082,True,49,41.5438366976043,411.74511827428523
49,2020-03-11,48,62.9137436977909,207.17853759097082,True,50,47.821553094611495,411.74511827428523
50,2020-03-12,49,62.9137436977909,207.17853759097082,True,51,54.90818449084191,411.74511827428523
51,2020-03-13,50,62.9137436977909,207.17853759097082,True,52,62.864863006762064,411.74511827428523
52,2020-03-14,53,62.9137436977909,207.17853759097082,True,53,71.74440195917961,411.74511827428523
53,2020-03-15,59,62.9137436977909,207.17853759097082,True,54,81.58703422847593,411.74511827428523
54,2020-03-16,67,62.9137436977909,207.17853759097082,True,55,92.41574852552603,411.74511827428523
55,2020-03-17,77,62.9137436977909,207.17853759097082,True,56,104.231532505588,411.74511827428523
56,2020-03-18,100,62.9137436977909,207.17853759097082,True,57,117.0089573965531,411.74511827428523
57,2020-03-19,108,62.9137436977909,207.17853759097082,True,58,130.69264078946782,411.74511827428523
58,2020-03-20,135,62.9137436977909,207.17853759097082,True,59,145.19516993708157,411.74511827428523
59,2020-03-21,153,62.9137436977909,207.17853759097082,True,60,160.39702519095383,411.74511827428523
