,Report_Date,China_hong kong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.55610175724497,528.2716188012869,True,1,0.04251010512200369,1056.3005781258244
1,2020-01-23,2,65.55610175724497,528.2716188012869,True,2,0.049725067525632424,1056.3005781258244
2,2020-01-24,2,65.55610175724497,528.2716188012869,True,3,0.05816451094305279,1056.3005781258244
3,2020-01-25,5,65.55610175724497,528.2716188012869,True,4,0.06803622226945977,1056.3005781258244
4,2020-01-26,8,65.55610175724497,528.2716188012869,True,5,0.07958323941613821,1056.3005781258244
5,2020-01-27,8,65.55610175724497,528.2716188012869,True,6,0.09308982827381436,1056.3005781258244
6,2020-01-28,8,65.55610175724497,528.2716188012869,True,7,0.10888847185650682,1056.3005781258244
7,2020-01-29,10,65.55610175724497,528.2716188012869,True,8,0.1273680425789266,1056.3005781258244
8,2020-01-30,10,65.55610175724497,528.2716188012869,True,9,0.14898335732541654,1056.3005781258244
9,2020-01-31,12,65.55610175724497,528.2716188012869,True,10,0.17426634843109162,1056.3005781258244
10,2020-02-01,13,65.55610175724497,528.2716188012869,True,11,0.20383912268176535,1056.3005781258244
11,2020-02-02,15,65.55610175724497,528.2716188012869,True,12,0.23842922582847415,1056.3005781258244
12,2020-02-03,15,65.55610175724497,528.2716188012869,True,13,0.2788874829133349,1056.3005781258244
13,2020-02-04,17,65.55610175724497,528.2716188012869,True,14,0.32620884606691825,1056.3005781258244
14,2020-02-05,21,65.55610175724497,528.2716188012869,True,15,0.3815567526702814,1056.3005781258244
15,2020-02-06,24,65.55610175724497,528.2716188012869,True,16,0.44629157935265673,1056.3005781258244
16,2020-02-07,25,65.55610175724497,528.2716188012869,True,17,0.5220038728714859,1056.3005781258244
17,2020-02-08,26,65.55610175724497,528.2716188012869,True,18,0.6105531493292979,1056.3005781258244
18,2020-02-09,29,65.55610175724497,528.2716188012869,True,19,0.7141131804323593,1056.3005781258244
19,2020-02-10,38,65.55610175724497,528.2716188012869,True,20,0.8352248317570976,1056.3005781258244
