,Report_Date,Switzerland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,69.02912594803102,15044.221632607034,True,1,1.6201372356883177,30087.02923031471
1,2020-01-23,0,0,69.02912594803102,15044.221632607034,True,2,1.871966715601234,30087.02923031471
2,2020-01-24,0,0,69.02912594803102,15044.221632607034,True,3,2.162937032746909,30087.02923031471
3,2020-01-25,0,0,69.02912594803102,15044.221632607034,True,4,2.4991307463295707,30087.02923031471
4,2020-01-26,0,0,69.02912594803102,15044.221632607034,True,5,2.887575340766899,30087.02923031471
5,2020-01-27,0,0,69.02912594803102,15044.221632607034,True,6,3.3363899139519044,30087.02923031471
6,2020-01-28,0,0,69.02912594803102,15044.221632607034,True,7,3.8549546016486356,30087.02923031471
7,2020-01-29,0,0,69.02912594803102,15044.221632607034,True,8,4.454106250155719,30087.02923031471
8,2020-01-30,0,0,69.02912594803102,15044.221632607034,True,9,5.146364387918165,30087.02923031471
9,2020-01-31,0,0,69.02912594803102,15044.221632607034,True,10,5.946192166554124,30087.02923031471
10,2020-02-01,0,0,69.02912594803102,15044.221632607034,True,11,6.870297654591378,30087.02923031471
11,2020-02-02,0,0,69.02912594803102,15044.221632607034,True,12,7.937981686439288,30087.02923031471
12,2020-02-03,0,0,69.02912594803102,15044.221632607034,True,13,9.171539409826776,30087.02923031471
13,2020-02-04,0,0,69.02912594803102,15044.221632607034,True,14,10.596723754041069,30087.02923031471
14,2020-02-05,0,0,69.02912594803102,15044.221632607034,True,15,12.243280277711513,30087.02923031471
15,2020-02-06,0,0,69.02912594803102,15044.221632607034,True,16,14.145564269577521,30087.02923031471
16,2020-02-07,0,0,69.02912594803102,15044.221632607034,True,17,16.34325259175076,30087.02923031471
17,2020-02-08,0,0,69.02912594803102,15044.221632607034,True,18,18.88216459758072,30087.02923031471
18,2020-02-09,0,0,69.02912594803102,15044.221632607034,True,19,21.815208552391926,30087.02923031471
19,2020-02-10,0,0,69.02912594803102,15044.221632607034,True,20,25.203472363621803,30087.02923031471
20,2020-02-11,0,0,69.02912594803102,15044.221632607034,True,21,29.11748011666029,30087.02923031471
21,2020-02-12,0,0,69.02912594803102,15044.221632607034,True,22,33.638638943232856,30087.02923031471
22,2020-02-13,0,0,69.02912594803102,15044.221632607034,True,23,38.86090414803782,30087.02923031471
23,2020-02-14,0,0,69.02912594803102,15044.221632607034,True,24,44.89269431014768,30087.02923031471
24,2020-02-15,0,0,69.02912594803102,15044.221632607034,True,25,51.859092274824185,30087.02923031471
25,2020-02-16,0,0,69.02912594803102,15044.221632607034,True,26,59.90437256356293,30087.02923031471
26,2020-02-17,0,0,69.02912594803102,15044.221632607034,True,27,69.19490074207707,30087.02923031471
27,2020-02-18,0,0,69.02912594803102,15044.221632607034,True,28,79.92245565771117,30087.02923031471
