,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,107.22354546924343,3653.271328952866,False,1,0.10221821970010235,7306.542657905732
1,2020-01-23,0,107.22354546924343,3653.271328952866,False,2,0.11356000249044658,7306.542657905732
2,2020-01-24,0,107.22354546924343,3653.271328952866,False,3,0.12616020883858733,7306.542657905732
3,2020-01-25,0,107.22354546924343,3653.271328952866,False,4,0.1401584616023482,7306.542657905732
4,2020-01-26,0,107.22354546924343,3653.271328952866,False,5,0.155709873688312,7306.542657905732
5,2020-01-27,0,107.22354546924343,3653.271328952866,False,6,0.1729867662706672,7306.542657905732
6,2020-01-28,0,107.22354546924343,3653.271328952866,False,7,0.19218057753643633,7306.542657905732
7,2020-01-29,0,107.22354546924343,3653.271328952866,False,8,0.21350398306847226,7306.542657905732
8,2020-01-30,0,107.22354546924343,3653.271328952866,False,9,0.23719325131327545,7306.542657905732
9,2020-01-31,0,107.22354546924343,3653.271328952866,False,10,0.2635108601739252,7306.542657905732
10,2020-02-01,0,107.22354546924343,3653.271328952866,False,11,0.2927484036474238,7306.542657905732
11,2020-02-02,0,107.22354546924343,3653.271328952866,False,12,0.325229820621784,7306.542657905732
12,2020-02-03,0,107.22354546924343,3653.271328952866,False,13,0.3613149814958455,7306.542657905732
13,2020-02-04,0,107.22354546924343,3653.271328952866,False,14,0.40140367222241113,7306.542657905732
14,2020-02-05,0,107.22354546924343,3653.271328952866,False,15,0.44594001974523007,7306.542657905732
15,2020-02-06,0,107.22354546924343,3653.271328952866,False,16,0.4954174076495578,7306.542657905732
16,2020-02-07,0,107.22354546924343,3653.271328952866,False,17,0.5503839362263142,7306.542657905732
17,2020-02-08,0,107.22354546924343,3653.271328952866,False,18,0.611448487118582,7306.542657905732
18,2020-02-09,0,107.22354546924343,3653.271328952866,False,19,0.6792874593395895,7306.542657905732
19,2020-02-10,0,107.22354546924343,3653.271328952866,False,20,0.7546522507932704,7306.542657905732
20,2020-02-11,0,107.22354546924343,3653.271328952866,False,21,0.8383775675689701,7306.542657905732
21,2020-02-12,0,107.22354546924343,3653.271328952866,False,22,0.9313906523057345,7306.542657905732
22,2020-02-13,0,107.22354546924343,3653.271328952866,False,23,1.0347215329222386,7306.542657905732
23,2020-02-14,0,107.22354546924343,3653.271328952866,False,24,1.14951440408843,7306.542657905732
24,2020-02-15,0,107.22354546924343,3653.271328952866,False,25,1.2770402660871154,7306.542657905732
25,2020-02-16,0,107.22354546924343,3653.271328952866,False,26,1.4187109593015281,7306.542657905732
26,2020-02-17,0,107.22354546924343,3653.271328952866,False,27,1.576094747603664,7306.542657905732
27,2020-02-18,0,107.22354546924343,3653.271328952866,False,28,1.7509336205556134,7306.542657905732
28,2020-02-19,0,107.22354546924343,3653.271328952866,False,29,1.9451625027332713,7306.542657905732
29,2020-02-20,0,107.22354546924343,3653.271328952866,False,30,2.160930578813902,7306.542657905732
30,2020-02-21,0,107.22354546924343,3653.271328952866,False,31,2.400624965525889,7306.542657905732
