,Report_Date,Tajikistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0.017723572528729945,96.9563617312614,True,1,193.9127234625228,193.9127234625228
1,2020-01-23,0,0.017723572528729945,96.9563617312614,True,2,193.9127234625228,193.9127234625228
2,2020-01-24,0,0.017723572528729945,96.9563617312614,True,3,193.9127234625228,193.9127234625228
3,2020-01-25,0,0.017723572528729945,96.9563617312614,True,4,193.9127234625228,193.9127234625228
4,2020-01-26,0,0.017723572528729945,96.9563617312614,True,5,193.9127234625228,193.9127234625228
5,2020-01-27,0,0.017723572528729945,96.9563617312614,True,6,193.9127234625228,193.9127234625228
6,2020-01-28,0,0.017723572528729945,96.9563617312614,True,7,193.9127234625228,193.9127234625228
7,2020-01-29,0,0.017723572528729945,96.9563617312614,True,8,193.9127234625228,193.9127234625228
8,2020-01-30,0,0.017723572528729945,96.9563617312614,True,9,193.9127234625228,193.9127234625228
9,2020-01-31,0,0.017723572528729945,96.9563617312614,True,10,193.9127234625228,193.9127234625228
10,2020-02-01,0,0.017723572528729945,96.9563617312614,True,11,193.9127234625228,193.9127234625228
11,2020-02-02,0,0.017723572528729945,96.9563617312614,True,12,193.9127234625228,193.9127234625228
12,2020-02-03,0,0.017723572528729945,96.9563617312614,True,13,193.9127234625228,193.9127234625228
13,2020-02-04,0,0.017723572528729945,96.9563617312614,True,14,193.9127234625228,193.9127234625228
14,2020-02-05,0,0.017723572528729945,96.9563617312614,True,15,193.9127234625228,193.9127234625228
15,2020-02-06,0,0.017723572528729945,96.9563617312614,True,16,193.9127234625228,193.9127234625228
16,2020-02-07,0,0.017723572528729945,96.9563617312614,True,17,193.9127234625228,193.9127234625228
17,2020-02-08,0,0.017723572528729945,96.9563617312614,True,18,193.9127234625228,193.9127234625228
18,2020-02-09,0,0.017723572528729945,96.9563617312614,True,19,193.9127234625228,193.9127234625228
19,2020-02-10,0,0.017723572528729945,96.9563617312614,True,20,193.9127234625228,193.9127234625228
20,2020-02-11,0,0.017723572528729945,96.9563617312614,True,21,193.9127234625228,193.9127234625228
21,2020-02-12,0,0.017723572528729945,96.9563617312614,True,22,193.9127234625228,193.9127234625228
22,2020-02-13,0,0.017723572528729945,96.9563617312614,True,23,193.9127234625228,193.9127234625228
23,2020-02-14,0,0.017723572528729945,96.9563617312614,True,24,193.9127234625228,193.9127234625228
24,2020-02-15,0,0.017723572528729945,96.9563617312614,True,25,193.9127234625228,193.9127234625228
25,2020-02-16,0,0.017723572528729945,96.9563617312614,True,26,193.9127234625228,193.9127234625228
26,2020-02-17,0,0.017723572528729945,96.9563617312614,True,27,193.9127234625228,193.9127234625228
27,2020-02-18,0,0.017723572528729945,96.9563617312614,True,28,193.9127234625228,193.9127234625228
28,2020-02-19,0,0.017723572528729945,96.9563617312614,True,29,193.9127234625228,193.9127234625228
29,2020-02-20,0,0.017723572528729945,96.9563617312614,True,30,193.9127234625228,193.9127234625228
30,2020-02-21,0,0.017723572528729945,96.9563617312614,True,31,193.9127234625228,193.9127234625228
31,2020-02-22,0,0.017723572528729945,96.9563617312614,True,32,193.9127234625228,193.9127234625228
32,2020-02-23,0,0.017723572528729945,96.9563617312614,True,33,193.9127234625228,193.9127234625228
33,2020-02-24,0,0.017723572528729945,96.9563617312614,True,34,193.9127234625228,193.9127234625228
34,2020-02-25,0,0.017723572528729945,96.9563617312614,True,35,193.9127234625228,193.9127234625228
35,2020-02-26,0,0.017723572528729945,96.9563617312614,True,36,193.9127234625228,193.9127234625228
36,2020-02-27,0,0.017723572528729945,96.9563617312614,True,37,193.9127234625228,193.9127234625228
37,2020-02-28,0,0.017723572528729945,96.9563617312614,True,38,193.9127234625228,193.9127234625228
38,2020-02-29,0,0.017723572528729945,96.9563617312614,True,39,193.9127234625228,193.9127234625228
39,2020-03-01,0,0.017723572528729945,96.9563617312614,True,40,193.9127234625228,193.9127234625228
40,2020-03-02,0,0.017723572528729945,96.9563617312614,True,41,193.9127234625228,193.9127234625228
41,2020-03-03,0,0.017723572528729945,96.9563617312614,True,42,193.9127234625228,193.9127234625228
42,2020-03-04,0,0.017723572528729945,96.9563617312614,True,43,193.9127234625228,193.9127234625228
43,2020-03-05,0,0.017723572528729945,96.9563617312614,True,44,193.9127234625228,193.9127234625228
44,2020-03-06,0,0.017723572528729945,96.9563617312614,True,45,193.9127234625228,193.9127234625228
45,2020-03-07,0,0.017723572528729945,96.9563617312614,True,46,193.9127234625228,193.9127234625228
46,2020-03-08,0,0.017723572528729945,96.9563617312614,True,47,193.9127234625228,193.9127234625228
47,2020-03-09,0,0.017723572528729945,96.9563617312614,True,48,193.9127234625228,193.9127234625228
48,2020-03-10,0,0.017723572528729945,96.9563617312614,True,49,193.9127234625228,193.9127234625228
49,2020-03-11,0,0.017723572528729945,96.9563617312614,True,50,193.9127234625228,193.9127234625228
50,2020-03-12,0,0.017723572528729945,96.9563617312614,True,51,193.9127234625228,193.9127234625228
51,2020-03-13,0,0.017723572528729945,96.9563617312614,True,52,193.9127234625228,193.9127234625228
52,2020-03-14,0,0.017723572528729945,96.9563617312614,True,53,193.9127234625228,193.9127234625228
53,2020-03-15,0,0.017723572528729945,96.9563617312614,True,54,193.9127234625228,193.9127234625228
54,2020-03-16,0,0.017723572528729945,96.9563617312614,True,55,193.9127234625228,193.9127234625228
55,2020-03-17,0,0.017723572528729945,96.9563617312614,True,56,193.9127234625228,193.9127234625228
56,2020-03-18,0,0.017723572528729945,96.9563617312614,True,57,193.9127234625228,193.9127234625228
57,2020-03-19,0,0.017723572528729945,96.9563617312614,True,58,193.9127234625228,193.9127234625228
58,2020-03-20,0,0.017723572528729945,96.9563617312614,True,59,193.9127234625228,193.9127234625228
59,2020-03-21,0,0.017723572528729945,96.9563617312614,True,60,193.9127234625228,193.9127234625228
60,2020-03-22,0,0.017723572528729945,96.9563617312614,True,61,193.9127234625228,193.9127234625228
61,2020-03-23,0,0.017723572528729945,96.9563617312614,True,62,193.9127234625228,193.9127234625228
62,2020-03-24,0,0.017723572528729945,96.9563617312614,True,63,193.9127234625228,193.9127234625228
63,2020-03-25,0,0.017723572528729945,96.9563617312614,True,64,193.9127234625228,193.9127234625228
64,2020-03-26,0,0.017723572528729945,96.9563617312614,True,65,193.9127234625228,193.9127234625228
65,2020-03-27,0,0.017723572528729945,96.9563617312614,True,66,193.9127234625228,193.9127234625228
66,2020-03-28,0,0.017723572528729945,96.9563617312614,True,67,193.9127234625228,193.9127234625228
67,2020-03-29,0,0.017723572528729945,96.9563617312614,True,68,193.9127234625228,193.9127234625228
68,2020-03-30,0,0.017723572528729945,96.9563617312614,True,69,193.9127234625228,193.9127234625228
69,2020-03-31,0,0.017723572528729945,96.9563617312614,True,70,193.9127234625228,193.9127234625228
70,2020-04-01,0,0.017723572528729945,96.9563617312614,True,71,193.9127234625228,193.9127234625228
71,2020-04-02,0,0.017723572528729945,96.9563617312614,True,72,193.9127234625228,193.9127234625228
72,2020-04-03,0,0.017723572528729945,96.9563617312614,True,73,193.9127234625228,193.9127234625228
73,2020-04-04,0,0.017723572528729945,96.9563617312614,True,74,193.9127234625228,193.9127234625228
74,2020-04-05,0,0.017723572528729945,96.9563617312614,True,75,193.9127234625228,193.9127234625228
75,2020-04-06,0,0.017723572528729945,96.9563617312614,True,76,193.9127234625228,193.9127234625228
76,2020-04-07,0,0.017723572528729945,96.9563617312614,True,77,193.9127234625228,193.9127234625228
77,2020-04-08,0,0.017723572528729945,96.9563617312614,True,78,193.9127234625228,193.9127234625228
78,2020-04-09,0,0.017723572528729945,96.9563617312614,True,79,193.9127234625228,193.9127234625228
79,2020-04-10,0,0.017723572528729945,96.9563617312614,True,80,193.9127234625228,193.9127234625228
80,2020-04-11,0,0.017723572528729945,96.9563617312614,True,81,193.9127234625228,193.9127234625228
81,2020-04-12,0,0.017723572528729945,96.9563617312614,True,82,193.9127234625228,193.9127234625228
82,2020-04-13,0,0.017723572528729945,96.9563617312614,True,83,193.9127234625228,193.9127234625228
83,2020-04-14,0,0.017723572528729945,96.9563617312614,True,84,193.9127234625228,193.9127234625228
84,2020-04-15,0,0.017723572528729945,96.9563617312614,True,85,193.9127234625228,193.9127234625228
