,Report_Date,China_macau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,114.40043236322293,103.69842741423192,False,1,2.797842174160558,102.32082974859384
1,2020-01-23,2,114.40043236322293,103.69842741423192,False,2,2.904258724467373,102.32082974859384
2,2020-01-24,2,114.40043236322293,103.69842741423192,False,3,3.014663212961535,102.32082974859384
3,2020-01-25,2,114.40043236322293,103.69842741423192,False,4,3.1292004701117335,102.32082974859384
4,2020-01-26,5,114.40043236322293,103.69842741423192,False,5,3.248020229167966,102.32082974859384
5,2020-01-27,6,114.40043236322293,103.69842741423192,False,6,3.371277264307483,102.32082974859384
6,2020-01-28,7,114.40043236322293,103.69842741423192,False,7,3.4991315304265656,102.32082974859384
7,2020-01-29,7,114.40043236322293,103.69842741423192,False,8,3.6317483043891268,102.32082974859384
8,2020-01-30,7,114.40043236322293,103.69842741423192,False,9,3.769298327520146,102.32082974859384
9,2020-01-31,7,114.40043236322293,103.69842741423192,False,10,3.9119579491072463,102.32082974859384
10,2020-02-01,7,114.40043236322293,103.69842741423192,False,11,4.059909270647326,102.32082974859384
11,2020-02-02,8,114.40043236322293,103.69842741423192,False,12,4.213340290546902,102.32082974859384
12,2020-02-03,8,114.40043236322293,103.69842741423192,False,13,4.372445048954601,102.32082974859384
13,2020-02-04,10,114.40043236322293,103.69842741423192,False,14,4.537423772372179,102.32082974859384
14,2020-02-05,10,114.40043236322293,103.69842741423192,False,15,4.7084830176561185,102.32082974859384
15,2020-02-06,10,114.40043236322293,103.69842741423192,False,16,4.885835814985581,102.32082974859384
16,2020-02-07,10,114.40043236322293,103.69842741423192,False,17,5.069701809333915,102.32082974859384
17,2020-02-08,10,114.40043236322293,103.69842741423192,False,18,5.260307399940058,102.32082974859384
18,2020-02-09,10,114.40043236322293,103.69842741423192,False,19,5.457885877233139,102.32082974859384
19,2020-02-10,10,114.40043236322293,103.69842741423192,False,20,5.662677556617955,102.32082974859384
20,2020-02-11,10,114.40043236322293,103.69842741423192,False,21,5.87492990848123,102.32082974859384
21,2020-02-12,10,114.40043236322293,103.69842741423192,False,22,6.094897683728171,102.32082974859384
22,2020-02-13,10,114.40043236322293,103.69842741423192,False,23,6.322843034106106,102.32082974859384
23,2020-02-14,10,114.40043236322293,103.69842741423192,False,24,6.559035626516848,102.32082974859384
24,2020-02-15,10,114.40043236322293,103.69842741423192,False,25,6.803752750461837,102.32082974859384
25,2020-02-16,10,114.40043236322293,103.69842741423192,False,26,7.057279417704213,102.32082974859384
26,2020-02-17,10,114.40043236322293,103.69842741423192,False,27,7.319908453169799,102.32082974859384
27,2020-02-18,10,114.40043236322293,103.69842741423192,False,28,7.591940576044596,102.32082974859384
28,2020-02-19,10,114.40043236322293,103.69842741423192,False,29,7.8736844699600175,102.32082974859384
29,2020-02-20,10,114.40043236322293,103.69842741423192,False,30,8.16545684108878,102.32082974859384
30,2020-02-21,10,114.40043236322293,103.69842741423192,False,31,8.46758246290446,102.32082974859384
31,2020-02-22,10,114.40043236322293,103.69842741423192,False,32,8.780394206286294,102.32082974859384
32,2020-02-23,10,114.40043236322293,103.69842741423192,False,33,9.104233053578389,102.32082974859384
33,2020-02-24,10,114.40043236322293,103.69842741423192,False,34,9.439448095139081,102.32082974859384
34,2020-02-25,10,114.40043236322293,103.69842741423192,False,35,9.78639650684264,102.32082974859384
35,2020-02-26,10,114.40043236322293,103.69842741423192,False,36,10.145443506921795,102.32082974859384
36,2020-02-27,10,114.40043236322293,103.69842741423192,False,37,10.516962290466617,102.32082974859384
37,2020-02-28,10,114.40043236322293,103.69842741423192,False,38,10.901333939823363,102.32082974859384
38,2020-02-29,10,114.40043236322293,103.69842741423192,False,39,11.298947309067081,102.32082974859384
39,2020-03-01,10,114.40043236322293,103.69842741423192,False,40,11.710198880654161,102.32082974859384
40,2020-03-02,10,114.40043236322293,103.69842741423192,False,41,12.135492592297267,102.32082974859384
41,2020-03-03,10,114.40043236322293,103.69842741423192,False,42,12.57523963204534,102.32082974859384
42,2020-03-04,10,114.40043236322293,103.69842741423192,False,43,13.029858199497088,102.32082974859384
43,2020-03-05,10,114.40043236322293,103.69842741423192,False,44,13.499773231028524,102.32082974859384
44,2020-03-06,10,114.40043236322293,103.69842741423192,False,45,13.985416086874881,102.32082974859384
45,2020-03-07,10,114.40043236322293,103.69842741423192,False,46,14.487224197875786,102.32082974859384
46,2020-03-08,10,114.40043236322293,103.69842741423192,False,47,15.005640669671523,102.32082974859384
47,2020-03-09,10,114.40043236322293,103.69842741423192,False,48,15.541113842128844,102.32082974859384
48,2020-03-10,10,114.40043236322293,103.69842741423192,False,49,16.094096801778665,102.32082974859384
49,2020-03-11,10,114.40043236322293,103.69842741423192,False,50,16.665046845066705,102.32082974859384
50,2020-03-12,10,114.40043236322293,103.69842741423192,False,51,17.25442489025384,102.32082974859384
51,2020-03-13,10,114.40043236322293,103.69842741423192,False,52,17.862694835856466,102.32082974859384
