,Report_Date,Argentina_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,256.03676908876986,2240581.2138301264,False,1,46.87211909224739,4481162.427660252
1,2020-01-23,0,0,256.03676908876986,2240581.2138301264,False,2,49.02784728614938,4481162.427660252
2,2020-01-24,0,0,256.03676908876986,2240581.2138301264,False,3,51.28271993848365,4481162.427660252
3,2020-01-25,0,0,256.03676908876986,2240581.2138301264,False,4,53.64129671196783,4481162.427660252
4,2020-01-26,0,0,256.03676908876986,2240581.2138301264,False,5,56.10834695857856,4481162.427660252
5,2020-01-27,0,0,256.03676908876986,2240581.2138301264,False,6,58.68885936177231,4481162.427660252
6,2020-01-28,0,0,256.03676908876986,2240581.2138301264,False,7,61.38805202199911,4481162.427660252
7,2020-01-29,0,0,256.03676908876986,2240581.2138301264,False,8,64.2113830058809,4481162.427660252
8,2020-01-30,0,0,256.03676908876986,2240581.2138301264,False,9,67.16456138036145,4481162.427660252
9,2020-01-31,0,0,256.03676908876986,2240581.2138301264,False,10,70.2535587541133,4481162.427660252
10,2020-02-01,0,0,256.03676908876986,2240581.2138301264,False,11,73.48462134951001,4481162.427660252
11,2020-02-02,0,0,256.03676908876986,2240581.2138301264,False,12,76.86428262954219,4481162.427660252
12,2020-02-03,0,0,256.03676908876986,2240581.2138301264,False,13,80.3993765051747,4481162.427660252
13,2020-02-04,0,0,256.03676908876986,2240581.2138301264,False,14,84.09705114981287,4481162.427660252
14,2020-02-05,0,0,256.03676908876986,2240581.2138301264,False,15,87.96478344876893,4481162.427660252
15,2020-02-06,0,0,256.03676908876986,2240581.2138301264,False,16,92.01039411290054,4481162.427660252
16,2020-02-07,0,0,256.03676908876986,2240581.2138301264,False,17,96.24206348693099,4481162.427660252
17,2020-02-08,0,0,256.03676908876986,2240581.2138301264,False,18,100.66834808436113,4481162.427660252
18,2020-02-09,0,0,256.03676908876986,2240581.2138301264,False,19,105.2981978823462,4481162.427660252
19,2020-02-10,0,0,256.03676908876986,2240581.2138301264,False,20,110.14097441144224,4481162.427660252
20,2020-02-11,0,0,256.03676908876986,2240581.2138301264,False,21,115.2064696767268,4481162.427660252
21,2020-02-12,0,0,256.03676908876986,2240581.2138301264,False,22,120.50492594847339,4481162.427660252
