,Report_Date,Argentina_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,0,0,256.03676908876986,2240581.2138301264,False,23,126.04705646230903,4481162.427660252
23,2020-02-14,0,0,256.03676908876986,2240581.2138301264,False,24,131.8440670706152,4481162.427660252
24,2020-02-15,0,0,256.03676908876986,2240581.2138301264,False,25,137.90767888884648,4481162.427660252
25,2020-02-16,0,0,256.03676908876986,2240581.2138301264,False,26,144.25015198244225,4481162.427660252
26,2020-02-17,0,0,256.03676908876986,2240581.2138301264,False,27,150.88431014210138,4481162.427660252
27,2020-02-18,0,0,256.03676908876986,2240581.2138301264,False,28,157.8235667973758,4481162.427660252
28,2020-02-19,0,0,256.03676908876986,2240581.2138301264,False,29,165.08195212082987,4481162.427660252
29,2020-02-20,0,0,256.03676908876986,2240581.2138301264,False,30,172.67414137740292,4481162.427660252
30,2020-02-21,0,0,256.03676908876986,2240581.2138301264,False,31,180.61548457611633,4481162.427660252
31,2020-02-22,0,0,256.03676908876986,2240581.2138301264,False,32,188.92203748387928,4481162.427660252
32,2020-02-23,0,0,256.03676908876986,2240581.2138301264,False,33,197.6105940638867,4481162.427660252
33,2020-02-24,0,0,256.03676908876986,2240581.2138301264,False,34,206.69872040395754,4481162.427660252
34,2020-02-25,0,0,256.03676908876986,2240581.2138301264,False,35,216.20479020315494,4481162.427660252
35,2020-02-26,0,0,256.03676908876986,2240581.2138301264,False,36,226.14802188815403,4481162.427660252
36,2020-02-27,0,0,256.03676908876986,2240581.2138301264,False,37,236.54851743409034,4481162.427660252
37,2020-02-28,0,0,256.03676908876986,2240581.2138301264,False,38,247.4273029680395,4481162.427660252
38,2020-02-29,0,0,256.03676908876986,2240581.2138301264,False,39,258.8063712368492,4481162.427660252
39,2020-03-01,0,0,256.03676908876986,2240581.2138301264,False,40,270.7087260247785,4481162.427660252
40,2020-03-02,0,0,256.03676908876986,2240581.2138301264,False,41,283.15842861030205,4481162.427660252
41,2020-03-03,1,1,256.03676908876986,2240581.2138301264,False,42,296.18064635551735,4481162.427660252
42,2020-03-04,1,1,256.03676908876986,2240581.2138301264,False,43,309.8017035258573,4481162.427660252
43,2020-03-05,1,1,256.03676908876986,2240581.2138301264,False,44,324.0491344422676,4481162.427660252
44,2020-03-06,2,2,256.03676908876986,2240581.2138301264,False,45,338.95173907266974,4481162.427660252
45,2020-03-07,8,8,256.03676908876986,2240581.2138301264,False,46,354.53964117439773,4481162.427660252
46,2020-03-08,12,11,256.03676908876986,2240581.2138301264,False,47,370.8443491043894,4481162.427660252
47,2020-03-09,12,11,256.03676908876986,2240581.2138301264,False,48,387.89881941923016,4481162.427660252
48,2020-03-10,17,16,256.03676908876986,2240581.2138301264,False,49,405.73752339270953,4481162.427660252
49,2020-03-11,19,18,256.03676908876986,2240581.2138301264,False,50,424.3965165843572,4481162.427660252
50,2020-03-12,19,18,256.03676908876986,2240581.2138301264,False,51,443.9135115985009,4481162.427660252
51,2020-03-13,31,29,256.03676908876986,2240581.2138301264,False,52,464.3279541797274,4481162.427660252
52,2020-03-14,34,31,256.03676908876986,2240581.2138301264,False,53,485.68110279726454,4481162.427660252
53,2020-03-15,45,42,256.03676908876986,2240581.2138301264,False,54,508.016111877719,4481162.427660252
54,2020-03-16,56,53,256.03676908876986,2240581.2138301264,False,55,531.3781188528524,4481162.427660252
55,2020-03-17,68,63,256.03676908876986,2240581.2138301264,False,56,555.8143351966272,4481162.427660252
56,2020-03-18,79,74,256.03676908876986,2240581.2138301264,False,57,581.374141633667,4481162.427660252
57,2020-03-19,97,91,256.03676908876986,2240581.2138301264,False,58,608.1091877095071,4481162.427660252
58,2020-03-20,128,122,256.03676908876986,2240581.2138301264,False,59,636.0734959216529,4481162.427660252
59,2020-03-21,158,151,256.03676908876986,2240581.2138301264,False,60,665.3235706194439,4481162.427660252
60,2020-03-22,266,259,256.03676908876986,2240581.2138301264,False,61,695.918511890142,4481162.427660252
61,2020-03-23,301,294,256.03676908876986,2240581.2138301264,False,62,727.9201346584642,4481162.427660252
62,2020-03-24,387,329,256.03676908876986,2240581.2138301264,False,63,761.3930932370511,4481162.427660252
63,2020-03-25,387,327,256.03676908876986,2240581.2138301264,False,64,796.4050115760513,4481162.427660252
64,2020-03-26,502,430,256.03676908876986,2240581.2138301264,False,65,833.0266194711993,4481162.427660252
65,2020-03-27,589,504,256.03676908876986,2240581.2138301264,False,66,871.3318950014176,4481162.427660252
66,2020-03-28,690,600,256.03676908876986,2240581.2138301264,False,67,911.3982134791687,4481162.427660252
67,2020-03-29,745,654,256.03676908876986,2240581.2138301264,False,68,953.306503209501,4481162.427660252
68,2020-03-30,820,569,256.03676908876986,2240581.2138301264,False,69,997.1414083669927,4481162.427660252
69,2020-03-31,1054,787,256.03676908876986,2240581.2138301264,False,70,1042.9914593136696,4481162.427660252
70,2020-04-01,1054,778,256.03676908876986,2240581.2138301264,False,71,1090.9492506954055,4481162.427660252
71,2020-04-02,1133,841,256.03676908876986,2240581.2138301264,False,72,1141.1116276694188,4481162.427660252
72,2020-04-03,1265,960,256.03676908876986,2240581.2138301264,False,73,1193.5798806311884,4481162.427660252
73,2020-04-04,1451,1129,256.03676908876986,2240581.2138301264,False,74,1248.4599488255462,4481162.427660252
74,2020-04-05,1451,1127,256.03676908876986,2240581.2138301264,False,75,1305.862633243803,4481162.427660252
75,2020-04-06,1554,1181,256.03676908876986,2240581.2138301264,False,76,1365.9038192266296,4481162.427660252
76,2020-04-07,1628,1234,256.03676908876986,2240581.2138301264,False,77,1428.7047092110147,4481162.427660252
77,2020-04-08,1715,1294,256.03676908876986,2240581.2138301264,False,78,1494.3920660790363,4481162.427660252
78,2020-04-09,1795,1358,256.03676908876986,2240581.2138301264,False,79,1563.0984675863972,4481162.427660252
79,2020-04-10,1975,1518,256.03676908876986,2240581.2138301264,False,80,1634.9625723697657,4481162.427660252
80,2020-04-11,1975,1452,256.03676908876986,2240581.2138301264,False,81,1710.1293980539087,4481162.427660252
81,2020-04-12,2142,1584,256.03676908876986,2240581.2138301264,False,82,1788.7506120025114,4481162.427660252
82,2020-04-13,2208,1596,256.03676908876986,2240581.2138301264,False,83,1870.9848352803688,4481162.427660252
83,2020-04-14,2277,1616,256.03676908876986,2240581.2138301264,False,84,1956.9979604195069,4481162.427660252
84,2020-04-15,2443,1736,256.03676908876986,2240581.2138301264,False,85,2046.9634836075631,4481162.427660252
85,2020-04-16,2571,1825,256.03676908876986,2240581.2138301264,False,86,2141.0628519437173,4481162.427660252
86,2020-04-17,2669,1880,256.03676908876986,2240581.2138301264,False,87,2239.4858264353916,4481162.427660252
87,2020-04-18,2758,1944,256.03676908876986,2240581.2138301264,False,88,2342.4308614381002,4481162.427660252
88,2020-04-19,2839,1998,256.03676908876986,2240581.2138301264,False,89,2450.105501271074,4481162.427660252
89,2020-04-20,2941,2068,256.03676908876986,2240581.2138301264,False,90,2562.7267947728046,4481162.427660252
90,2020-04-21,3031,2044,256.03676908876986,2240581.2138301264,False,91,2680.521728593364,4481162.427660252
91,2020-04-22,3144,2120,256.03676908876986,2240581.2138301264,False,92,2803.7276800543523,4481162.427660252
92,2020-04-23,3435,2351,256.03676908876986,2240581.2138301264,False,93,2932.592890442691,4481162.427660252
93,2020-04-24,3607,2455,256.03676908876986,2240581.2138301264,False,94,3067.376959641105,4481162.427660252
94,2020-04-25,3780,2565,256.03676908876986,2240581.2138301264,False,95,3208.3513630363,4481162.427660252
95,2020-04-26,3892,2593,256.03676908876986,2240581.2138301264,False,96,3355.7999916852295,4481162.427660252
96,2020-04-27,4003,2666,256.03676908876986,2240581.2138301264,False,97,3510.01971676093,4481162.427660252
97,2020-04-28,4127,2758,256.03676908876986,2240581.2138301264,False,98,3671.320979341811,4481162.427660252
98,2020-04-29,4285,2879,256.03676908876986,2240581.2138301264,False,99,3840.028406652305,4481162.427660252
99,2020-04-30,4428,2954,256.03676908876986,2240581.2138301264,False,100,4016.481455908405,4481162.427660252
100,2020-05-01,4532,3015,256.03676908876986,2240581.2138301264,False,101,4201.035086968699,4481162.427660252
101,2020-05-02,4681,3124,256.03676908876986,2240581.2138301264,False,102,4394.0604650404075,4481162.427660252
102,2020-05-03,4783,3183,256.03676908876986,2240581.2138301264,False,103,4595.945694740283,4481162.427660252
103,2020-05-04,4887,3185,256.03676908876986,2240581.2138301264,False,104,4807.096586862465,4481162.427660252
104,2020-05-05,5020,3284,256.03676908876986,2240581.2138301264,False,105,5027.9374592590375,4481162.427660252
105,2020-05-06,5208,3411,256.03676908876986,2240581.2138301264,False,106,5258.911973294662,4481162.427660252
106,2020-05-07,5371,3488,256.03676908876986,2240581.2138301264,False,107,5500.4840073938085,4481162.427660252
107,2020-05-08,5611,3659,256.03676908876986,2240581.2138301264,False,108,5753.138569258087,4481162.427660252
108,2020-05-09,5776,3748,256.03676908876986,2240581.2138301264,False,109,6017.3827483916675,4481162.427660252
109,2020-05-10,6034,3972,256.03676908876986,2240581.2138301264,False,110,6293.746710635279,4481162.427660252
110,2020-05-11,6278,4127,256.03676908876986,2240581.2138301264,False,111,6582.784736473059,4481162.427660252
111,2020-05-12,6563,4382,256.03676908876986,2240581.2138301264,False,112,6885.076304942332,4481162.427660252
112,2020-05-13,6879,4284,256.03676908876986,2240581.2138301264,False,113,7201.227225043389,4481162.427660252
113,2020-05-14,7134,4396,256.03676908876986,2240581.2138301264,False,114,7531.87081661526,4481162.427660252
114,2020-05-15,7479,4626,256.03676908876986,2240581.2138301264,False,115,7877.669142713518,4481162.427660252
115,2020-05-16,7805,4908,256.03676908876986,2240581.2138301264,False,116,8239.314295597927,4481162.427660252
116,2020-05-17,8068,5126,256.03676908876986,2240581.2138301264,False,117,8617.52973851032,4481162.427660252
117,2020-05-18,8371,5364,256.03676908876986,2240581.2138301264,False,118,9013.071705497387,4481162.427660252
118,2020-05-19,8809,5544,256.03676908876986,2240581.2138301264,False,119,9426.730661607831,4481162.427660252
119,2020-05-20,9283,5947,256.03676908876986,2240581.2138301264,False,120,9859.332825869473,4481162.427660252
120,2020-05-21,9931,6483,256.03676908876986,2240581.2138301264,False,121,10311.741759528,4481162.427660252
121,2020-05-22,10649,7154,256.03676908876986,2240581.2138301264,False,122,10784.860022106406,4481162.427660252
122,2020-05-23,11353,7378,256.03676908876986,2240581.2138301264,False,123,11279.630897920904,4481162.427660252
123,2020-05-24,12076,7892,256.03676908876986,2240581.2138301264,False,124,11797.040195766378,4481162.427660252
124,2020-05-25,12628,8162,256.03676908876986,2240581.2138301264,False,125,12338.118124560617,4481162.427660252
125,2020-05-26,13228,8577,256.03676908876986,2240581.2138301264,False,126,12903.94124781257,4481162.427660252
126,2020-05-27,13933,9084,256.03676908876986,2240581.2138301264,False,127,13495.634519854071,4481162.427660252
127,2020-05-28,14702,9577,256.03676908876986,2240581.2138301264,False,128,14114.373406847504,4481162.427660252
