,Report_Date,Venezuela_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,236.1874339992886,119356.02732603913,False,1,2.5063367292209446,238712.05465207825
1,2020-01-23,0,0,236.1874339992886,119356.02732603913,False,2,2.631532986301551,238712.05465207825
2,2020-01-24,0,0,236.1874339992886,119356.02732603913,False,3,2.762982960682699,238712.05465207825
3,2020-01-25,0,0,236.1874339992886,119356.02732603913,False,4,2.9009990263363283,238712.05465207825
4,2020-01-26,0,0,236.1874339992886,119356.02732603913,False,5,3.0459091595948786,238712.05465207825
5,2020-01-27,0,0,236.1874339992886,119356.02732603913,False,6,3.198057718375544,238712.05465207825
6,2020-01-28,0,0,236.1874339992886,119356.02732603913,False,7,3.3578062603131364,238712.05465207825
7,2020-01-29,0,0,236.1874339992886,119356.02732603913,False,8,3.5255344017435735,238712.05465207825
8,2020-01-30,0,0,236.1874339992886,119356.02732603913,False,9,3.7016407195767855,238712.05465207825
9,2020-01-31,0,0,236.1874339992886,119356.02732603913,False,10,3.8865436981995765,238712.05465207825
10,2020-02-01,0,0,236.1874339992886,119356.02732603913,False,11,4.080682723655639,238712.05465207825
11,2020-02-02,0,0,236.1874339992886,119356.02732603913,False,12,4.284519127462,238712.05465207825
12,2020-02-03,0,0,236.1874339992886,119356.02732603913,False,13,4.498537282538752,238712.05465207825
13,2020-02-04,0,0,236.1874339992886,119356.02732603913,False,14,4.723245753852425,238712.05465207825
14,2020-02-05,0,0,236.1874339992886,119356.02732603913,False,15,4.959178506502893,238712.05465207825
15,2020-02-06,0,0,236.1874339992886,119356.02732603913,False,16,5.206896174119833,238712.05465207825
16,2020-02-07,0,0,236.1874339992886,119356.02732603913,False,17,5.466987390577493,238712.05465207825
17,2020-02-08,0,0,236.1874339992886,119356.02732603913,False,18,5.740070188186467,238712.05465207825
18,2020-02-09,0,0,236.1874339992886,119356.02732603913,False,19,6.026793465678516,238712.05465207825
19,2020-02-10,0,0,236.1874339992886,119356.02732603913,False,20,6.327838529465639,238712.05465207825
20,2020-02-11,0,0,236.1874339992886,119356.02732603913,False,21,6.6439207118279935,238712.05465207825
21,2020-02-12,0,0,236.1874339992886,119356.02732603913,False,22,6.975791069867185,238712.05465207825
22,2020-02-13,0,0,236.1874339992886,119356.02732603913,False,23,7.32423816925253,238712.05465207825
23,2020-02-14,0,0,236.1874339992886,119356.02732603913,False,24,7.690089956988322,238712.05465207825
24,2020-02-15,0,0,236.1874339992886,119356.02732603913,False,25,8.07421572764056,238712.05465207825
25,2020-02-16,0,0,236.1874339992886,119356.02732603913,False,26,8.477528187682523,238712.05465207825
26,2020-02-17,0,0,236.1874339992886,119356.02732603913,False,27,8.900985622850254,238712.05465207825
27,2020-02-18,0,0,236.1874339992886,119356.02732603913,False,28,9.34559417364245,238712.05465207825
28,2020-02-19,0,0,236.1874339992886,119356.02732603913,False,29,9.812410224354485,238712.05465207825
29,2020-02-20,0,0,236.1874339992886,119356.02732603913,False,30,10.302542911304288,238712.05465207825
30,2020-02-21,0,0,236.1874339992886,119356.02732603913,False,31,10.81715675618904,238712.05465207825
31,2020-02-22,0,0,236.1874339992886,119356.02732603913,False,32,11.357474430806773,238712.05465207825
32,2020-02-23,0,0,236.1874339992886,119356.02732603913,False,33,11.92477965968672,238712.05465207825
33,2020-02-24,0,0,236.1874339992886,119356.02732603913,False,34,12.520420267497162,238712.05465207825
34,2020-02-25,0,0,236.1874339992886,119356.02732603913,False,35,13.145811378440747,238712.05465207825
35,2020-02-26,0,0,236.1874339992886,119356.02732603913,False,36,13.802438775205019,238712.05465207825
36,2020-02-27,0,0,236.1874339992886,119356.02732603913,False,37,14.491862425411439,238712.05465207825
37,2020-02-28,0,0,236.1874339992886,119356.02732603913,False,38,15.215720183900327,238712.05465207825
38,2020-02-29,0,0,236.1874339992886,119356.02732603913,False,39,15.975731679602475,238712.05465207825
39,2020-03-01,0,0,236.1874339992886,119356.02732603913,False,40,16.77370239618198,238712.05465207825
40,2020-03-02,0,0,236.1874339992886,119356.02732603913,False,41,17.61152795609009,238712.05465207825
41,2020-03-03,0,0,236.1874339992886,119356.02732603913,False,42,18.49119861814706,238712.05465207825
42,2020-03-04,0,0,236.1874339992886,119356.02732603913,False,43,19.414803999270266,238712.05465207825
43,2020-03-05,0,0,236.1874339992886,119356.02732603913,False,44,20.384538031491978,238712.05465207825
44,2020-03-06,0,0,236.1874339992886,119356.02732603913,False,45,21.40270416596153,238712.05465207825
45,2020-03-07,0,0,236.1874339992886,119356.02732603913,False,46,22.471720836204963,238712.05465207825
46,2020-03-08,0,0,236.1874339992886,119356.02732603913,False,47,23.594127193521306,238712.05465207825
47,2020-03-09,0,0,236.1874339992886,119356.02732603913,False,48,24.772589128031232,238712.05465207825
48,2020-03-10,0,0,236.1874339992886,119356.02732603913,False,49,26.009905589560375,238712.05465207825
49,2020-03-11,0,0,236.1874339992886,119356.02732603913,False,50,27.309015223239832,238712.05465207825
50,2020-03-12,0,0,236.1874339992886,119356.02732603913,False,51,28.6730033354394,238712.05465207825
51,2020-03-13,0,0,236.1874339992886,119356.02732603913,False,52,30.105109206418852,238712.05465207825
52,2020-03-14,2,2,236.1874339992886,119356.02732603913,False,53,31.60873376688912,238712.05465207825
53,2020-03-15,10,10,236.1874339992886,119356.02732603913,False,54,33.187447656520675,238712.05465207825
54,2020-03-16,17,17,236.1874339992886,119356.02732603913,False,55,34.84499968332353,238712.05465207825
55,2020-03-17,33,33,236.1874339992886,119356.02732603913,False,56,36.58532570375228,238712.05465207825
56,2020-03-18,36,36,236.1874339992886,119356.02732603913,False,57,38.412557944364046,238712.05465207825
57,2020-03-19,42,42,236.1874339992886,119356.02732603913,False,58,40.33103478687861,238712.05465207825
58,2020-03-20,42,42,236.1874339992886,119356.02732603913,False,59,42.34531103955946,238712.05465207825
59,2020-03-21,70,70,236.1874339992886,119356.02732603913,False,60,44.46016871895705,238712.05465207825
60,2020-03-22,70,55,236.1874339992886,119356.02732603913,False,61,46.68062836722942,238712.05465207825
61,2020-03-23,77,62,236.1874339992886,119356.02732603913,False,62,49.01196093148765,238712.05465207825
62,2020-03-24,84,69,236.1874339992886,119356.02732603913,False,63,51.459700232902726,238712.05465207825
63,2020-03-25,91,76,236.1874339992886,119356.02732603913,False,64,54.02965605466141,238712.05465207825
64,2020-03-26,107,92,236.1874339992886,119356.02732603913,False,65,56.72792787927426,238712.05465207825
65,2020-03-27,107,75,236.1874339992886,119356.02732603913,False,66,59.560919307219834,238712.05465207825
66,2020-03-28,119,78,236.1874339992886,119356.02732603913,False,67,62.5353531904614,238712.05465207825
67,2020-03-29,119,78,236.1874339992886,119356.02732603913,False,68,65.65828751599662,238712.05465207825
68,2020-03-30,135,93,236.1874339992886,119356.02732603913,False,69,68.9371320763003,238712.05465207825
69,2020-03-31,135,93,236.1874339992886,119356.02732603913,False,70,72.37966596530096,238712.05465207825
70,2020-04-01,143,99,236.1874339992886,119356.02732603913,False,71,75.99405594039277,238712.05465207825
71,2020-04-02,146,98,236.1874339992886,119356.02732603913,False,72,79.78887569293335,238712.05465207825
72,2020-04-03,153,94,236.1874339992886,119356.02732603913,False,73,83.77312607171584,238712.05465207825
73,2020-04-04,155,96,236.1874339992886,119356.02732603913,False,74,87.9562563060338,238712.05465207825
74,2020-04-05,159,100,236.1874339992886,119356.02732603913,False,75,92.34818627718727,238712.05465207825
75,2020-04-06,165,93,236.1874339992886,119356.02732603913,False,76,96.95932988960664,238712.05465207825
76,2020-04-07,165,93,236.1874339992886,119356.02732603913,False,77,101.80061959520577,238712.05465207825
77,2020-04-08,167,93,236.1874339992886,119356.02732603913,False,78,106.88353212712082,238712.05465207825
78,2020-04-09,171,78,236.1874339992886,119356.02732603913,False,79,112.22011550164552,238712.05465207825
79,2020-04-10,171,78,236.1874339992886,119356.02732603913,False,80,117.82301734995252,238712.05465207825
80,2020-04-11,175,73,236.1874339992886,119356.02732603913,False,81,123.70551464408325,238712.05465207825
81,2020-04-12,181,79,236.1874339992886,119356.02732603913,False,82,129.88154488471523,238712.05465207825
82,2020-04-13,189,70,236.1874339992886,119356.02732603913,False,83,136.36573882136892,238712.05465207825
83,2020-04-14,189,70,236.1874339992886,119356.02732603913,False,84,143.1734547790054,238712.05465207825
84,2020-04-15,197,77,236.1874339992886,119356.02732603913,False,85,150.32081466839728,238712.05465207825
85,2020-04-16,204,84,236.1874339992886,119356.02732603913,False,86,157.82474176122844,238712.05465207825
86,2020-04-17,204,84,236.1874339992886,119356.02732603913,False,87,165.7030003146024,238712.05465207825
87,2020-04-18,227,105,236.1874339992886,119356.02732603913,False,88,173.97423713351466,238712.05465207825
88,2020-04-19,256,130,236.1874339992886,119356.02732603913,False,89,182.65802516388203,238712.05465207825
89,2020-04-20,256,130,236.1874339992886,119356.02732603913,False,90,191.77490921291422,238712.05465207825
90,2020-04-21,285,158,236.1874339992886,119356.02732603913,False,91,201.34645389798143,238712.05465207825
91,2020-04-22,288,156,236.1874339992886,119356.02732603913,False,92,211.39529392966142,238712.05465207825
92,2020-04-23,311,175,236.1874339992886,119356.02732603913,False,93,221.9451868393583,238712.05465207825
93,2020-04-24,318,176,236.1874339992886,119356.02732603913,False,94,233.0210682667732,238712.05465207825
94,2020-04-25,323,181,236.1874339992886,119356.02732603913,False,95,244.6491099275665,238712.05465207825
95,2020-04-26,325,178,236.1874339992886,119356.02732603913,False,96,256.8567803868065,238712.05465207825
96,2020-04-27,329,177,236.1874339992886,119356.02732603913,False,97,269.67290876922885,238712.05465207825
97,2020-04-28,329,177,236.1874339992886,119356.02732603913,False,98,283.12775154295764,238712.05465207825
98,2020-04-29,331,179,236.1874339992886,119356.02732603913,False,99,297.2530625191402,238712.05465207825
99,2020-04-30,333,175,236.1874339992886,119356.02732603913,False,100,312.08216621595415,238712.05465207825
100,2020-05-01,335,177,236.1874339992886,119356.02732603913,False,101,327.6500347416226,238712.05465207825
101,2020-05-02,345,187,236.1874339992886,119356.02732603913,False,102,343.99336835744583,238712.05465207825
102,2020-05-03,357,189,236.1874339992886,119356.02732603913,False,103,361.15067988841463,238712.05465207825
103,2020-05-04,357,189,236.1874339992886,119356.02732603913,False,104,379.1623831556918,238712.05465207825
104,2020-05-05,361,193,236.1874339992886,119356.02732603913,False,105,398.070885612162,238712.05465207825
105,2020-05-06,379,193,236.1874339992886,119356.02732603913,False,106,417.9206853693115,238712.05465207825
106,2020-05-07,381,186,236.1874339992886,119356.02732603913,False,107,438.7584728109268,238712.05465207825
107,2020-05-08,388,188,236.1874339992886,119356.02732603913,False,108,460.6332369964695,238712.05465207825
108,2020-05-09,402,202,236.1874339992886,119356.02732603913,False,109,483.59637706447796,238712.05465207825
109,2020-05-10,414,211,236.1874339992886,119356.02732603913,False,110,507.7018188539623,238712.05465207825
110,2020-05-11,422,207,236.1874339992886,119356.02732603913,False,111,533.0061369694625,238712.05465207825
111,2020-05-12,423,193,236.1874339992886,119356.02732603913,False,112,559.5686825232101,238712.05465207825
112,2020-05-13,423,193,236.1874339992886,119356.02732603913,False,113,587.4517167956601,238712.05465207825
113,2020-05-14,455,225,236.1874339992886,119356.02732603913,False,114,616.720551063477,238712.05465207825
114,2020-05-15,459,220,236.1874339992886,119356.02732603913,False,115,647.443692851877,238712.05465207825
115,2020-05-16,504,253,236.1874339992886,119356.02732603913,False,116,679.6929988759607,238712.05465207825
116,2020-05-17,541,290,236.1874339992886,119356.02732603913,False,117,713.5438349433056,238712.05465207825
117,2020-05-18,618,355,236.1874339992886,119356.02732603913,False,118,749.0752430975531,238712.05465207825
118,2020-05-19,749,486,236.1874339992886,119356.02732603913,False,119,786.3701162899574,238712.05465207825
119,2020-05-20,824,552,236.1874339992886,119356.02732603913,False,120,825.5153808728242,238712.05465207825
120,2020-05-21,882,610,236.1874339992886,119356.02732603913,False,121,866.6021872153398,238712.05465207825
121,2020-05-22,944,672,236.1874339992886,119356.02732603913,False,122,909.7261087484183,238712.05465207825
122,2020-05-23,1010,738,236.1874339992886,119356.02732603913,False,123,954.9873497507842,238712.05465207825
123,2020-05-24,1121,849,236.1874339992886,119356.02732603913,False,124,1002.4909621934103,238712.05465207825
124,2020-05-25,1177,865,236.1874339992886,119356.02732603913,False,125,1052.3470719635998,238712.05465207825
125,2020-05-26,1211,898,236.1874339992886,119356.02732603913,False,126,1104.6711147932367,238712.05465207825
126,2020-05-27,1245,932,236.1874339992886,119356.02732603913,False,127,1159.5840822179116,238712.05465207825
127,2020-05-28,1325,1012,236.1874339992886,119356.02732603913,False,128,1217.2127778946278,238712.05465207825
