,Report_Date,Dominican Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.04994323568455,2652.05358048692,False,1,0.06127769941432299,5304.107160973839
1,2020-01-23,0,80.04994323568455,2652.05358048692,False,2,0.07075542105942491,5304.107160973839
2,2020-01-24,0,80.04994323568455,2652.05358048692,False,3,0.08169902384592828,5304.107160973839
3,2020-01-25,0,80.04994323568455,2652.05358048692,False,4,0.09433522219775074,5304.107160973839
4,2020-01-26,0,80.04994323568455,2652.05358048692,False,5,0.10892579187673307,5304.107160973839
5,2020-01-27,0,80.04994323568455,2652.05358048692,False,6,0.125772991375469,5304.107160973839
6,2020-01-28,0,80.04994323568455,2652.05358048692,False,7,0.14522582131966852,5304.107160973839
7,2020-01-29,0,80.04994323568455,2652.05358048692,False,8,0.1676872513222071,5304.107160973839
8,2020-01-30,0,80.04994323568455,2652.05358048692,False,9,0.19362256369420022,5304.107160973839
9,2020-01-31,0,80.04994323568455,2652.05358048692,False,10,0.22356898645012926,5304.107160973839
10,2020-02-01,0,80.04994323568455,2652.05358048692,False,11,0.25814681461243616,5304.107160973839
11,2020-02-02,0,80.04994323568455,2652.05358048692,False,12,0.29807224946459426,5304.107160973839
12,2020-02-03,0,80.04994323568455,2652.05358048692,False,13,0.3441722207394014,5304.107160973839
13,2020-02-04,0,80.04994323568455,2652.05358048692,False,14,0.39740149747201037,5304.107160973839
14,2020-02-05,0,80.04994323568455,2652.05358048692,False,15,0.45886244021083855,5304.107160973839
15,2020-02-06,0,80.04994323568455,2652.05358048692,False,16,0.5298278013992404,5304.107160973839
16,2020-02-07,0,80.04994323568455,2652.05358048692,False,17,0.6117670430876812,5304.107160973839
17,2020-02-08,0,80.04994323568455,2652.05358048692,False,18,0.7063767129348505,5304.107160973839
18,2020-02-09,0,80.04994323568455,2652.05358048692,False,19,0.8156155021049688,5304.107160973839
19,2020-02-10,0,80.04994323568455,2652.05358048692,False,20,0.9417447037609193,5304.107160973839
20,2020-02-11,0,80.04994323568455,2652.05358048692,False,21,1.0873749002005497,5304.107160973839
21,2020-02-12,0,80.04994323568455,2652.05358048692,False,22,1.2555198323410535,5304.107160973839
22,2020-02-13,0,80.04994323568455,2652.05358048692,False,23,1.4496585495463605,5304.107160973839
23,2020-02-14,0,80.04994323568455,2652.05358048692,False,24,1.6738071033303537,5304.107160973839
24,2020-02-15,0,80.04994323568455,2652.05358048692,False,25,1.9326012381864917,5304.107160973839
25,2020-02-16,0,80.04994323568455,2652.05358048692,False,26,2.2313917499604194,5304.107160973839
26,2020-02-17,0,80.04994323568455,2652.05358048692,False,27,2.576354430414612,5304.107160973839
27,2020-02-18,0,80.04994323568455,2652.05358048692,False,28,2.9746167999045854,5304.107160973839
28,2020-02-19,0,80.04994323568455,2652.05358048692,False,29,3.4344041527063403,5304.107160973839
29,2020-02-20,0,80.04994323568455,2652.05358048692,False,30,3.9652078061197957,5304.107160973839
30,2020-02-21,0,80.04994323568455,2652.05358048692,False,31,4.577978859870907,5304.107160973839
31,2020-02-22,0,80.04994323568455,2652.05358048692,False,32,5.28535124150688,5304.107160973839
