,Report_Date,China_shanxi_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,1,30.25656977734073,103.08748418758755,True,1,55.84449008661254,200.9359826873696
1,2020-01-23,1,1,30.25656977734073,103.08748418758755,True,2,57.23335245871607,200.9359826873696
2,2020-01-24,1,1,30.25656977734073,103.08748418758755,True,3,58.64328168789686,200.9359826873696
3,2020-01-25,6,6,30.25656977734073,103.08748418758755,True,4,60.073934900133274,200.9359826873696
4,2020-01-26,9,9,30.25656977734073,103.08748418758755,True,5,61.524934987559405,200.9359826873696
5,2020-01-27,13,13,30.25656977734073,103.08748418758755,True,6,62.99587040895346,200.9359826873696
6,2020-01-28,27,27,30.25656977734073,103.08748418758755,True,7,64.48629509586604,200.9359826873696
7,2020-01-29,27,26,30.25656977734073,103.08748418758755,True,8,65.99572846901242,200.9359826873696
8,2020-01-30,35,34,30.25656977734073,103.08748418758755,True,9,67.52365556907806,200.9359826873696
9,2020-01-31,39,38,30.25656977734073,103.08748418758755,True,10,69.06952730555565,200.9359826873696
10,2020-02-01,47,46,30.25656977734073,103.08748418758755,True,11,70.63276082664619,200.9359826873696
11,2020-02-02,66,63,30.25656977734073,103.08748418758755,True,12,72.21274001261982,200.9359826873696
12,2020-02-03,74,72,30.25656977734073,103.08748418758755,True,13,73.80881609434867,200.9359826873696
13,2020-02-04,81,77,30.25656977734073,103.08748418758755,True,14,75.42030839799624,200.9359826873696
14,2020-02-05,81,76,30.25656977734073,103.08748418758755,True,15,77.04650521608487,200.9359826873696
15,2020-02-06,96,84,30.25656977734073,103.08748418758755,True,16,78.68666480436704,200.9359826873696
16,2020-02-07,104,89,30.25656977734073,103.08748418758755,True,17,80.34001650310748,200.9359826873696
17,2020-02-08,115,94,30.25656977734073,103.08748418758755,True,18,82.0057619805467,200.9359826873696
18,2020-02-09,119,94,30.25656977734073,103.08748418758755,True,19,83.68307659547214,200.9359826873696
19,2020-02-10,119,94,30.25656977734073,103.08748418758755,True,20,85.37111087497762,200.9359826873696
20,2020-02-11,124,94,30.25656977734073,103.08748418758755,True,21,87.06899210265482,200.9359826873696
21,2020-02-12,126,93,30.25656977734073,103.08748418758755,True,22,88.77582601164227,200.9359826873696
22,2020-02-13,126,90,30.25656977734073,103.08748418758755,True,23,90.49069857616199,200.9359826873696
23,2020-02-14,127,89,30.25656977734073,103.08748418758755,True,24,92.21267789441822,200.9359826873696
24,2020-02-15,128,82,30.25656977734073,103.08748418758755,True,25,93.94081615501699,200.9359826873696
25,2020-02-16,129,79,30.25656977734073,103.08748418758755,True,26,95.67415167840447,200.9359826873696
26,2020-02-17,130,77,30.25656977734073,103.08748418758755,True,27,97.41171102422045,200.9359826873696
27,2020-02-18,131,70,30.25656977734073,103.08748418758755,True,28,99.15251115492929,200.9359826873696
28,2020-02-19,131,63,30.25656977734073,103.08748418758755,True,29,100.8955616456311,200.9359826873696
29,2020-02-20,132,56,30.25656977734073,103.08748418758755,True,30,102.63986692957579,200.9359826873696
30,2020-02-21,132,54,30.25656977734073,103.08748418758755,True,31,104.38442856860729,200.9359826873696
31,2020-02-22,132,51,30.25656977734073,103.08748418758755,True,32,106.12824753755825,200.9359826873696
32,2020-02-23,132,44,30.25656977734073,103.08748418758755,True,33,107.87032651149917,200.9359826873696
