,Report_Date,Kosovo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.56999365381553,593.579321623926,False,1,0.013511883212318648,1187.1586432478523
1,2020-01-23,0,90.56999365381553,593.579321623926,False,2,0.015342986461924602,1187.1586432478523
2,2020-01-24,0,90.56999365381553,593.579321623926,False,3,0.01742223350105039,1187.1586432478523
3,2020-01-25,0,90.56999365381553,593.579321623926,False,4,0.019783250729765386,1187.1586432478523
4,2020-01-26,0,90.56999365381553,593.579321623926,False,5,0.022464221015577383,1187.1586432478523
5,2020-01-27,0,90.56999365381553,593.579321623926,False,6,0.02550850101872927,1187.1586432478523
6,2020-01-28,0,90.56999365381553,593.579321623926,False,7,0.028965322129226055,1187.1586432478523
7,2020-01-29,0,90.56999365381553,593.579321623926,False,8,0.03289058633273323,1187.1586432478523
8,2020-01-30,0,90.56999365381553,593.579321623926,False,9,0.0373477698521619,1187.1586432478523
9,2020-01-31,0,90.56999365381553,593.579321623926,False,10,0.04240894914756851,1187.1586432478523
10,2020-02-01,0,90.56999365381553,593.579321623926,False,11,0.04815596582654601,1187.1586432478523
11,2020-02-02,0,90.56999365381553,593.579321623926,False,12,0.05468174925181212,1187.1586432478523
12,2020-02-03,0,90.56999365381553,593.579321623926,False,13,0.06209181816755859,1187.1586432478523
13,2020-02-04,0,90.56999365381553,593.579321623926,False,14,0.07050598554129373,1187.1586432478523
14,2020-02-05,0,90.56999365381553,593.579321623926,False,15,0.0800602940785792,1187.1586432478523
15,2020-02-06,0,90.56999365381553,593.579321623926,False,16,0.09090921356527415,1187.1586432478523
16,2020-02-07,0,90.56999365381553,593.579321623926,False,17,0.10322813538327673,1187.1586432478523
17,2020-02-08,0,90.56999365381553,593.579321623926,False,18,0.11721620429626939,1187.1586432478523
18,2020-02-09,0,90.56999365381553,593.579321623926,False,19,0.13309953298484764,1187.1586432478523
19,2020-02-10,0,90.56999365381553,593.579321623926,False,20,0.15113485090802997,1187.1586432478523
20,2020-02-11,0,90.56999365381553,593.579321623926,False,21,0.171613645973123,1187.1586432478523
21,2020-02-12,0,90.56999365381553,593.579321623926,False,22,0.1948668653121748,1187.1586432478523
22,2020-02-13,0,90.56999365381553,593.579321623926,False,23,0.22127025030722838,1187.1586432478523
23,2020-02-14,0,90.56999365381553,593.579321623926,False,24,0.2512503910084689,1187.1586432478523
24,2020-02-15,0,90.56999365381553,593.579321623926,False,25,0.28529159639434015,1187.1586432478523
25,2020-02-16,0,90.56999365381553,593.579321623926,False,26,0.32394368969230214,1187.1586432478523
26,2020-02-17,0,90.56999365381553,593.579321623926,False,27,0.3678308523921852,1187.1586432478523
27,2020-02-18,0,90.56999365381553,593.579321623926,False,28,0.4176616568388039,1187.1586432478523
28,2020-02-19,0,90.56999365381553,593.579321623926,False,29,0.4742404456040383,1187.1586432478523
29,2020-02-20,0,90.56999365381553,593.579321623926,False,30,0.5384802364485801,1187.1586432478523
30,2020-02-21,0,90.56999365381553,593.579321623926,False,31,0.6114173548480043,1187.1586432478523
31,2020-02-22,0,90.56999365381553,593.579321623926,False,32,0.6942280220545128,1187.1586432478523
32,2020-02-23,0,90.56999365381553,593.579321623926,False,33,0.7882471557905304,1187.1586432478523
33,2020-02-24,0,90.56999365381553,593.579321623926,False,34,0.8949896732343362,1187.1586432478523
34,2020-02-25,0,90.56999365381553,593.579321623926,False,35,1.0161746222821606,1187.1586432478523
35,2020-02-26,0,90.56999365381553,593.579321623926,False,36,1.1537525074793447,1187.1586432478523
36,2020-02-27,0,90.56999365381553,593.579321623926,False,37,1.309936221820145,1187.1586432478523
37,2020-02-28,0,90.56999365381553,593.579321623926,False,38,1.4872360451123143,1187.1586432478523
38,2020-02-29,0,90.56999365381553,593.579321623926,False,39,1.6884992240331629,1187.1586432478523
39,2020-03-01,0,90.56999365381553,593.579321623926,False,40,1.9169547085370333,1187.1586432478523
40,2020-03-02,0,90.56999365381553,593.579321623926,False,41,2.17626368396315,1187.1586432478523
41,2020-03-03,0,90.56999365381553,593.579321623926,False,42,2.470576607921774,1187.1586432478523
42,2020-03-04,0,90.56999365381553,593.579321623926,False,43,2.8045975354514523,1187.1586432478523
43,2020-03-05,0,90.56999365381553,593.579321623926,False,44,3.183656594357694,1187.1586432478523
44,2020-03-06,0,90.56999365381553,593.579321623926,False,45,3.6137915539335053,1187.1586432478523
45,2020-03-07,0,90.56999365381553,593.579321623926,False,46,4.101839512697535,1187.1586432478523
46,2020-03-08,0,90.56999365381553,593.579321623926,False,47,4.655539811850092,1187.1586432478523
47,2020-03-09,0,90.56999365381553,593.579321623926,False,48,5.283649357294132,1187.1586432478523
48,2020-03-10,0,90.56999365381553,593.579321623926,False,49,5.996071599418229,1187.1586432478523
49,2020-03-11,0,90.56999365381553,593.579321623926,False,50,6.804000469806486,1187.1586432478523
50,2020-03-12,0,90.56999365381553,593.579321623926,False,51,7.720080598877853,1187.1586432478523
51,2020-03-13,0,90.56999365381553,593.579321623926,False,52,8.758585126701494,1187.1586432478523
52,2020-03-14,0,90.56999365381553,593.579321623926,False,53,9.935612356054984,1187.1586432478523
53,2020-03-15,0,90.56999365381553,593.579321623926,False,54,11.269302363226121,1187.1586432478523
54,2020-03-16,0,90.56999365381553,593.579321623926,False,55,12.780074454155914,1187.1586432478523
55,2020-03-17,0,90.56999365381553,593.579321623926,False,56,14.490886001396953,1187.1586432478523
56,2020-03-18,0,90.56999365381553,593.579321623926,False,57,16.427512684233246,1187.1586432478523
57,2020-03-19,0,90.56999365381553,593.579321623926,False,58,18.6188494355731,1187.1586432478523
58,2020-03-20,0,90.56999365381553,593.579321623926,False,59,21.09723042174016,1187.1586432478523
59,2020-03-21,0,90.56999365381553,593.579321623926,False,60,23.89876508304876,1187.1586432478523
60,2020-03-22,0,90.56999365381553,593.579321623926,False,61,27.063685573622536,1187.1586432478523
61,2020-03-23,0,90.56999365381553,593.579321623926,False,62,30.636698781033253,1187.1586432478523
62,2020-03-24,0,90.56999365381553,593.579321623926,False,63,34.667333399326665,1187.1586432478523
63,2020-03-25,0,90.56999365381553,593.579321623926,False,64,39.210269194846184,1187.1586432478523
64,2020-03-26,71,90.56999365381553,593.579321623926,False,65,44.32563157732179,1187.1586432478523
65,2020-03-27,86,90.56999365381553,593.579321623926,False,66,50.07922983030231,1187.1586432478523
66,2020-03-28,91,90.56999365381553,593.579321623926,False,67,56.542711874285466,1187.1586432478523
67,2020-03-29,94,90.56999365381553,593.579321623926,False,68,63.793602317860326,1187.1586432478523
68,2020-03-30,94,90.56999365381553,593.579321623926,False,69,71.91518399400044,1187.1586432478523
