,Report_Date,MS Zaandam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.75962910637158,4.6771834411683395,True,1,0.00011032754894603278,9.354092556006453
1,2020-01-23,0,69.75962910637158,4.6771834411683395,True,2,0.0001301241015235634,9.354092556006453
2,2020-01-24,0,69.75962910637158,4.6771834411683395,True,3,0.0001534727774632395,9.354092556006453
3,2020-01-25,0,69.75962910637158,4.6771834411683395,True,4,0.00018101091648100136,9.354092556006453
4,2020-01-26,0,69.75962910637158,4.6771834411683395,True,5,0.00021349020405537578,9.354092556006453
5,2020-01-27,0,69.75962910637158,4.6771834411683395,True,6,0.0002517971828309288,9.354092556006453
6,2020-01-28,0,69.75962910637158,4.6771834411683395,True,7,0.0002969774420051172,9.354092556006453
7,2020-01-29,0,69.75962910637158,4.6771834411683395,True,8,0.00035026414367967735,9.354092556006453
8,2020-01-30,0,69.75962910637158,4.6771834411683395,True,9,0.00041311166301825106,9.354092556006453
9,2020-01-31,0,69.75962910637158,4.6771834411683395,True,10,0.00048723525791058474,9.354092556006453
10,2020-02-01,0,69.75962910637158,4.6771834411683395,True,11,0.0005746578474093774,9.354092556006453
11,2020-02-02,0,69.75962910637158,4.6771834411683395,True,12,0.0006777651708303188,9.354092556006453
12,2020-02-03,0,69.75962910637158,4.6771834411683395,True,13,0.000799370826189585,9.354092556006453
13,2020-02-04,0,69.75962910637158,4.6771834411683395,True,14,0.0009427929535674509,9.354092556006453
14,2020-02-05,0,69.75962910637158,4.6771834411683395,True,15,0.001111944643012956,9.354092556006453
15,2020-02-06,0,69.75962910637158,4.6771834411683395,True,16,0.0013114405158909724,9.354092556006453
16,2020-02-07,0,69.75962910637158,4.6771834411683395,True,17,0.001546722362610833,9.354092556006453
17,2020-02-08,0,69.75962910637158,4.6771834411683395,True,18,0.0018242072294939466,9.354092556006453
18,2020-02-09,0,69.75962910637158,4.6771834411683395,True,19,0.002151461945914922,9.354092556006453
19,2020-02-10,0,69.75962910637158,4.6771834411683395,True,20,0.0025374087845392605,9.354092556006453
20,2020-02-11,0,69.75962910637158,4.6771834411683395,True,21,0.002992567769438047,9.354092556006453
21,2020-02-12,0,69.75962910637158,4.6771834411683395,True,22,0.003529342108472831,9.354092556006453
22,2020-02-13,0,69.75962910637158,4.6771834411683395,True,23,0.004162354349626739,9.354092556006453
23,2020-02-14,0,69.75962910637158,4.6771834411683395,True,24,0.004908842170697042,9.354092556006453
24,2020-02-15,0,69.75962910637158,4.6771834411683395,True,25,0.005789124235562065,9.354092556006453
25,2020-02-16,0,69.75962910637158,4.6771834411683395,True,26,0.006827148318389055,9.354092556006453
26,2020-02-17,0,69.75962910637158,4.6771834411683395,True,27,0.008051135942274662,9.354092556006453
27,2020-02-18,0,69.75962910637158,4.6771834411683395,True,28,0.009494340135067485,9.354092556006453
28,2020-02-19,0,69.75962910637158,4.6771834411683395,True,29,0.011195935606871342,9.354092556006453
29,2020-02-20,0,69.75962910637158,4.6771834411683395,True,30,0.013202063733327869,9.354092556006453
30,2020-02-21,0,69.75962910637158,4.6771834411683395,True,31,0.015567058213183863,9.354092556006453
31,2020-02-22,0,69.75962910637158,4.6771834411683395,True,32,0.018354881174304515,9.354092556006453
32,2020-02-23,0,69.75962910637158,4.6771834411683395,True,33,0.021640803827623557,9.354092556006453
33,2020-02-24,0,69.75962910637158,4.6771834411683395,True,34,0.02551337048313917,9.354092556006453
34,2020-02-25,0,69.75962910637158,4.6771834411683395,True,35,0.030076689771480064,9.354092556006453
35,2020-02-26,0,69.75962910637158,4.6771834411683395,True,36,0.03545310211882109,9.354092556006453
