,Report_Date,Macedonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.39729388897747,434.52467471041757,False,1,0.010166272836361847,869.0493494208355
1,2020-01-23,0,73.39729388897747,434.52467471041757,False,2,0.011892777685716336,869.0493494208355
2,2020-01-24,0,73.39729388897747,434.52467471041757,False,3,0.01391248451014744,869.0493494208355
3,2020-01-25,0,73.39729388897747,434.52467471041757,False,4,0.01627518431482252,869.0493494208355
4,2020-01-26,0,73.39729388897747,434.52467471041757,False,5,0.019039122881913936,869.0493494208355
5,2020-01-27,0,73.39729388897747,434.52467471041757,False,6,0.02227243620175345,869.0493494208355
6,2020-01-28,0,73.39729388897747,434.52467471041757,False,7,0.026054829521395328,869.0493494208355
7,2020-01-29,0,73.39729388897747,434.52467471041757,False,8,0.030479541324766976,869.0493494208355
8,2020-01-30,0,73.39729388897747,434.52467471041757,False,9,0.03565564055314941,869.0493494208355
9,2020-01-31,0,73.39729388897747,434.52467471041757,False,10,0.041710713549149646,869.0493494208355
10,2020-02-01,0,73.39729388897747,434.52467471041757,False,11,0.04879400675902248,869.0493494208355
11,2020-02-02,0,73.39729388897747,434.52467471041757,False,12,0.0570801023870309,869.0493494208355
12,2020-02-03,0,73.39729388897747,434.52467471041757,False,13,0.06677321722891125,869.0493494208355
13,2020-02-04,0,73.39729388897747,434.52467471041757,False,14,0.07811223013022138,869.0493494208355
14,2020-02-05,0,73.39729388897747,434.52467471041757,False,15,0.09137656128018873,869.0493494208355
15,2020-02-06,0,73.39729388897747,434.52467471041757,False,16,0.1068930472808991,869.0493494208355
16,2020-02-07,0,73.39729388897747,434.52467471041757,False,17,0.12504398010937437,869.0493494208355
17,2020-02-08,0,73.39729388897747,434.52467471041757,False,18,0.14627650627548228,869.0493494208355
18,2020-02-09,0,73.39729388897747,434.52467471041757,False,19,0.17111361531617075,869.0493494208355
19,2020-02-10,0,73.39729388897747,434.52467471041757,False,20,0.20016698499688126,869.0493494208355
20,2020-02-11,0,73.39729388897747,434.52467471041757,False,21,0.23415199506249218,869.0493494208355
21,2020-02-12,0,73.39729388897747,434.52467471041757,False,22,0.27390527306045276,869.0493494208355
22,2020-02-13,0,73.39729388897747,434.52467471041757,False,23,0.3204051957461453,869.0493494208355
23,2020-02-14,0,73.39729388897747,434.52467471041757,False,24,0.3747958391137181,869.0493494208355
24,2020-02-15,0,73.39729388897747,434.52467471041757,False,25,0.43841495056102514,869.0493494208355
25,2020-02-16,0,73.39729388897747,434.52467471041757,False,26,0.5128266096312193,869.0493494208355
26,2020-02-17,0,73.39729388897747,434.52467471041757,False,27,0.5998593508568216,869.0493494208355
27,2020-02-18,0,73.39729388897747,434.52467471041757,False,28,0.701650645272719,869.0493494208355
28,2020-02-19,0,73.39729388897747,434.52467471041757,False,29,0.8206987780625211,869.0493494208355
29,2020-02-20,0,73.39729388897747,434.52467471041757,False,30,0.9599233204888215,869.0493494208355
30,2020-02-21,0,73.39729388897747,434.52467471041757,False,31,1.1227355765954632,869.0493494208355
31,2020-02-22,0,73.39729388897747,434.52467471041757,False,32,1.3131205908037977,869.0493494208355
32,2020-02-23,0,73.39729388897747,434.52467471041757,False,33,1.5357325326575793,869.0493494208355
33,2020-02-24,0,73.39729388897747,434.52467471041757,False,34,1.7960055300372961,869.0493494208355
34,2020-02-25,0,73.39729388897747,434.52467471041757,False,35,2.1002823013683773,869.0493494208355
35,2020-02-26,1,73.39729388897747,434.52467471041757,False,36,2.4559632380125036,869.0493494208355
36,2020-02-27,1,73.39729388897747,434.52467471041757,False,37,2.871678904701869,869.0493494208355
37,2020-02-28,1,73.39729388897747,434.52467471041757,False,38,3.357489249090667,869.0493494208355
38,2020-02-29,1,73.39729388897747,434.52467471041757,False,39,3.9251131261306664,869.0493494208355
39,2020-03-01,1,73.39729388897747,434.52467471041757,False,40,4.588192026032542,869.0493494208355
40,2020-03-02,1,73.39729388897747,434.52467471041757,False,41,5.362592112286157,869.0493494208355
41,2020-03-03,1,73.39729388897747,434.52467471041757,False,42,6.266748780299565,869.0493494208355
42,2020-03-04,1,73.39729388897747,434.52467471041757,False,43,7.322057870128669,869.0493494208355
