,Report_Date,Mexico_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,124.72441003518257,70684.81078906864,True,1,10.323077010378222,103957.70783604709
1,2020-01-23,0,0,124.72441003518257,70684.81078906864,True,2,11.149103023210431,103957.70783604709
2,2020-01-24,0,0,124.72441003518257,70684.81078906864,True,3,12.0412198781555,103957.70783604709
3,2020-01-25,0,0,124.72441003518257,70684.81078906864,True,4,13.004714606499274,103957.70783604709
4,2020-01-26,0,0,124.72441003518257,70684.81078906864,True,5,14.045297027186884,103957.70783604709
5,2020-01-27,0,0,124.72441003518257,70684.81078906864,True,6,15.169133529896747,103957.70783604709
6,2020-01-28,0,0,124.72441003518257,70684.81078906864,True,7,16.382883553248437,103957.70783604709
7,2020-01-29,0,0,124.72441003518257,70684.81078906864,True,8,17.693738972436336,103957.70783604709
8,2020-01-30,0,0,124.72441003518257,70684.81078906864,True,9,19.109466627499508,103957.70783604709
9,2020-01-31,0,0,124.72441003518257,70684.81078906864,True,10,20.638454241672584,103957.70783604709
10,2020-02-01,0,0,124.72441003518257,70684.81078906864,True,11,22.28975999891125,103957.70783604709
11,2020-02-02,0,0,124.72441003518257,70684.81078906864,True,12,24.07316607085533,103957.70783604709
12,2020-02-03,0,0,124.72441003518257,70684.81078906864,True,13,25.999236406295406,103957.70783604709
13,2020-02-04,0,0,124.72441003518257,70684.81078906864,True,14,28.079379120765935,103957.70783604709
14,2020-02-05,0,0,124.72441003518257,70684.81078906864,True,15,30.325913850327865,103957.70783604709
15,2020-02-06,0,0,124.72441003518257,70684.81078906864,True,16,32.75214446206363,103957.70783604709
16,2020-02-07,0,0,124.72441003518257,70684.81078906864,True,17,35.37243754443315,103957.70783604709
17,2020-02-08,0,0,124.72441003518257,70684.81078906864,True,18,38.2023071335853,103957.70783604709
18,2020-02-09,0,0,124.72441003518257,70684.81078906864,True,19,41.25850616715051,103957.70783604709
