,Report_Date,Canada_quebec_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.69023322491535,17127.250961548736,False,1,0.39242066594829406,34254.50192309746
1,2020-01-23,0,84.69023322491535,17127.250961548736,False,2,0.44956223840088594,34254.50192309746
2,2020-01-24,0,84.69023322491535,17127.250961548736,False,3,0.5150242447467535,34254.50192309746
3,2020-01-25,0,84.69023322491535,17127.250961548736,False,4,0.5900181914913587,34254.50192309746
4,2020-01-26,0,84.69023322491535,17127.250961548736,False,5,0.6759319757500396,34254.50192309746
5,2020-01-27,0,84.69023322491535,17127.250961548736,False,6,0.7743555632159184,34254.50192309746
6,2020-01-28,0,84.69023322491535,17127.250961548736,False,7,0.8871104029921644,34254.50192309746
7,2020-01-29,0,84.69023322491535,17127.250961548736,False,8,1.0162831227347233,34254.50192309746
8,2020-01-30,0,84.69023322491535,17127.250961548736,False,9,1.164264126467716,34254.50192309746
9,2020-01-31,0,84.69023322491535,17127.250961548736,False,10,1.3337918077731608,34254.50192309746
10,2020-02-01,0,84.69023322491535,17127.250961548736,False,11,1.5280031944616217,34254.50192309746
11,2020-02-02,0,84.69023322491535,17127.250961548736,False,12,1.7504919591755677,34254.50192309746
12,2020-02-03,0,84.69023322491535,17127.250961548736,False,13,2.0053748658015027,34254.50192309746
13,2020-02-04,0,84.69023322491535,17127.250961548736,False,14,2.2973678765094347,34254.50192309746
14,2020-02-05,0,84.69023322491535,17127.250961548736,False,15,2.631873321478087,34254.50192309746
15,2020-02-06,0,84.69023322491535,17127.250961548736,False,16,3.0150797360657697,34254.50192309746
16,2020-02-07,0,84.69023322491535,17127.250961548736,False,17,3.4540762019493716,34254.50192309746
17,2020-02-08,0,84.69023322491535,17127.250961548736,False,18,3.956983293667036,34254.50192309746
18,2020-02-09,0,84.69023322491535,17127.250961548736,False,19,4.53310303470495,34254.50192309746
19,2020-02-10,0,84.69023322491535,17127.250961548736,False,20,5.193090613023839,34254.50192309746
20,2020-02-11,0,84.69023322491535,17127.250961548736,False,21,5.949151000674727,34254.50192309746
21,2020-02-12,0,84.69023322491535,17127.250961548736,False,22,6.815264072621449,34254.50192309746
22,2020-02-13,0,84.69023322491535,17127.250961548736,False,23,7.807442333631261,34254.50192309746
23,2020-02-14,0,84.69023322491535,17127.250961548736,False,24,8.94402594760731,34254.50192309746
