,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,98.26749250154,14461.801138080711,True,1,0.32518389188948255,26581.14311006925
1,2020-01-23,1,98.26749250154,14461.801138080711,True,2,0.36560316257632874,26581.14311006925
2,2020-01-24,3,98.26749250154,14461.801138080711,True,3,0.4110463420909104,26581.14311006925
3,2020-01-25,3,98.26749250154,14461.801138080711,True,4,0.46213785777901756,26581.14311006925
4,2020-01-26,4,98.26749250154,14461.801138080711,True,5,0.5195797427941201,26581.14311006925
5,2020-01-27,5,98.26749250154,14461.801138080711,True,6,0.5841612798785345,26581.14311006925
6,2020-01-28,7,98.26749250154,14461.801138080711,True,7,0.6567698431938751,26581.14311006925
7,2020-01-29,7,98.26749250154,14461.801138080711,True,8,0.7384030869431034,26581.14311006925
8,2020-01-30,10,98.26749250154,14461.801138080711,True,9,0.8301826479692015,26581.14311006925
9,2020-01-31,13,98.26749250154,14461.801138080711,True,10,0.9333695502385412,26581.14311006925
10,2020-02-01,16,98.26749250154,14461.801138080711,True,11,1.0493815224006697,26581.14311006925
11,2020-02-02,18,98.26749250154,14461.801138080711,True,12,1.1798124657747189,26581.14311006925
12,2020-02-03,18,98.26749250154,14461.801138080711,True,13,1.326454339498252,26581.14311006925
13,2020-02-04,24,98.26749250154,14461.801138080711,True,14,1.491321762581758,26581.14311006925
14,2020-02-05,28,98.26749250154,14461.801138080711,True,15,1.6766796696832884,26581.14311006925
15,2020-02-06,28,98.26749250154,14461.801138080711,True,16,1.885074399047744,26581.14311006925
16,2020-02-07,30,98.26749250154,14461.801138080711,True,17,2.1193686377977836,26581.14311006925
17,2020-02-08,33,98.26749250154,14461.801138080711,True,18,2.382780702237273,26581.14311006925
18,2020-02-09,40,98.26749250154,14461.801138080711,True,19,2.6789286897254247,26581.14311006925
19,2020-02-10,45,98.26749250154,14461.801138080711,True,20,3.0118801047724584,26581.14311006925
20,2020-02-11,47,98.26749250154,14461.801138080711,True,21,3.386207636157195,26581.14311006925
21,2020-02-12,50,98.26749250154,14461.801138080711,True,22,3.807051845033106,26581.14311006925
22,2020-02-13,58,98.26749250154,14461.801138080711,True,23,4.280191617240164,26581.14311006925
