,Report_Date,Yemen_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,138.47185259350874,390.7990327797865,False,1,0.014214268065682838,781.5980648556593
1,2020-01-23,0,138.47185259350874,390.7990327797865,False,2,0.015388824995730455,781.5980648556593
2,2020-01-24,0,138.47185259350874,390.7990327797865,False,3,0.01666043613694056,781.5980648556593
3,2020-01-25,0,138.47185259350874,390.7990327797865,False,4,0.01803712077001215,781.5980648556593
4,2020-01-26,0,138.47185259350874,390.7990327797865,False,5,0.019527560722024984,781.5980648556593
5,2020-01-27,0,138.47185259350874,390.7990327797865,False,6,0.021141155094932782,781.5980648556593
6,2020-01-28,0,138.47185259350874,390.7990327797865,False,7,0.02288807951299402,781.5980648556593
7,2020-01-29,0,138.47185259350874,390.7990327797865,False,8,0.024779350261957003,781.5980648556593
8,2020-01-30,0,138.47185259350874,390.7990327797865,False,9,0.026826893723520113,781.5980648556593
9,2020-01-31,0,138.47185259350874,390.7990327797865,False,10,0.029043621541811445,781.5980648556593
10,2020-02-01,0,138.47185259350874,390.7990327797865,False,11,0.03144351199457997,781.5980648556593
11,2020-02-02,0,138.47185259350874,390.7990327797865,False,12,0.03404169808068456,781.5980648556593
12,2020-02-03,0,138.47185259350874,390.7990327797865,False,13,0.03685456287754649,781.5980648556593
13,2020-02-04,0,138.47185259350874,390.7990327797865,False,14,0.039899842767754184,781.5980648556593
14,2020-02-05,0,138.47185259350874,390.7990327797865,False,15,0.04319673918325472,781.5980648556593
15,2020-02-06,0,138.47185259350874,390.7990327797865,False,16,0.04676603956883515,781.5980648556593
16,2020-02-07,0,138.47185259350874,390.7990327797865,False,17,0.05063024832421355,781.5980648556593
17,2020-02-08,0,138.47185259350874,390.7990327797865,False,18,0.05481372854637468,781.5980648556593
18,2020-02-09,0,138.47185259350874,390.7990327797865,False,19,0.0593428554611743,781.5980648556593
19,2020-02-10,0,138.47185259350874,390.7990327797865,False,20,0.06424618250610832,781.5980648556593
20,2020-02-11,0,138.47185259350874,390.7990327797865,False,21,0.06955462110493459,781.5980648556593
21,2020-02-12,0,138.47185259350874,390.7990327797865,False,22,0.07530163526001793,781.5980648556593
22,2020-02-13,0,138.47185259350874,390.7990327797865,False,23,0.08152345218035224,781.5980648556593
23,2020-02-14,0,138.47185259350874,390.7990327797865,False,24,0.08825929026274089,781.5980648556593
