,Report_Date,UK_gibraltar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.18659930922381,76.77770093839447,True,1,0.0018050861433895826,150.35998088864832
1,2020-01-23,0,71.18659930922381,76.77770093839447,True,2,0.0021219491626844876,150.35998088864832
2,2020-01-24,0,71.18659930922381,76.77770093839447,True,3,0.0024944330964496177,150.35998088864832
3,2020-01-25,0,71.18659930922381,76.77770093839447,True,4,0.0029323010808080165,150.35998088864832
4,2020-01-26,0,71.18659930922381,76.77770093839447,True,5,0.003447029842866914,150.35998088864832
5,2020-01-27,0,71.18659930922381,76.77770093839447,True,6,0.004052110413799741,150.35998088864832
6,2020-01-28,0,71.18659930922381,76.77770093839447,True,7,0.004763401593971616,150.35998088864832
7,2020-01-29,0,71.18659930922381,76.77770093839447,True,8,0.005599545416699557,150.35998088864832
8,2020-01-30,0,71.18659930922381,76.77770093839447,True,9,0.006582455475214765,150.35998088864832
9,2020-01-31,0,71.18659930922381,76.77770093839447,True,10,0.007737890877413703,150.35998088864832
10,2020-02-01,0,71.18659930922381,76.77770093839447,True,11,0.00909613082380239,150.35998088864832
11,2020-02-02,0,71.18659930922381,76.77770093839447,True,12,0.01069276742268052,150.35998088864832
12,2020-02-03,0,71.18659930922381,76.77770093839447,True,13,0.012569637429716994,150.35998088864832
13,2020-02-04,0,71.18659930922381,76.77770093839447,True,14,0.014775917204423877,150.35998088864832
14,2020-02-05,0,71.18659930922381,76.77770093839447,True,15,0.017369409404325287,150.35998088864832
15,2020-02-06,0,71.18659930922381,76.77770093839447,True,16,0.020418054894397866,150.35998088864832
16,2020-02-07,0,71.18659930922381,76.77770093839447,True,17,0.024001709157270484,150.35998088864832
17,2020-02-08,0,71.18659930922381,76.77770093839447,True,18,0.028214229290889133,150.35998088864832
18,2020-02-09,0,71.18659930922381,76.77770093839447,True,19,0.03316592563926015,150.35998088864832
19,2020-02-10,0,71.18659930922381,76.77770093839447,True,20,0.03898644140792706,150.35998088864832
20,2020-02-11,0,71.18659930922381,76.77770093839447,True,21,0.04582813448648155,150.35998088864832
21,2020-02-12,0,71.18659930922381,76.77770093839447,True,22,0.053870048384093004,150.35998088864832
22,2020-02-13,0,71.18659930922381,76.77770093839447,True,23,0.06332257396287642,150.35998088864832
23,2020-02-14,0,71.18659930922381,76.77770093839447,True,24,0.0744329208458691,150.35998088864832
24,2020-02-15,0,71.18659930922381,76.77770093839447,True,25,0.08749153733641334,150.35998088864832
25,2020-02-16,0,71.18659930922381,76.77770093839447,True,26,0.10283964080525469,150.35998088864832
26,2020-02-17,0,71.18659930922381,76.77770093839447,True,27,0.12087804720524517,150.35998088864832
27,2020-02-18,0,71.18659930922381,76.77770093839447,True,28,0.1420775191115501,150.35998088864832
28,2020-02-19,0,71.18659930922381,76.77770093839447,True,29,0.16699088692031255,150.35998088864832
29,2020-02-20,0,71.18659930922381,76.77770093839447,True,30,0.19626723802322307,150.35998088864832
30,2020-02-21,0,71.18659930922381,76.77770093839447,True,31,0.23066851431636176,150.35998088864832
31,2020-02-22,0,71.18659930922381,76.77770093839447,True,32,0.27108890960725135,150.35998088864832
32,2020-02-23,0,71.18659930922381,76.77770093839447,True,33,0.3185775154853618,150.35998088864832
33,2020-02-24,0,71.18659930922381,76.77770093839447,True,34,0.37436472685889893,150.35998088864832
34,2020-02-25,0,71.18659930922381,76.77770093839447,True,35,0.4398929860239792,150.35998088864832
35,2020-02-26,0,71.18659930922381,76.77770093839447,True,36,0.5168525155344676,150.35998088864832
36,2020-02-27,0,71.18659930922381,76.77770093839447,True,37,0.6072227630085917,150.35998088864832
37,2020-02-28,0,71.18659930922381,76.77770093839447,True,38,0.7133203516595119,150.35998088864832
38,2020-02-29,0,71.18659930922381,76.77770093839447,True,39,0.8378543931116691,150.35998088864832
39,2020-03-01,0,71.18659930922381,76.77770093839447,True,40,0.983990065574672,150.35998088864832
40,2020-03-02,0,71.18659930922381,76.77770093839447,True,41,1.1554213785969125,150.35998088864832
41,2020-03-03,0,71.18659930922381,76.77770093839447,True,42,1.3564540183657388,150.35998088864832
42,2020-03-04,1,71.18659930922381,76.77770093839447,True,43,1.5920990713169052,150.35998088864832
43,2020-03-05,1,71.18659930922381,76.77770093839447,True,44,1.8681782267747755,150.35998088864832
44,2020-03-06,1,71.18659930922381,76.77770093839447,True,45,2.1914407191284186,150.35998088864832
45,2020-03-07,1,71.18659930922381,76.77770093839447,True,46,2.569691731663962,150.35998088864832
46,2020-03-08,1,71.18659930922381,76.77770093839447,True,47,3.0119311779866798,150.35998088864832
47,2020-03-09,1,71.18659930922381,76.77770093839447,True,48,3.528500617538204,150.35998088864832
48,2020-03-10,1,71.18659930922381,76.77770093839447,True,49,4.131234448471755,150.35998088864832
49,2020-03-11,1,71.18659930922381,76.77770093839447,True,50,4.8336093424924815,150.35998088864832
50,2020-03-12,1,71.18659930922381,76.77770093839447,True,51,5.6508830295106245,150.35998088864832
51,2020-03-13,1,71.18659930922381,76.77770093839447,True,52,6.600209910366671,150.35998088864832
52,2020-03-14,1,71.18659930922381,76.77770093839447,True,53,7.7007165290822766,150.35998088864832
53,2020-03-15,1,71.18659930922381,76.77770093839447,True,54,8.973514728350636,150.35998088864832
54,2020-03-16,1,71.18659930922381,76.77770093839447,True,55,10.441624572463198,150.35998088864832
55,2020-03-17,3,71.18659930922381,76.77770093839447,True,56,12.129773347416162,150.35998088864832
56,2020-03-18,8,71.18659930922381,76.77770093839447,True,57,14.064032013847912,150.35998088864832
57,2020-03-19,10,71.18659930922381,76.77770093839447,True,58,16.27124775500088,150.35998088864832
58,2020-03-20,10,71.18659930922381,76.77770093839447,True,59,18.778232635408354,150.35998088864832
59,2020-03-21,10,71.18659930922381,76.77770093839447,True,60,21.610676266296124,150.35998088864832
60,2020-03-22,15,71.18659930922381,76.77770093839447,True,61,24.7917673941049,150.35998088864832
61,2020-03-23,15,71.18659930922381,76.77770093839447,True,62,28.34053778745041,150.35998088864832
62,2020-03-24,15,71.18659930922381,76.77770093839447,True,63,32.26998271921175,150.35998088864832
63,2020-03-25,26,71.18659930922381,76.77770093839447,True,64,36.58506421860406,150.35998088864832
64,2020-03-26,35,71.18659930922381,76.77770093839447,True,65,41.28076076575286,150.35998088864832
65,2020-03-27,55,71.18659930922381,76.77770093839447,True,66,46.34038024761286,150.35998088864832
66,2020-03-28,56,71.18659930922381,76.77770093839447,True,67,51.73438764905675,150.35998088864832
67,2020-03-29,65,71.18659930922381,76.77770093839447,True,68,57.419999252149104,150.35998088864832
