,Report_Date,South Africa_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.65085642352919,1137.4046705484045,True,1,0.026901232031107416,2222.438429490268
1,2020-01-23,0,68.65085642352919,1137.4046705484045,True,2,0.03181292019631588,2222.438429490268
2,2020-01-24,0,68.65085642352919,1137.4046705484045,True,3,0.0376213807331196,2222.438429490268
3,2020-01-25,0,68.65085642352919,1137.4046705484045,True,4,0.04449033976373829,2222.438429490268
4,2020-01-26,0,68.65085642352919,1137.4046705484045,True,5,0.05261341296970274,2222.438429490268
5,2020-01-27,0,68.65085642352919,1137.4046705484045,True,6,0.06221956123985366,2222.438429490268
6,2020-01-28,0,68.65085642352919,1137.4046705484045,True,7,0.07357954174673409,2222.438429490268
7,2020-01-29,0,68.65085642352919,1137.4046705484045,True,8,0.0870135359265179,2222.438429490268
8,2020-01-30,0,68.65085642352919,1137.4046705484045,True,9,0.1029001688626778,2222.438429490268
9,2020-01-31,0,68.65085642352919,1137.4046705484045,True,10,0.12168717358490105,2222.438429490268
10,2020-02-01,0,68.65085642352919,1137.4046705484045,True,11,0.14390399986793329,2222.438429490268
11,2020-02-02,0,68.65085642352919,1137.4046705484045,True,12,0.1701767215151768,2222.438429490268
12,2020-02-03,0,68.65085642352919,1137.4046705484045,True,13,0.20124566032541616,2222.438429490268
13,2020-02-04,0,68.65085642352919,1137.4046705484045,True,14,0.2379862207123285,2222.438429490268
14,2020-02-05,0,68.65085642352919,1137.4046705484045,True,15,0.2814335183194043,2222.438429490268
15,2020-02-06,0,68.65085642352919,1137.4046705484045,True,16,0.33281149133835847,2222.438429490268
16,2020-02-07,0,68.65085642352919,1137.4046705484045,True,17,0.3935673073875705,2222.438429490268
17,2020-02-08,0,68.65085642352919,1137.4046705484045,True,18,0.46541202498716633,2222.438429490268
18,2020-02-09,0,68.65085642352919,1137.4046705484045,True,19,0.5503686406491041,2222.438429490268
19,2020-02-10,0,68.65085642352919,1137.4046705484045,True,20,0.6508288547423003,2222.438429490268
20,2020-02-11,0,68.65085642352919,1137.4046705484045,True,21,0.7696201266088155,2222.438429490268
21,2020-02-12,0,68.65085642352919,1137.4046705484045,True,22,0.9100848676326335,2222.438429490268
22,2020-02-13,0,68.65085642352919,1137.4046705484045,True,23,1.0761739466086453,2222.438429490268
23,2020-02-14,0,68.65085642352919,1137.4046705484045,True,24,1.27255706214816,2222.438429490268
24,2020-02-15,0,68.65085642352919,1137.4046705484045,True,25,1.504752980121811,2222.438429490268
25,2020-02-16,0,68.65085642352919,1137.4046705484045,True,26,1.7792831491684642,2222.438429490268
26,2020-02-17,0,68.65085642352919,1137.4046705484045,True,27,2.1038528035850104,2222.438429490268
27,2020-02-18,0,68.65085642352919,1137.4046705484045,True,28,2.487564350278357,2222.438429490268
28,2020-02-19,0,68.65085642352919,1137.4046705484045,True,29,2.9411686245743107,2222.438429490268
29,2020-02-20,0,68.65085642352919,1137.4046705484045,True,30,3.477360497277497,2222.438429490268
30,2020-02-21,0,68.65085642352919,1137.4046705484045,True,31,4.1111263290852165,2222.438429490268
31,2020-02-22,0,68.65085642352919,1137.4046705484045,True,32,4.860151901004476,2222.438429490268
32,2020-02-23,0,68.65085642352919,1137.4046705484045,True,33,5.745300697038134,2222.438429490268
33,2020-02-24,0,68.65085642352919,1137.4046705484045,True,34,6.791173764092049,2222.438429490268
34,2020-02-25,0,68.65085642352919,1137.4046705484045,True,35,8.026763794285603,2222.438429490268
35,2020-02-26,0,68.65085642352919,1137.4046705484045,True,36,9.486217514201533,2222.438429490268
36,2020-02-27,0,68.65085642352919,1137.4046705484045,True,37,11.209721838628312,2222.438429490268
37,2020-02-28,0,68.65085642352919,1137.4046705484045,True,38,13.244530420801667,2222.438429490268
38,2020-02-29,0,68.65085642352919,1137.4046705484045,True,39,15.64614800975235,2222.438429490268
