,Report_Date,Congo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.93617411233262,29.517564666474374,False,1,0.020638638764892227,0.8974785229925469
1,2020-01-23,0,81.93617411233262,29.517564666474374,False,2,0.02277031851232565,0.8974785229925469
2,2020-01-24,0,81.93617411233262,29.517564666474374,False,3,0.02512207692976256,0.8974785229925469
3,2020-01-25,0,81.93617411233262,29.517564666474374,False,4,0.027716614998659978,0.8974785229925469
4,2020-01-26,0,81.93617411233262,29.517564666474374,False,5,0.030578970871075237,0.8974785229925469
5,2020-01-27,0,81.93617411233262,29.517564666474374,False,6,0.03373675953164956,0.8974785229925469
6,2020-01-28,0,81.93617411233262,29.517564666474374,False,7,0.037220436826645935,0.8974785229925469
7,2020-01-29,0,81.93617411233262,29.517564666474374,False,8,0.041063590292040736,0.8974785229925469
8,2020-01-30,0,81.93617411233262,29.517564666474374,False,9,0.04530325944544556,0.8974785229925469
9,2020-01-31,0,81.93617411233262,29.517564666474374,False,10,0.04998028845948293,0.8974785229925469
10,2020-02-01,0,81.93617411233262,29.517564666474374,False,11,0.05513971440838153,0.8974785229925469
11,2020-02-02,0,81.93617411233262,29.517564666474374,False,12,0.06083119457616127,0.8974785229925469
12,2020-02-03,0,81.93617411233262,29.517564666474374,False,13,0.0671094766349195,0.8974785229925469
13,2020-02-04,0,81.93617411233262,29.517564666474374,False,14,0.07403491584632815,0.8974785229925469
14,2020-02-05,0,81.93617411233262,29.517564666474374,False,15,0.08167404380920666,0.8974785229925469
15,2020-02-06,0,81.93617411233262,29.517564666474374,False,16,0.09010019367133848,0.8974785229925469
16,2020-02-07,0,81.93617411233262,29.517564666474374,False,17,0.09939418714452175,0.8974785229925469
17,2020-02-08,0,81.93617411233262,29.517564666474374,False,18,0.1096450891076041,0.8974785229925469
18,2020-02-09,0,81.93617411233262,29.517564666474374,False,19,0.12095103605164528,0.8974785229925469
19,2020-02-10,0,81.93617411233262,29.517564666474374,False,20,0.13342014511214229,0.8974785229925469
20,2020-02-11,0,81.93617411233262,29.517564666474374,False,21,0.14717151094203512,0.8974785229925469
21,2020-02-12,0,81.93617411233262,29.517564666474374,False,22,0.16233629820108175,0.8974785229925469
22,2020-02-13,0,81.93617411233262,29.517564666474374,False,23,0.1790589379654065,0.8974785229925469
23,2020-02-14,0,81.93617411233262,29.517564666474374,False,24,0.19749843688652652,0.8974785229925469
24,2020-02-15,0,81.93617411233262,29.517564666474374,False,25,0.21782980844007344,0.8974785229925469
25,2020-02-16,0,81.93617411233262,29.517564666474374,False,26,0.24024563608539545,0.8974785229925469
26,2020-02-17,0,81.93617411233262,29.517564666474374,False,27,0.2649577785886824,0.8974785229925469
27,2020-02-18,0,81.93617411233262,29.517564666474374,False,28,0.29219922811953647,0.8974785229925469
28,2020-02-19,0,81.93617411233262,29.517564666474374,False,29,0.32222613198319533,0.8974785229925469
29,2020-02-20,0,81.93617411233262,29.517564666474374,False,30,0.3553199889597724,0.8974785229925469
30,2020-02-21,0,81.93617411233262,29.517564666474374,False,31,0.39179003114102473,0.8974785229925469
31,2020-02-22,0,81.93617411233262,29.517564666474374,False,32,0.4319758018271741,0.8974785229925469
32,2020-02-23,0,81.93617411233262,29.517564666474374,False,33,0.47624993940198745,0.8974785229925469
33,2020-02-24,0,81.93617411233262,29.517564666474374,False,34,0.5250211760604875,0.8974785229925469
34,2020-02-25,0,81.93617411233262,29.517564666474374,False,35,0.5787375587210739,0.8974785229925469
35,2020-02-26,0,81.93617411233262,29.517564666474374,False,36,0.637889897294882,0.8974785229925469
36,2020-02-27,0,81.93617411233262,29.517564666474374,False,37,0.7030154425717567,0.8974785229925469
37,2020-02-28,0,81.93617411233262,29.517564666474374,False,38,0.7747017921533745,0.8974785229925469
38,2020-02-29,0,81.93617411233262,29.517564666474374,False,39,0.8535910179342692,0.8974785229925469
39,2020-03-01,0,81.93617411233262,29.517564666474374,False,40,0.9403840023891651,0.8974785229925469
40,2020-03-02,0,81.93617411233262,29.517564666474374,False,41,1.0358449631319513,0.8974785229925469
41,2020-03-03,0,81.93617411233262,29.517564666474374,False,42,1.1408061356038603,0.8974785229925469
42,2020-03-04,0,81.93617411233262,29.517564666474374,False,43,1.2561725720389743,0.8974785229925469
43,2020-03-05,0,81.93617411233262,29.517564666474374,False,44,1.3829270007397272,0.8974785229925469
44,2020-03-06,0,81.93617411233262,29.517564666474374,False,45,1.5221346728609009,0.8974785229925469
45,2020-03-07,0,81.93617411233262,29.517564666474374,False,46,1.6749481040414267,0.8974785229925469
46,2020-03-08,0,81.93617411233262,29.517564666474374,False,47,1.8426115950593125,0.8974785229925469
47,2020-03-09,0,81.93617411233262,29.517564666474374,False,48,2.026465388992395,0.8974785229925469
48,2020-03-10,0,81.93617411233262,29.517564666474374,False,49,2.2279492920166484,0.8974785229925469
49,2020-03-11,0,81.93617411233262,29.517564666474374,False,50,2.4486055509798805,0.8974785229925469
50,2020-03-12,0,81.93617411233262,29.517564666474374,False,51,2.690080743475642,0.8974785229925469
51,2020-03-13,0,81.93617411233262,29.517564666474374,False,52,2.9541263958215356,0.8974785229925469
52,2020-03-14,0,81.93617411233262,29.517564666474374,False,53,3.242598002009354,0.8974785229925469
53,2020-03-15,1,81.93617411233262,29.517564666474374,False,54,3.5574520737206647,0.8974785229925469
54,2020-03-16,1,81.93617411233262,29.517564666474374,False,55,3.900740809872837,0.8974785229925469
55,2020-03-17,1,81.93617411233262,29.517564666474374,False,56,4.274603936581533,0.8974785229925469
