,Report_Date,Central African Republic_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,143.21036366388486,1535.432759013558,False,1,0.033470166031804645,3070.8655180271176
1,2020-01-23,0,0,143.21036366388486,1535.432759013558,False,2,0.03627050888714651,3070.8655180271176
2,2020-01-24,0,0,143.21036366388486,1535.432759013558,False,3,0.03930514456694821,3070.8655180271176
3,2020-01-25,0,0,143.21036366388486,1535.432759013558,False,4,0.04259367483656504,3070.8655180271176
4,2020-01-26,0,0,143.21036366388486,1535.432759013558,False,5,0.04615734132314503,3070.8655180271176
5,2020-01-27,0,0,143.21036366388486,1535.432759013558,False,6,0.05001916268874564,3070.8655180271176
6,2020-01-28,0,0,143.21036366388486,1535.432759013558,False,7,0.054204083275101005,3070.8655180271176
7,2020-01-29,0,0,143.21036366388486,1535.432759013558,False,8,0.05873913417891925,3070.8655180271176
8,2020-01-30,0,0,143.21036366388486,1535.432759013558,False,9,0.06365360779665553,3070.8655180271176
9,2020-01-31,0,0,143.21036366388486,1535.432759013558,False,10,0.06897924696444213,3070.8655180271176
10,2020-02-01,0,0,143.21036366388486,1535.432759013558,False,11,0.07475044991281724,3070.8655180271176
11,2020-02-02,0,0,143.21036366388486,1535.432759013558,False,12,0.08100449235767739,3070.8655180271176
12,2020-02-03,0,0,143.21036366388486,1535.432759013558,False,13,0.08778176815913065,3070.8655180271176
13,2020-02-04,0,0,143.21036366388486,1535.432759013558,False,14,0.09512605009935242,3070.8655180271176
14,2020-02-05,0,0,143.21036366388486,1535.432759013558,False,15,0.10308477245989842,3070.8655180271176
15,2020-02-06,0,0,143.21036366388486,1535.432759013558,False,16,0.11170933721903148,3070.8655180271176
16,2020-02-07,0,0,143.21036366388486,1535.432759013558,False,17,0.12105544584135557,3070.8655180271176
17,2020-02-08,0,0,143.21036366388486,1535.432759013558,False,18,0.1311834587963811,3070.8655180271176
18,2020-02-09,0,0,143.21036366388486,1535.432759013558,False,19,0.14215878512060573,3070.8655180271176
19,2020-02-10,0,0,143.21036366388486,1535.432759013558,False,20,0.15405230453040428,3070.8655180271176
20,2020-02-11,0,0,143.21036366388486,1535.432759013558,False,21,0.16694082480168831,3070.8655180271176
21,2020-02-12,0,0,143.21036366388486,1535.432759013558,False,22,0.1809075773582297,3070.8655180271176
22,2020-02-13,0,0,143.21036366388486,1535.432759013558,False,23,0.1960427542551494,3070.8655180271176
23,2020-02-14,0,0,143.21036366388486,1535.432759013558,False,24,0.21244409000888267,3070.8655180271176
24,2020-02-15,0,0,143.21036366388486,1535.432759013558,False,25,0.23021749201157826,3070.8655180271176
25,2020-02-16,0,0,143.21036366388486,1535.432759013558,False,26,0.249477723578157,3070.8655180271176
26,2020-02-17,0,0,143.21036366388486,1535.432759013558,False,27,0.2703491440100443,3070.8655180271176
27,2020-02-18,0,0,143.21036366388486,1535.432759013558,False,28,0.29296651042297395,3070.8655180271176
28,2020-02-19,0,0,143.21036366388486,1535.432759013558,False,29,0.3174758464794426,3070.8655180271176
29,2020-02-20,0,0,143.21036366388486,1535.432759013558,False,30,0.34403538359178387,3070.8655180271176
30,2020-02-21,0,0,143.21036366388486,1535.432759013558,False,31,0.37281658062198014,3070.8655180271176
31,2020-02-22,0,0,143.21036366388486,1535.432759013558,False,32,0.40400522860202864,3070.8655180271176
32,2020-02-23,0,0,143.21036366388486,1535.432759013558,False,33,0.4378026475368677,3070.8655180271176
33,2020-02-24,0,0,143.21036366388486,1535.432759013558,False,34,0.47442698293378266,3070.8655180271176
34,2020-02-25,0,0,143.21036366388486,1535.432759013558,False,35,0.5141146103312321,3070.8655180271176
35,2020-02-26,0,0,143.21036366388486,1535.432759013558,False,36,0.5571216567798692,3070.8655180271176
36,2020-02-27,0,0,143.21036366388486,1535.432759013558,False,37,0.6037256489630963,3070.8655180271176
37,2020-02-28,0,0,143.21036366388486,1535.432759013558,False,38,0.654227298437986,3070.8655180271176
38,2020-02-29,0,0,143.21036366388486,1535.432759013558,False,39,0.7089524353343422,3070.8655180271176
39,2020-03-01,0,0,143.21036366388486,1535.432759013558,False,40,0.7682541027748334,3070.8655180271176
40,2020-03-02,0,0,143.21036366388486,1535.432759013558,False,41,0.832514825277623,3070.8655180271176
41,2020-03-03,0,0,143.21036366388486,1535.432759013558,False,42,0.9021490654801785,3070.8655180271176
42,2020-03-04,0,0,143.21036366388486,1535.432759013558,False,43,0.9776058846847225,3070.8655180271176
