,Report_Date,Central African Republic_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
43,2020-03-05,0,0,143.21036366388486,1535.432759013558,False,44,1.0593718239781984,3070.8655180271176
44,2020-03-06,0,0,143.21036366388486,1535.432759013558,False,45,1.1479740240290854,3070.8655180271176
45,2020-03-07,0,0,143.21036366388486,1535.432759013558,False,46,1.2439836031167537,3070.8655180271176
46,2020-03-08,0,0,143.21036366388486,1535.432759013558,False,47,1.348019314513325,3070.8655180271176
47,2020-03-09,0,0,143.21036366388486,1535.432759013558,False,48,1.4607515060207759,3070.8655180271176
48,2020-03-10,0,0,143.21036366388486,1535.432759013558,False,49,1.582906406274933,3070.8655180271176
49,2020-03-11,0,0,143.21036366388486,1535.432759013558,False,50,1.7152707643711727,3070.8655180271176
50,2020-03-12,0,0,143.21036366388486,1535.432759013558,False,51,1.858696871452319,3070.8655180271176
51,2020-03-13,0,0,143.21036366388486,1535.432759013558,False,52,2.014107995135839,3070.8655180271176
52,2020-03-14,0,0,143.21036366388486,1535.432759013558,False,53,2.1825042600537166,3070.8655180271176
53,2020-03-15,1,1,143.21036366388486,1535.432759013558,False,54,2.3649690103426866,3070.8655180271176
54,2020-03-16,1,1,143.21036366388486,1535.432759013558,False,55,2.562675692663671,3070.8655180271176
55,2020-03-17,1,1,143.21036366388486,1535.432759013558,False,56,2.7768953012553177,3070.8655180271176
56,2020-03-18,1,1,143.21036366388486,1535.432759013558,False,57,3.0090044296455427,3070.8655180271176
57,2020-03-19,1,1,143.21036366388486,1535.432759013558,False,58,3.260493976964146,3070.8655180271176
58,2020-03-20,3,3,143.21036366388486,1535.432759013558,False,59,3.532978560325269,3070.8655180271176
59,2020-03-21,3,3,143.21036366388486,1535.432759013558,False,60,3.8282066884859103,3070.8655180271176
60,2020-03-22,3,3,143.21036366388486,1535.432759013558,False,61,4.148071755939418,3070.8655180271176
61,2020-03-23,3,3,143.21036366388486,1535.432759013558,False,62,4.494623920772474,3070.8655180271176
62,2020-03-24,3,3,143.21036366388486,1535.432759013558,False,63,4.870082933999222,3070.8655180271176
63,2020-03-25,3,3,143.21036366388486,1535.432759013558,False,64,5.276851992682784,3070.8655180271176
64,2020-03-26,3,3,143.21036366388486,1535.432759013558,False,65,5.717532693953704,3070.8655180271176
65,2020-03-27,3,3,143.21036366388486,1535.432759013558,False,66,6.194941172023528,3070.8655180271176
66,2020-03-28,3,3,143.21036366388486,1535.432759013558,False,67,6.7121255054501106,3070.8655180271176
67,2020-03-29,3,3,143.21036366388486,1535.432759013558,False,68,7.272384487212427,3070.8655180271176
68,2020-03-30,3,3,143.21036366388486,1535.432759013558,False,69,7.87928785556067,3070.8655180271176
69,2020-03-31,3,3,143.21036366388486,1535.432759013558,False,70,8.53669808907571,3070.8655180271176
70,2020-04-01,3,3,143.21036366388486,1535.432759013558,False,71,9.248793874841457,3070.8655180271176
71,2020-04-02,3,3,143.21036366388486,1535.432759013558,False,72,10.020095364029453,3070.8655180271176
72,2020-04-03,8,8,143.21036366388486,1535.432759013558,False,73,10.855491334425583,3070.8655180271176
73,2020-04-04,8,8,143.21036366388486,1535.432759013558,False,74,11.760268384380295,3070.8655180271176
74,2020-04-05,8,8,143.21036366388486,1535.432759013558,False,75,12.740142287198502,3070.8655180271176
75,2020-04-06,8,8,143.21036366388486,1535.432759013558,False,76,13.801291638936895,3070.8655180271176
76,2020-04-07,8,8,143.21036366388486,1535.432759013558,False,77,14.95039393574423,3070.8655180271176
77,2020-04-08,8,8,143.21036366388486,1535.432759013558,False,78,16.19466421902574,3070.8655180271176
78,2020-04-09,8,8,143.21036366388486,1535.432759013558,False,79,17.541896427551833,3070.8655180271176
79,2020-04-10,8,8,143.21036366388486,1535.432759013558,False,80,19.000507594829475,3070.8655180271176
80,2020-04-11,8,8,143.21036366388486,1535.432759013558,False,81,20.579585027216464,3070.8655180271176
81,2020-04-12,8,8,143.21036366388486,1535.432759013558,False,82,22.288936592924912,3070.8655180271176
82,2020-04-13,11,8,143.21036366388486,1535.432759013558,False,83,24.13914424369256,3070.8655180271176
83,2020-04-14,11,7,143.21036366388486,1535.432759013558,False,84,26.141620878876804,3070.8655180271176
84,2020-04-15,12,8,143.21036366388486,1535.432759013558,False,85,28.308670645329908,3070.8655180271176
85,2020-04-16,12,8,143.21036366388486,1535.432759013558,False,86,30.65355274482025,3070.8655180271176
86,2020-04-17,12,8,143.21036366388486,1535.432759013558,False,87,33.190548793034594,3070.8655180271176
87,2020-04-18,12,8,143.21036366388486,1535.432759013558,False,88,35.93503373926399,3070.8655180271176
88,2020-04-19,12,8,143.21036366388486,1535.432759013558,False,89,38.90355031253972,3070.8655180271176
89,2020-04-20,12,8,143.21036366388486,1535.432759013558,False,90,42.113886906897264,3070.8655180271176
90,2020-04-21,14,4,143.21036366388486,1535.432759013558,False,91,45.585158754114765,3070.8655180271176
91,2020-04-22,14,4,143.21036366388486,1535.432759013558,False,92,49.33789215504722,3070.8655180271176
92,2020-04-23,16,6,143.21036366388486,1535.432759013558,False,93,53.394111448767454,3070.8655180271176
93,2020-04-24,16,6,143.21036366388486,1535.432759013558,False,94,57.77742829019654,3070.8655180271176
94,2020-04-25,16,6,143.21036366388486,1535.432759013558,False,95,62.513132679711845,3070.8655180271176
95,2020-04-26,19,9,143.21036366388486,1535.432759013558,False,96,67.62828504022316,3070.8655180271176
96,2020-04-27,19,9,143.21036366388486,1535.432759013558,False,97,73.15180846623431,3070.8655180271176
97,2020-04-28,50,40,143.21036366388486,1535.432759013558,False,98,79.11458007331353,3070.8655180271176
98,2020-04-29,50,40,143.21036366388486,1535.432759013558,False,99,85.54952015315777,3070.8655180271176
99,2020-04-30,50,40,143.21036366388486,1535.432759013558,False,100,92.49167758726367,3070.8655180271176
100,2020-05-01,72,62,143.21036366388486,1535.432759013558,False,101,99.97830968973268,3070.8655180271176
101,2020-05-02,72,62,143.21036366388486,1535.432759013558,False,102,108.04895433612671,3070.8655180271176
102,2020-05-03,72,62,143.21036366388486,1535.432759013558,False,103,116.74549189060667,3070.8655180271176
103,2020-05-04,85,75,143.21036366388486,1535.432759013558,False,104,126.11219406897074,3070.8655180271176
104,2020-05-05,85,75,143.21036366388486,1535.432759013558,False,105,136.19575647330967,3070.8655180271176
105,2020-05-06,94,84,143.21036366388486,1535.432759013558,False,106,147.04531110933223,3070.8655180271176
106,2020-05-07,94,84,143.21036366388486,1535.432759013558,False,107,158.71241475681393,3070.8655180271176
107,2020-05-08,143,133,143.21036366388486,1535.432759013558,False,108,171.25100861683455,3070.8655180271176
108,2020-05-09,143,133,143.21036366388486,1535.432759013558,False,109,184.71734421953985,3070.8655180271176
109,2020-05-10,143,133,143.21036366388486,1535.432759013558,False,110,199.1698701601962,3070.8655180271176
110,2020-05-11,143,133,143.21036366388486,1535.432759013558,False,111,214.66907386077722,3070.8655180271176
111,2020-05-12,143,133,143.21036366388486,1535.432759013558,False,112,231.2772722557696,3070.8655180271176
112,2020-05-13,143,133,143.21036366388486,1535.432759013558,False,113,249.0583451060243,3070.8655180271176
113,2020-05-14,143,133,143.21036366388486,1535.432759013558,False,114,268.0774045904843,3070.8655180271176
114,2020-05-15,301,288,143.21036366388486,1535.432759013558,False,115,288.40039495484865,3070.8655180271176
115,2020-05-16,327,314,143.21036366388486,1535.432759013558,False,116,310.09361635550846,3070.8655180271176
116,2020-05-17,327,314,143.21036366388486,1535.432759013558,False,117,333.2231676767278,3070.8655180271176
117,2020-05-18,327,314,143.21036366388486,1535.432759013558,False,118,357.85430407057834,3070.8655180271176
118,2020-05-19,366,348,143.21036366388486,1535.432759013558,False,119,384.0507063230459,3070.8655180271176
119,2020-05-20,418,400,143.21036366388486,1535.432759013558,False,120,411.8736609312569,3070.8655180271176
120,2020-05-21,436,418,143.21036366388486,1535.432759013558,False,121,441.38115202186015,3070.8655180271176
121,2020-05-22,479,461,143.21036366388486,1535.432759013558,False,122,472.62686896978835,3070.8655180271176
122,2020-05-23,552,533,143.21036366388486,1535.432759013558,False,123,505.6591367891802,3070.8655180271176
123,2020-05-24,604,581,143.21036366388486,1535.432759013558,False,124,540.5197800351322,3070.8655180271176
124,2020-05-25,652,629,143.21036366388486,1535.432759013558,False,125,577.2429350120201,3070.8655180271176
125,2020-05-26,671,648,143.21036366388486,1535.432759013558,False,126,615.8538294264047,3070.8655180271176
126,2020-05-27,702,678,143.21036366388486,1535.432759013558,False,127,656.3675530991883,3070.8655180271176
127,2020-05-28,755,731,143.21036366388486,1535.432759013558,False,128,698.787847764834,3070.8655180271176
