,Report_Date,Sweden_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0.00503081436115917,492.2396625967534,True,1,984.4793251935055,984.4793251935068
1,2020-01-23,0,0.00503081436115917,492.2396625967534,True,2,984.4793251935068,984.4793251935068
2,2020-01-24,0,0.00503081436115917,492.2396625967534,True,3,984.4793251935068,984.4793251935068
3,2020-01-25,0,0.00503081436115917,492.2396625967534,True,4,984.4793251935068,984.4793251935068
4,2020-01-26,0,0.00503081436115917,492.2396625967534,True,5,984.4793251935068,984.4793251935068
5,2020-01-27,0,0.00503081436115917,492.2396625967534,True,6,984.4793251935068,984.4793251935068
6,2020-01-28,0,0.00503081436115917,492.2396625967534,True,7,984.4793251935068,984.4793251935068
7,2020-01-29,0,0.00503081436115917,492.2396625967534,True,8,984.4793251935068,984.4793251935068
8,2020-01-30,0,0.00503081436115917,492.2396625967534,True,9,984.4793251935068,984.4793251935068
9,2020-01-31,1,0.00503081436115917,492.2396625967534,True,10,984.4793251935068,984.4793251935068
10,2020-02-01,1,0.00503081436115917,492.2396625967534,True,11,984.4793251935068,984.4793251935068
11,2020-02-02,1,0.00503081436115917,492.2396625967534,True,12,984.4793251935068,984.4793251935068
12,2020-02-03,1,0.00503081436115917,492.2396625967534,True,13,984.4793251935068,984.4793251935068
13,2020-02-04,1,0.00503081436115917,492.2396625967534,True,14,984.4793251935068,984.4793251935068
14,2020-02-05,1,0.00503081436115917,492.2396625967534,True,15,984.4793251935068,984.4793251935068
15,2020-02-06,1,0.00503081436115917,492.2396625967534,True,16,984.4793251935068,984.4793251935068
16,2020-02-07,1,0.00503081436115917,492.2396625967534,True,17,984.4793251935068,984.4793251935068
17,2020-02-08,1,0.00503081436115917,492.2396625967534,True,18,984.4793251935068,984.4793251935068
18,2020-02-09,1,0.00503081436115917,492.2396625967534,True,19,984.4793251935068,984.4793251935068
19,2020-02-10,1,0.00503081436115917,492.2396625967534,True,20,984.4793251935068,984.4793251935068
20,2020-02-11,1,0.00503081436115917,492.2396625967534,True,21,984.4793251935068,984.4793251935068
21,2020-02-12,1,0.00503081436115917,492.2396625967534,True,22,984.4793251935068,984.4793251935068
22,2020-02-13,1,0.00503081436115917,492.2396625967534,True,23,984.4793251935068,984.4793251935068
23,2020-02-14,1,0.00503081436115917,492.2396625967534,True,24,984.4793251935068,984.4793251935068
24,2020-02-15,1,0.00503081436115917,492.2396625967534,True,25,984.4793251935068,984.4793251935068
25,2020-02-16,1,0.00503081436115917,492.2396625967534,True,26,984.4793251935068,984.4793251935068
26,2020-02-17,1,0.00503081436115917,492.2396625967534,True,27,984.4793251935068,984.4793251935068
27,2020-02-18,1,0.00503081436115917,492.2396625967534,True,28,984.4793251935068,984.4793251935068
28,2020-02-19,1,0.00503081436115917,492.2396625967534,True,29,984.4793251935068,984.4793251935068
29,2020-02-20,1,0.00503081436115917,492.2396625967534,True,30,984.4793251935068,984.4793251935068
30,2020-02-21,1,0.00503081436115917,492.2396625967534,True,31,984.4793251935068,984.4793251935068
31,2020-02-22,1,0.00503081436115917,492.2396625967534,True,32,984.4793251935068,984.4793251935068
32,2020-02-23,1,0.00503081436115917,492.2396625967534,True,33,984.4793251935068,984.4793251935068
33,2020-02-24,1,0.00503081436115917,492.2396625967534,True,34,984.4793251935068,984.4793251935068
34,2020-02-25,1,0.00503081436115917,492.2396625967534,True,35,984.4793251935068,984.4793251935068
35,2020-02-26,2,0.00503081436115917,492.2396625967534,True,36,984.4793251935068,984.4793251935068
36,2020-02-27,7,0.00503081436115917,492.2396625967534,True,37,984.4793251935068,984.4793251935068
37,2020-02-28,7,0.00503081436115917,492.2396625967534,True,38,984.4793251935068,984.4793251935068
38,2020-02-29,12,0.00503081436115917,492.2396625967534,True,39,984.4793251935068,984.4793251935068
39,2020-03-01,14,0.00503081436115917,492.2396625967534,True,40,984.4793251935068,984.4793251935068
40,2020-03-02,15,0.00503081436115917,492.2396625967534,True,41,984.4793251935068,984.4793251935068
41,2020-03-03,21,0.00503081436115917,492.2396625967534,True,42,984.4793251935068,984.4793251935068
42,2020-03-04,35,0.00503081436115917,492.2396625967534,True,43,984.4793251935068,984.4793251935068
43,2020-03-05,94,0.00503081436115917,492.2396625967534,True,44,984.4793251935068,984.4793251935068
44,2020-03-06,101,0.00503081436115917,492.2396625967534,True,45,984.4793251935068,984.4793251935068
45,2020-03-07,161,0.00503081436115917,492.2396625967534,True,46,984.4793251935068,984.4793251935068
46,2020-03-08,203,0.00503081436115917,492.2396625967534,True,47,984.4793251935068,984.4793251935068
47,2020-03-09,248,0.00503081436115917,492.2396625967534,True,48,984.4793251935068,984.4793251935068
48,2020-03-10,355,0.00503081436115917,492.2396625967534,True,49,984.4793251935068,984.4793251935068
49,2020-03-11,500,0.00503081436115917,492.2396625967534,True,50,984.4793251935068,984.4793251935068
50,2020-03-12,599,0.00503081436115917,492.2396625967534,True,51,984.4793251935068,984.4793251935068
51,2020-03-13,814,0.00503081436115917,492.2396625967534,True,52,984.4793251935068,984.4793251935068
52,2020-03-14,961,0.00503081436115917,492.2396625967534,True,53,984.4793251935068,984.4793251935068
53,2020-03-15,1022,0.00503081436115917,492.2396625967534,True,54,984.4793251935068,984.4793251935068
54,2020-03-16,1103,0.00503081436115917,492.2396625967534,True,55,984.4793251935068,984.4793251935068
55,2020-03-17,1190,0.00503081436115917,492.2396625967534,True,56,984.4793251935068,984.4793251935068
56,2020-03-18,1279,0.00503081436115917,492.2396625967534,True,57,984.4793251935068,984.4793251935068
