,Report_Date,Qatar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,136.77985753117096,123397.3939852044,False,1,2.6846419472959813,246794.7879704087
1,2020-01-23,0,136.77985753117096,123397.3939852044,False,2,2.9203913046410284,246794.7879704087
2,2020-01-24,0,136.77985753117096,123397.3939852044,False,3,3.176842507950063,246794.7879704087
3,2020-01-25,0,136.77985753117096,123397.3939852044,False,4,3.455813398480209,246794.7879704087
4,2020-01-26,0,136.77985753117096,123397.3939852044,False,5,3.759281434239907,246794.7879704087
5,2020-01-27,0,136.77985753117096,123397.3939852044,False,6,4.089397703600836,246794.7879704087
6,2020-01-28,0,136.77985753117096,123397.3939852044,False,7,4.448502168939013,246794.7879704087
7,2020-01-29,0,136.77985753117096,123397.3939852044,False,8,4.839140248214284,246794.7879704087
8,2020-01-30,0,136.77985753117096,123397.3939852044,False,9,5.264080851854081,246794.7879704087
9,2020-01-31,0,136.77985753117096,123397.3939852044,False,10,5.726336002590861,246794.7879704087
10,2020-02-01,0,136.77985753117096,123397.3939852044,False,11,6.229182177084968,246794.7879704087
11,2020-02-02,0,136.77985753117096,123397.3939852044,False,12,6.776183520324065,246794.7879704087
12,2020-02-03,0,136.77985753117096,123397.3939852044,False,13,7.371217097011451,246794.7879704087
13,2020-02-04,0,136.77985753117096,123397.3939852044,False,14,8.018500358530952,246794.7879704087
14,2020-02-05,0,136.77985753117096,123397.3939852044,False,15,8.7226210197054,246794.7879704087
15,2020-02-06,0,136.77985753117096,123397.3939852044,False,16,9.488569556557886,246794.7879704087
16,2020-02-07,0,136.77985753117096,123397.3939852044,False,17,10.32177455475771,246794.7879704087
17,2020-02-08,0,136.77985753117096,123397.3939852044,False,18,11.228141158514205,246794.7879704087
18,2020-02-09,0,136.77985753117096,123397.3939852044,False,19,12.214092891510104,246794.7879704087
19,2020-02-10,0,136.77985753117096,123397.3939852044,False,20,13.286617145192425,246794.7879704087
20,2020-02-11,0,136.77985753117096,123397.3939852044,False,21,14.453314655525942,246794.7879704087
21,2020-02-12,0,136.77985753117096,123397.3939852044,False,22,15.72245331733913,246794.7879704087
22,2020-02-13,0,136.77985753117096,123397.3939852044,False,23,17.103026715846674,246794.7879704087
23,2020-02-14,0,136.77985753117096,123397.3939852044,False,24,18.604817788023556,246794.7879704087
24,2020-02-15,0,136.77985753117096,123397.3939852044,False,25,20.238468062458303,246794.7879704087
25,2020-02-16,0,136.77985753117096,123397.3939852044,False,26,22.015552965370055,246794.7879704087
26,2020-02-17,0,136.77985753117096,123397.3939852044,False,27,23.94866372289916,246794.7879704087
27,2020-02-18,0,136.77985753117096,123397.3939852044,False,28,26.05149643585786,246794.7879704087
28,2020-02-19,0,136.77985753117096,123397.3939852044,False,29,28.338948953164238,246794.7879704087
29,2020-02-20,0,136.77985753117096,123397.3939852044,False,30,30.82722622450972,246794.7879704087
30,2020-02-21,0,136.77985753117096,123397.3939852044,False,31,33.533954871787614,246794.7879704087
31,2020-02-22,0,136.77985753117096,123397.3939852044,False,32,36.47830778282184,246794.7879704087
32,2020-02-23,0,136.77985753117096,123397.3939852044,False,33,39.681139600398126,246794.7879704087
33,2020-02-24,0,136.77985753117096,123397.3939852044,False,34,43.165134054961875,246794.7879704087
34,2020-02-25,0,136.77985753117096,123397.3939852044,False,35,46.95496417108842,246794.7879704087
35,2020-02-26,0,136.77985753117096,123397.3939852044,False,36,51.0774664664701,246794.7879704087
36,2020-02-27,0,136.77985753117096,123397.3939852044,False,37,55.56183035825431,246794.7879704087
37,2020-02-28,0,136.77985753117096,123397.3939852044,False,38,60.43980409570027,246794.7879704087
38,2020-02-29,1,136.77985753117096,123397.3939852044,False,39,65.74591865093596,246794.7879704087
39,2020-03-01,3,136.77985753117096,123397.3939852044,False,40,71.51773112176728,246794.7879704087
40,2020-03-02,3,136.77985753117096,123397.3939852044,False,41,77.79608933273792,246794.7879704087
41,2020-03-03,7,136.77985753117096,123397.3939852044,False,42,84.62541946373226,246794.7879704087
42,2020-03-04,8,136.77985753117096,123397.3939852044,False,43,92.0540386901619,246794.7879704087
43,2020-03-05,8,136.77985753117096,123397.3939852044,False,44,100.13449498604092,246794.7879704087
