,Report_Date,Bahrain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,135.28293222622528,13422.304608494267,False,1,11.18501732152377,26844.60921698852
1,2020-01-23,0,135.28293222622528,13422.304608494267,False,2,11.852143237688775,26844.60921698852
2,2020-01-24,0,135.28293222622528,13422.304608494267,False,3,12.55904099076744,26844.60921698852
3,2020-01-25,0,135.28293222622528,13422.304608494267,False,4,13.308079358241509,26844.60921698852
4,2020-01-26,0,135.28293222622528,13422.304608494267,False,5,14.101767919009164,26844.60921698852
5,2020-01-27,0,135.28293222622528,13422.304608494267,False,6,14.942765388176877,26844.60921698852
6,2020-01-28,0,135.28293222622528,13422.304608494267,False,7,15.833888440988355,26844.60921698852
7,2020-01-29,0,135.28293222622528,13422.304608494267,False,8,16.778121054073207,26844.60921698852
8,2020-01-30,0,135.28293222622528,13422.304608494267,False,9,17.77862439375707,26844.60921698852
9,2020-01-31,0,135.28293222622528,13422.304608494267,False,10,18.83874728281191,26844.60921698852
10,2020-02-01,0,135.28293222622528,13422.304608494267,False,11,19.962037278743388,26844.60921698852
11,2020-02-02,0,135.28293222622528,13422.304608494267,False,12,21.15225239851397,26844.60921698852
12,2020-02-03,0,135.28293222622528,13422.304608494267,False,13,22.413373526488684,26844.60921698852
13,2020-02-04,0,135.28293222622528,13422.304608494267,False,14,23.749617544367997,26844.60921698852
14,2020-02-05,0,135.28293222622528,13422.304608494267,False,15,25.165451223941215,26844.60921698852
15,2020-02-06,0,135.28293222622528,13422.304608494267,False,16,26.665605925656756,26844.60921698852
16,2020-02-07,0,135.28293222622528,13422.304608494267,False,17,28.255093148264436,26844.60921698852
17,2020-02-08,0,135.28293222622528,13422.304608494267,False,18,29.93922097714154,26844.60921698852
18,2020-02-09,0,135.28293222622528,13422.304608494267,False,19,31.723611481369844,26844.60921698852
19,2020-02-10,0,135.28293222622528,13422.304608494267,False,20,33.61421911218656,26844.60921698852
20,2020-02-11,0,135.28293222622528,13422.304608494267,False,21,35.61735015808783,26844.60921698852
21,2020-02-12,0,135.28293222622528,13422.304608494267,False,22,37.73968331461991,26844.60921698852
22,2020-02-13,0,135.28293222622528,13422.304608494267,False,23,39.98829142974819,26844.60921698852
23,2020-02-14,0,135.28293222622528,13422.304608494267,False,24,42.37066448864716,26844.60921698852
