,Report_Date,Congo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,108.83745488527795,310.68178002609625,True,1,0.23417811030279442,530.6463023796346
1,2020-01-23,0,108.83745488527795,310.68178002609625,True,2,0.2519312245609097,530.6463023796346
2,2020-01-24,0,108.83745488527795,310.68178002609625,True,3,0.2710296205781999,530.6463023796346
3,2020-01-25,0,108.83745488527795,310.68178002609625,True,4,0.2915751476652029,530.6463023796346
4,2020-01-26,0,108.83745488527795,310.68178002609625,True,5,0.31367735145430536,530.6463023796346
5,2020-01-27,0,108.83745488527795,310.68178002609625,True,6,0.3374540531901541,530.6463023796346
6,2020-01-28,0,108.83745488527795,310.68178002609625,True,7,0.3630319722620721,530.6463023796346
7,2020-01-29,0,108.83745488527795,310.68178002609625,True,8,0.3905473951494905,530.6463023796346
8,2020-01-30,0,108.83745488527795,310.68178002609625,True,9,0.42014689417492723,530.6463023796346
9,2020-01-31,0,108.83745488527795,310.68178002609625,True,10,0.45198809969686204,530.6463023796346
10,2020-02-01,0,108.83745488527795,310.68178002609625,True,11,0.48624052962766434,530.6463023796346
11,2020-02-02,0,108.83745488527795,310.68178002609625,True,12,0.5230864804301687,530.6463023796346
12,2020-02-03,0,108.83745488527795,310.68178002609625,True,13,0.5627219840312285,530.6463023796346
13,2020-02-04,0,108.83745488527795,310.68178002609625,True,14,0.6053578353921872,530.6463023796346
14,2020-02-05,0,108.83745488527795,310.68178002609625,True,15,0.6512206957952711,530.6463023796346
15,2020-02-06,0,108.83745488527795,310.68178002609625,True,16,0.7005542772419003,530.6463023796346
16,2020-02-07,0,108.83745488527795,310.68178002609625,True,17,0.7536206137142252,530.6463023796346
17,2020-02-08,0,108.83745488527795,310.68178002609625,True,18,0.8107014254251317,530.6463023796346
18,2020-02-09,0,108.83745488527795,310.68178002609625,True,19,0.8720995825746226,530.6463023796346
19,2020-02-10,0,108.83745488527795,310.68178002609625,True,20,0.9381406755418467,530.6463023796346
20,2020-02-11,0,108.83745488527795,310.68178002609625,True,21,1.0091746988718415,530.6463023796346
