,Report_Date,Georgia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,89.1340383966201,376.26078397872044,True,1,0.3276741081995548,742.3551981651583
1,2020-01-23,0,0,89.1340383966201,376.26078397872044,True,2,0.3577326603253001,742.3551981651583
2,2020-01-24,0,0,89.1340383966201,376.26078397872044,True,3,0.39054714408495883,742.3551981651583
3,2020-01-25,0,0,89.1340383966201,376.26078397872044,True,4,0.4263699636124236,742.3551981651583
4,2020-01-26,0,0,89.1340383966201,376.26078397872044,True,5,0.465476586975906,742.3551981651583
5,2020-01-27,0,0,89.1340383966201,376.26078397872044,True,6,0.5081676435812524,742.3551981651583
6,2020-01-28,0,0,89.1340383966201,376.26078397872044,True,7,0.5547712103691101,742.3551981651583
7,2020-01-29,0,0,89.1340383966201,376.26078397872044,True,8,0.6056453034262386,742.3551981651583
8,2020-01-30,0,0,89.1340383966201,376.26078397872044,True,9,0.6611805930220244,742.3551981651583
9,2020-01-31,0,0,89.1340383966201,376.26078397872044,True,10,0.7218033615741464,742.3551981651583
10,2020-02-01,0,0,89.1340383966201,376.26078397872044,True,11,0.7879787256469066,742.3551981651583
11,2020-02-02,0,0,89.1340383966201,376.26078397872044,True,12,0.8602141447960984,742.3551981651583
12,2020-02-03,0,0,89.1340383966201,376.26078397872044,True,13,0.9390632418988246,742.3551981651583
13,2020-02-04,0,0,89.1340383966201,376.26078397872044,True,14,1.0251299615478953,742.3551981651583
14,2020-02-05,0,0,89.1340383966201,376.26078397872044,True,15,1.1190730951495351,742.3551981651583
15,2020-02-06,0,0,89.1340383966201,376.26078397872044,True,16,1.2216112035397566,742.3551981651583
16,2020-02-07,0,0,89.1340383966201,376.26078397872044,True,17,1.3335279702263518,742.3551981651583
17,2020-02-08,0,0,89.1340383966201,376.26078397872044,True,18,1.4556780207650017,742.3551981651583
18,2020-02-09,0,0,89.1340383966201,376.26078397872044,True,19,1.5889932462809582,742.3551981651583
19,2020-02-10,0,0,89.1340383966201,376.26078397872044,True,20,1.7344896717396843,742.3551981651583
20,2020-02-11,0,0,89.1340383966201,376.26078397872044,True,21,1.8932749122331085,742.3551981651583
21,2020-02-12,0,0,89.1340383966201,376.26078397872044,True,22,2.0665562632590224,742.3551981651583
22,2020-02-13,0,0,89.1340383966201,376.26078397872044,True,23,2.2556494736983903,742.3551981651583
23,2020-02-14,0,0,89.1340383966201,376.26078397872044,True,24,2.4619882528985686,742.3551981651583
24,2020-02-15,0,0,89.1340383966201,376.26078397872044,True,25,2.6871345658984556,742.3551981651583
25,2020-02-16,0,0,89.1340383966201,376.26078397872044,True,26,2.9327897733200605,742.3551981651583
26,2020-02-17,0,0,89.1340383966201,376.26078397872044,True,27,3.200806674720075,742.3551981651583
