,Report_Date,China_gansu_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,22.30424071848982,69.62951828173536,True,1,22.676140065192175,139.23988437036485
1,2020-01-23,2,2,22.30424071848982,69.62951828173536,True,2,24.17314227028103,139.23988437036485
2,2020-01-24,2,2,22.30424071848982,69.62951828173536,True,3,25.74714571523988,139.23988437036485
3,2020-01-25,4,4,22.30424071848982,69.62951828173536,True,4,27.399238124224837,139.23988437036485
4,2020-01-26,7,7,22.30424071848982,69.62951828173536,True,5,29.130134265022576,139.23988437036485
5,2020-01-27,14,14,22.30424071848982,69.62951828173536,True,6,30.940131699353778,139.23988437036485
6,2020-01-28,19,19,22.30424071848982,69.62951828173536,True,7,32.82906796363106,139.23988437036485
7,2020-01-29,24,24,22.30424071848982,69.62951828173536,True,8,34.796280330163945,139.23988437036485
8,2020-01-30,26,26,22.30424071848982,69.62951828173536,True,9,36.840569393049364,139.23988437036485
9,2020-01-31,29,29,22.30424071848982,69.62951828173536,True,10,38.960167783714994,139.23988437036485
10,2020-02-01,40,40,22.30424071848982,69.62951828173536,True,11,41.15271533917824,139.23988437036485
11,2020-02-02,51,48,22.30424071848982,69.62951828173536,True,12,43.41524201328677,139.23988437036485
12,2020-02-03,55,52,22.30424071848982,69.62951828173536,True,13,45.744159730911186,139.23988437036485
13,2020-02-04,57,53,22.30424071848982,69.62951828173536,True,14,48.13526423314369,139.23988437036485
14,2020-02-05,62,56,22.30424071848982,69.62951828173536,True,15,50.583747747152195,139.23988437036485
15,2020-02-06,62,56,22.30424071848982,69.62951828173536,True,16,53.08422304046827,139.23988437036485
16,2020-02-07,67,58,22.30424071848982,69.62951828173536,True,17,55.630759093441995,139.23988437036485
17,2020-02-08,79,66,22.30424071848982,69.62951828173536,True,18,58.21692825699854,139.23988437036485
18,2020-02-09,83,65,22.30424071848982,69.62951828173536,True,19,60.835864371290974,139.23988437036485
19,2020-02-10,83,64,22.30424071848982,69.62951828173536,True,20,63.480330923208676,139.23988437036485
20,2020-02-11,86,60,22.30424071848982,69.62951828173536,True,21,66.14279793790637,139.23988437036485
21,2020-02-12,87,54,22.30424071848982,69.62951828173536,True,22,68.81552595312043,139.23988437036485
22,2020-02-13,90,49,22.30424071848982,69.62951828173536,True,23,71.49065513556495,139.23988437036485
23,2020-02-14,90,49,22.30424071848982,69.62951828173536,True,24,74.16029738395916,139.23988437036485
24,2020-02-15,90,39,22.30424071848982,69.62951828173536,True,25,76.81662913679891,139.23988437036485
25,2020-02-16,90,34,22.30424071848982,69.62951828173536,True,26,79.451982572969,139.23988437036485
26,2020-02-17,91,31,22.30424071848982,69.62951828173536,True,27,82.05893296164383,139.23988437036485
27,2020-02-18,91,27,22.30424071848982,69.62951828173536,True,28,84.63038008022392,139.23988437036485
28,2020-02-19,91,24,22.30424071848982,69.62951828173536,True,29,87.15962186493844,139.23988437036485
29,2020-02-20,91,18,22.30424071848982,69.62951828173536,True,30,89.64041877281308,139.23988437036485
30,2020-02-21,91,13,22.30424071848982,69.62951828173536,True,31,92.06704769688905,139.23988437036485
31,2020-02-22,91,13,22.30424071848982,69.62951828173536,True,32,94.43434466775496,139.23988437036485
32,2020-02-23,91,11,22.30424071848982,69.62951828173536,True,33,96.73773597210806,139.23988437036485
33,2020-02-24,91,9,22.30424071848982,69.62951828173536,True,34,98.97325770292538,139.23988437036485
34,2020-02-25,91,9,22.30424071848982,69.62951828173536,True,35,101.13756410819732,139.23988437036485
35,2020-02-26,91,8,22.30424071848982,69.62951828173536,True,36,103.22792541194264,139.23988437036485
36,2020-02-27,91,8,22.30424071848982,69.62951828173536,True,37,105.24221603244018,139.23988437036485
