,Report_Date,China_gansu_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,91,7,22.30424071848982,69.62951828173536,True,38,107.17889431268526,139.23988437036485
38,2020-02-29,91,7,22.30424071848982,69.62951828173536,True,39,109.03697500557064,139.23988437036485
39,2020-03-01,91,5,22.30424071848982,69.62951828173536,True,40,110.81599582342866,139.23988437036485
40,2020-03-02,91,4,22.30424071848982,69.62951828173536,True,41,112.51597937354694,139.23988437036485
41,2020-03-03,91,3,22.30424071848982,69.62951828173536,True,42,114.13739176543348,139.23988437036485
42,2020-03-04,91,2,22.30424071848982,69.62951828173536,True,43,115.68109910064791,139.23988437036485
43,2020-03-05,102,13,22.30424071848982,69.62951828173536,True,44,117.1483229511828,139.23988437036485
44,2020-03-06,119,30,22.30424071848982,69.62951828173536,True,45,118.5405958068237,139.23988437036485
45,2020-03-07,120,31,22.30424071848982,69.62951828173536,True,46,119.85971733417638,139.23988437036485
46,2020-03-08,124,35,22.30424071848982,69.62951828173536,True,47,121.10771214765873,139.23988437036485
47,2020-03-09,124,34,22.30424071848982,69.62951828173536,True,48,122.28678965204296,139.23988437036485
48,2020-03-10,125,35,22.30424071848982,69.62951828173536,True,49,123.39930638210163,139.23988437036485
49,2020-03-11,127,37,22.30424071848982,69.62951828173536,True,50,124.44773114127145,139.23988437036485
50,2020-03-12,127,37,22.30424071848982,69.62951828173536,True,51,125.43461313047973,139.23988437036485
51,2020-03-13,127,37,22.30424071848982,69.62951828173536,True,52,126.3625531618049,139.23988437036485
52,2020-03-14,129,38,22.30424071848982,69.62951828173536,True,53,127.23417796996672,139.23988437036485
53,2020-03-15,133,40,22.30424071848982,69.62951828173536,True,54,128.05211756756728,139.23988437036485
54,2020-03-16,133,40,22.30424071848982,69.62951828173536,True,55,128.81898553677496,139.23988437036485
55,2020-03-17,133,40,22.30424071848982,69.62951828173536,True,56,129.53736210964198,139.23988437036485
56,2020-03-18,133,40,22.30424071848982,69.62951828173536,True,57,130.20977986010666,139.23988437036485
57,2020-03-19,134,41,22.30424071848982,69.62951828173536,True,58,130.83871181147887,139.23988437036485
58,2020-03-20,134,34,22.30424071848982,69.62951828173536,True,59,131.4265617523369,139.23988437036485
59,2020-03-21,134,19,22.30424071848982,69.62951828173536,True,60,131.97565654982236,139.23988437036485
60,2020-03-22,136,20,22.30424071848982,69.62951828173536,True,61,132.48824025094123,139.23988437036485
61,2020-03-23,136,20,22.30424071848982,69.62951828173536,True,62,132.9664697684353,139.23988437036485
62,2020-03-24,136,15,22.30424071848982,69.62951828173536,True,63,133.41241195698097,139.23988437036485
63,2020-03-25,136,15,22.30424071848982,69.62951828173536,True,64,133.82804189696984,139.23988437036485
64,2020-03-26,136,13,22.30424071848982,69.62951828173536,True,65,134.21524221612808,139.23988437036485
65,2020-03-27,136,11,22.30424071848982,69.62951828173536,True,66,134.57580329308954,139.23988437036485
66,2020-03-28,136,9,22.30424071848982,69.62951828173536,True,67,134.91142420122708,139.23988437036485
67,2020-03-29,138,11,22.30424071848982,69.62951828173536,True,68,135.22371426515306,139.23988437036485
68,2020-03-30,138,11,22.30424071848982,69.62951828173536,True,69,135.51419511601367,139.23988437036485
69,2020-03-31,138,11,22.30424071848982,69.62951828173536,True,70,135.78430314479473,139.23988437036485
70,2020-04-01,138,9,22.30424071848982,69.62951828173536,True,71,136.03539226516986,139.23988437036485
71,2020-04-02,138,9,22.30424071848982,69.62951828173536,True,72,136.26873690885856,139.23988437036485
72,2020-04-03,138,9,22.30424071848982,69.62951828173536,True,73,136.4855351869645,139.23988437036485
73,2020-04-04,138,5,22.30424071848982,69.62951828173536,True,74,136.68691216032022,139.23988437036485
74,2020-04-05,138,5,22.30424071848982,69.62951828173536,True,75,136.87392317047832,139.23988437036485
75,2020-04-06,139,5,22.30424071848982,69.62951828173536,True,76,137.04755719069763,139.23988437036485
76,2020-04-07,139,5,22.30424071848982,69.62951828173536,True,77,137.20874016311402,139.23988437036485
77,2020-04-08,139,4,22.30424071848982,69.62951828173536,True,78,137.3583382943202,139.23988437036485
78,2020-04-09,139,2,22.30424071848982,69.62951828173536,True,79,137.49716128686072,139.23988437036485
79,2020-04-10,139,2,22.30424071848982,69.62951828173536,True,80,137.62596548874723,139.23988437036485
80,2020-04-11,139,2,22.30424071848982,69.62951828173536,True,81,137.7454569470703,139.23988437036485
81,2020-04-12,139,2,22.30424071848982,69.62951828173536,True,82,137.85629435519724,139.23988437036485
82,2020-04-13,139,2,22.30424071848982,69.62951828173536,True,83,137.9590918859531,139.23988437036485
83,2020-04-14,139,1,22.30424071848982,69.62951828173536,True,84,138.05442190564565,139.23988437036485
84,2020-04-15,139,1,22.30424071848982,69.62951828173536,True,85,138.14281756586414,139.23988437036485
85,2020-04-16,139,0,22.30424071848982,69.62951828173536,True,86,138.22477527170298,139.23988437036485
86,2020-04-17,139,0,22.30424071848982,69.62951828173536,True,87,138.30075702648494,139.23988437036485
87,2020-04-18,139,0,22.30424071848982,69.62951828173536,True,88,138.37119265421506,139.23988437036485
88,2020-04-19,139,0,22.30424071848982,69.62951828173536,True,89,138.43648190192974,139.23988437036485
89,2020-04-20,139,0,22.30424071848982,69.62951828173536,True,90,138.49699642484396,139.23988437036485
90,2020-04-21,139,0,22.30424071848982,69.62951828173536,True,91,138.55308165776947,139.23988437036485
91,2020-04-22,139,0,22.30424071848982,69.62951828173536,True,92,138.6050585767094,139.23988437036485
92,2020-04-23,139,0,22.30424071848982,69.62951828173536,True,93,138.65322535484424,139.23988437036485
93,2020-04-24,139,0,22.30424071848982,69.62951828173536,True,94,138.69785891733608,139.23988437036485
94,2020-04-25,139,0,22.30424071848982,69.62951828173536,True,95,138.73921639950584,139.23988437036485
95,2020-04-26,139,0,22.30424071848982,69.62951828173536,True,96,138.77753651299665,139.23988437036485
96,2020-04-27,139,0,22.30424071848982,69.62951828173536,True,97,138.81304082453988,139.23988437036485
97,2020-04-28,139,0,22.30424071848982,69.62951828173536,True,98,138.84593495189606,139.23988437036485
98,2020-04-29,139,0,22.30424071848982,69.62951828173536,True,99,138.8764096814642,139.23988437036485
99,2020-04-30,139,0,22.30424071848982,69.62951828173536,True,100,138.90464201194436,139.23988437036485
100,2020-05-01,139,0,22.30424071848982,69.62951828173536,True,101,138.9307961283075,139.23988437036485
101,2020-05-02,139,0,22.30424071848982,69.62951828173536,True,102,138.95502431017945,139.23988437036485
102,2020-05-03,139,0,22.30424071848982,69.62951828173536,True,103,138.97746777858836,139.23988437036485
103,2020-05-04,139,0,22.30424071848982,69.62951828173536,True,104,138.99825748485563,139.23988437036485
104,2020-05-05,139,0,22.30424071848982,69.62951828173536,True,105,139.01751484524053,139.23988437036485
105,2020-05-06,139,0,22.30424071848982,69.62951828173536,True,106,139.03535242477506,139.23988437036485
106,2020-05-07,139,0,22.30424071848982,69.62951828173536,True,107,139.05187457354978,139.23988437036485
107,2020-05-08,139,0,22.30424071848982,69.62951828173536,True,108,139.06717801854208,139.23988437036485
108,2020-05-09,139,0,22.30424071848982,69.62951828173536,True,109,139.08135241390687,139.23988437036485
109,2020-05-10,139,0,22.30424071848982,69.62951828173536,True,110,139.09448085248778,139.23988437036485
110,2020-05-11,139,0,22.30424071848982,69.62951828173536,True,111,139.10664034114433,139.23988437036485
111,2020-05-12,139,0,22.30424071848982,69.62951828173536,True,112,139.1179022423391,139.23988437036485
112,2020-05-13,139,0,22.30424071848982,69.62951828173536,True,113,139.12833268427997,139.23988437036485
113,2020-05-14,139,0,22.30424071848982,69.62951828173536,True,114,139.13799294177036,139.23988437036485
114,2020-05-15,139,0,22.30424071848982,69.62951828173536,True,115,139.14693978978704,139.23988437036485
115,2020-05-16,139,0,22.30424071848982,69.62951828173536,True,116,139.1552258316745,139.23988437036485
116,2020-05-17,139,0,22.30424071848982,69.62951828173536,True,117,139.1628998037255,139.23988437036485
117,2020-05-18,139,0,22.30424071848982,69.62951828173536,True,118,139.17000685779928,139.23988437036485
118,2020-05-19,139,0,22.30424071848982,69.62951828173536,True,119,139.1765888235227,139.23988437036485
119,2020-05-20,139,0,22.30424071848982,69.62951828173536,True,120,139.1826844515144,139.23988437036485
120,2020-05-21,139,0,22.30424071848982,69.62951828173536,True,121,139.18832963897674,139.23988437036485
121,2020-05-22,139,0,22.30424071848982,69.62951828173536,True,122,139.19355763890883,139.23988437036485
122,2020-05-23,139,0,22.30424071848982,69.62951828173536,True,123,139.19839925410807,139.23988437036485
123,2020-05-24,139,0,22.30424071848982,69.62951828173536,True,124,139.2028830170485,139.23988437036485
124,2020-05-25,139,0,22.30424071848982,69.62951828173536,True,125,139.20703535664754,139.23988437036485
125,2020-05-26,139,0,22.30424071848982,69.62951828173536,True,126,139.21088075286409,139.23988437036485
126,2020-05-27,139,0,22.30424071848982,69.62951828173536,True,127,139.21444188000385,139.23988437036485
127,2020-05-28,139,0,22.30424071848982,69.62951828173536,True,128,139.21773973954726,139.23988437036485
