,Report_Date,Bahamas_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.49604749167005,34.581787433810376,True,1,0.0008024016510878266,64.38355094293247
1,2020-01-23,0,77.49604749167005,34.581787433810376,True,2,0.0009309158530681471,64.38355094293247
2,2020-01-24,0,77.49604749167005,34.581787433810376,True,3,0.001080012817040347,64.38355094293247
3,2020-01-25,0,77.49604749167005,34.581787433810376,True,4,0.001252988955336559,64.38355094293247
4,2020-01-26,0,77.49604749167005,34.581787433810376,True,5,0.0014536685755440193,64.38355094293247
5,2020-01-27,0,77.49604749167005,34.581787433810376,True,6,0.0016864884055873969,64.38355094293247
6,2020-01-28,0,77.49604749167005,34.581787433810376,True,7,0.0019565956481210774,64.38355094293247
7,2020-01-29,0,77.49604749167005,34.581787433810376,True,8,0.002269961728175439,64.38355094293247
8,2020-01-30,0,77.49604749167005,34.581787433810376,True,9,0.0026335142435615433,64.38355094293247
9,2020-01-31,0,77.49604749167005,34.581787433810376,True,10,0.0030552900280906787,64.38355094293247
10,2020-02-01,0,77.49604749167005,34.581787433810376,True,11,0.0035446127018939175,64.38355094293247
11,2020-02-02,0,77.49604749167005,34.581787433810376,True,12,0.004112298621065952,64.38355094293247
12,2020-02-03,0,77.49604749167005,34.581787433810376,True,13,0.004770895762090712,64.38355094293247
13,2020-02-04,0,77.49604749167005,34.581787433810376,True,14,0.0055349607983960014,64.38355094293247
14,2020-02-05,0,77.49604749167005,34.581787433810376,True,15,0.0064213804623298905,64.38355094293247
15,2020-02-06,0,77.49604749167005,34.581787433810376,True,16,0.007449744253580129,64.38355094293247
16,2020-02-07,0,77.49604749167005,34.581787433810376,True,17,0.0086427766749488,64.38355094293247
17,2020-02-08,0,77.49604749167005,34.581787433810376,True,18,0.010026838471841229,64.38355094293247
18,2020-02-09,0,77.49604749167005,34.581787433810376,True,19,0.011632507849632987,64.38355094293247
19,2020-02-10,0,77.49604749167005,34.581787433810376,True,20,0.013495254373884031,64.38355094293247
20,2020-02-11,0,77.49604749167005,34.581787433810376,True,21,0.015656220257115515,64.38355094293247
21,2020-02-12,0,77.49604749167005,34.581787433810376,True,22,0.01816312604227176,64.38355094293247
22,2020-02-13,0,77.49604749167005,34.581787433810376,True,23,0.02107132035203942,64.38355094293247
23,2020-02-14,0,77.49604749167005,34.581787433810376,True,24,0.02444499643559998,64.38355094293247
