,Report_Date,Kuwait_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,123.6330626191062,20622.387374771315,True,1,0.45269575869927725,32671.641219137437
1,2020-01-23,0,0,123.6330626191062,20622.387374771315,True,2,0.4968762249373543,32671.641219137437
2,2020-01-24,0,0,123.6330626191062,20622.387374771315,True,3,0.5453683900363144,32671.641219137437
3,2020-01-25,0,0,123.6330626191062,20622.387374771315,True,4,0.5985930334265439,32671.641219137437
4,2020-01-26,0,0,123.6330626191062,20622.387374771315,True,5,0.6570119960858374,32671.641219137437
5,2020-01-27,0,0,123.6330626191062,20622.387374771315,True,6,0.7211321870205716,32671.641219137437
6,2020-01-28,0,0,123.6330626191062,20622.387374771315,True,7,0.7915099805694599,32671.641219137437
7,2020-01-29,0,0,123.6330626191062,20622.387374771315,True,8,0.8687560426331871,32671.641219137437
8,2020-01-30,0,0,123.6330626191062,20622.387374771315,True,9,0.9535406276439193,32671.641219137437
9,2020-01-31,0,0,123.6330626191062,20622.387374771315,True,10,1.0465993921598666,32671.641219137437
10,2020-02-01,0,0,123.6330626191062,20622.387374771315,True,11,1.1487397754366402,32671.641219137437
11,2020-02-02,0,0,123.6330626191062,20622.387374771315,True,12,1.2608480022272115,32671.641219137437
12,2020-02-03,0,0,123.6330626191062,20622.387374771315,True,13,1.3838967684377366,32671.641219137437
13,2020-02-04,0,0,123.6330626191062,20622.387374771315,True,14,1.518953676163098,32671.641219137437
14,2020-02-05,0,0,123.6330626191062,20622.387374771315,True,15,1.667190491093952,32671.641219137437
15,2020-02-06,0,0,123.6330626191062,20622.387374771315,True,16,1.8298933023812185,32671.641219137437
16,2020-02-07,0,0,123.6330626191062,20622.387374771315,True,17,2.008473672824419,32671.641219137437
17,2020-02-08,0,0,123.6330626191062,20622.387374771315,True,18,2.2044808757828056,32671.641219137437
18,2020-02-09,0,0,123.6330626191062,20622.387374771315,True,19,2.419615324564756,32671.641219137437
19,2020-02-10,0,0,123.6330626191062,20622.387374771315,True,20,2.6557433103099948,32671.641219137437
20,2020-02-11,0,0,123.6330626191062,20622.387374771315,True,21,2.9149131756269004,32671.641219137437
21,2020-02-12,0,0,123.6330626191062,20622.387374771315,True,22,3.1993730635771853,32671.641219137437
22,2020-02-13,0,0,123.6330626191062,20622.387374771315,True,23,3.5115903951152707,32671.641219137437
23,2020-02-14,0,0,123.6330626191062,20622.387374771315,True,24,3.8542732429014435,32671.641219137437
24,2020-02-15,0,0,123.6330626191062,20622.387374771315,True,25,4.230393785638534,32671.641219137437
25,2020-02-16,0,0,123.6330626191062,20622.387374771315,True,26,4.64321404486431,32671.641219137437
26,2020-02-17,0,0,123.6330626191062,20622.387374771315,True,27,5.096314125610945,32671.641219137437
27,2020-02-18,0,0,123.6330626191062,20622.387374771315,True,28,5.593623203676517,32671.641219137437
28,2020-02-19,0,0,123.6330626191062,20622.387374771315,True,29,6.139453525612843,32671.641219137437
29,2020-02-20,0,0,123.6330626191062,20622.387374771315,True,30,6.738537713105444,32671.641219137437
30,2020-02-21,0,0,123.6330626191062,20622.387374771315,True,31,7.396069691407067,32671.641219137437
31,2020-02-22,0,0,123.6330626191062,20622.387374771315,True,32,8.117749592104845,32671.641219137437
32,2020-02-23,0,0,123.6330626191062,20622.387374771315,True,33,8.909833013990056,32671.641219137437
33,2020-02-24,1,1,123.6330626191062,20622.387374771315,True,34,9.779185062414355,32671.641219137437
34,2020-02-25,11,11,123.6330626191062,20622.387374771315,True,35,10.733339627533448,32671.641219137437
35,2020-02-26,26,26,123.6330626191062,20622.387374771315,True,36,11.78056440555582,32671.641219137437
36,2020-02-27,43,43,123.6330626191062,20622.387374771315,True,37,12.929932214849009,32671.641219137437
37,2020-02-28,45,45,123.6330626191062,20622.387374771315,True,38,14.191399210851287,32671.641219137437
38,2020-02-29,45,45,123.6330626191062,20622.387374771315,True,39,15.575890660556713,32671.641219137437
39,2020-03-01,45,45,123.6330626191062,20622.387374771315,True,40,17.095394999275104,32671.641219137437
40,2020-03-02,56,56,123.6330626191062,20622.387374771315,True,41,18.76306695982632,32671.641219137437
41,2020-03-03,56,56,123.6330626191062,20622.387374771315,True,42,20.593340637744305,32671.641219137437
42,2020-03-04,56,56,123.6330626191062,20622.387374771315,True,43,22.602053435895343,32671.641219137437
43,2020-03-05,58,58,123.6330626191062,20622.387374771315,True,44,24.806581918630183,32671.641219137437
44,2020-03-06,58,58,123.6330626191062,20622.387374771315,True,45,27.225990699680754,32671.641219137437
45,2020-03-07,61,61,123.6330626191062,20622.387374771315,True,46,29.881195589978383,32671.641219137437
46,2020-03-08,64,63,123.6330626191062,20622.387374771315,True,47,32.79514234191797,32671.641219137437
47,2020-03-09,64,63,123.6330626191062,20622.387374771315,True,48,35.993002445820935,32671.641219137437
48,2020-03-10,69,68,123.6330626191062,20622.387374771315,True,49,39.50238756294817,32671.641219137437
49,2020-03-11,72,70,123.6330626191062,20622.387374771315,True,50,43.353584317840465,32671.641219137437
50,2020-03-12,80,75,123.6330626191062,20622.387374771315,True,51,47.57981132143138,32671.641219137437
51,2020-03-13,80,75,123.6330626191062,20622.387374771315,True,52,52.21750045563386,32671.641219137437
52,2020-03-14,104,99,123.6330626191062,20622.387374771315,True,53,57.306604620195806,32671.641219137437
53,2020-03-15,112,107,123.6330626191062,20622.387374771315,True,54,62.8909343236743,32671.641219137437
54,2020-03-16,123,114,123.6330626191062,20622.387374771315,True,55,69.01852569234369,32671.641219137437
