,Report_Date,Albania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.14263098143321,254.46648425388358,True,1,0.007940961909925227,488.58773956295215
1,2020-01-23,0,70.14263098143321,254.46648425388358,True,2,0.009319480831604103,488.58773956295215
2,2020-01-24,0,70.14263098143321,254.46648425388358,True,3,0.010937299928671523,488.58773956295215
3,2020-01-25,0,70.14263098143321,254.46648425388358,True,4,0.012835957911960323,488.58773956295215
4,2020-01-26,0,70.14263098143321,254.46648425388358,True,5,0.015064203220743084,488.58773956295215
5,2020-01-27,0,70.14263098143321,254.46648425388358,True,6,0.01767924511374902,488.58773956295215
6,2020-01-28,0,70.14263098143321,254.46648425388358,True,7,0.020748221755474194,488.58773956295215
7,2020-01-29,0,70.14263098143321,254.46648425388358,True,8,0.024349922895161805,488.58773956295215
8,2020-01-30,0,70.14263098143321,254.46648425388358,True,9,0.028576811235235516,488.58773956295215
9,2020-01-31,0,70.14263098143321,254.46648425388358,True,10,0.03353739420330922,488.58773956295215
10,2020-02-01,0,70.14263098143321,254.46648425388358,True,11,0.039359006767340075,488.58773956295215
11,2020-02-02,0,70.14263098143321,254.46648425388358,True,12,0.04619107638874888,488.58773956295215
12,2020-02-03,0,70.14263098143321,254.46648425388358,True,13,0.05420895345158096,488.58773956295215
13,2020-02-04,0,70.14263098143321,254.46648425388358,True,14,0.06361840483723032,488.58773956295215
14,2020-02-05,0,70.14263098143321,254.46648425388358,True,15,0.07466088508239964,488.58773956295215
15,2020-02-06,0,70.14263098143321,254.46648425388358,True,16,0.08761971916654063,488.58773956295215
16,2020-02-07,0,70.14263098143321,254.46648425388358,True,17,0.1028273538905811,488.58773956295215
17,2020-02-08,0,70.14263098143321,254.46648425388358,True,18,0.12067386156888804,488.58773956295215
18,2020-02-09,0,70.14263098143321,254.46648425388358,True,19,0.1416169109783692,488.58773956295215
19,2020-02-10,0,70.14263098143321,254.46648425388358,True,20,0.16619345689793744,488.58773956295215
20,2020-02-11,0,70.14263098143321,254.46648425388358,True,21,0.19503344193044952,488.58773956295215
21,2020-02-12,0,70.14263098143321,254.46648425388358,True,22,0.22887585353368198,488.58773956295215
22,2020-02-13,0,70.14263098143321,254.46648425388358,True,23,0.26858753631152466,488.58773956295215
23,2020-02-14,0,70.14263098143321,254.46648425388358,True,24,0.31518522575538954,488.58773956295215
24,2020-02-15,0,70.14263098143321,254.46648425388358,True,25,0.3698613460066503,488.58773956295215
25,2020-02-16,0,70.14263098143321,254.46648425388358,True,26,0.4340142021496513,488.58773956295215
26,2020-02-17,0,70.14263098143321,254.46648425388358,True,27,0.5092832984148957,488.58773956295215
27,2020-02-18,0,70.14263098143321,254.46648425388358,True,28,0.597590628852106,488.58773956295215
28,2020-02-19,0,70.14263098143321,254.46648425388358,True,29,0.7011889178230344,488.58773956295215
29,2020-02-20,0,70.14263098143321,254.46648425388358,True,30,0.8227179351577314,488.58773956295215
30,2020-02-21,0,70.14263098143321,254.46648425388358,True,31,0.9652701757122645,488.58773956295215
31,2020-02-22,0,70.14263098143321,254.46648425388358,True,32,1.1324673753845502,488.58773956295215
32,2020-02-23,0,70.14263098143321,254.46648425388358,True,33,1.3285495343456895,488.58773956295215
33,2020-02-24,0,70.14263098143321,254.46648425388358,True,34,1.5584783306652805,488.58773956295215
34,2020-02-25,0,70.14263098143321,254.46648425388358,True,35,1.8280570286040432,488.58773956295215
35,2020-02-26,0,70.14263098143321,254.46648425388358,True,36,2.1440692071368366,488.58773956295215
36,2020-02-27,0,70.14263098143321,254.46648425388358,True,37,2.5144388424291617,488.58773956295215
37,2020-02-28,0,70.14263098143321,254.46648425388358,True,38,2.9484144529687346,488.58773956295215
38,2020-02-29,0,70.14263098143321,254.46648425388358,True,39,3.4567801286055353,488.58773956295215
39,2020-03-01,0,70.14263098143321,254.46648425388358,True,40,4.052096273267725,488.58773956295215
40,2020-03-02,0,70.14263098143321,254.46648425388358,True,41,4.748972737625331,488.58773956295215
41,2020-03-03,0,70.14263098143321,254.46648425388358,True,42,5.564376623256321,488.58773956295215
42,2020-03-04,0,70.14263098143321,254.46648425388358,True,43,6.517976297740641,488.58773956295215
43,2020-03-05,0,70.14263098143321,254.46648425388358,True,44,7.6325219310464005,488.58773956295215
44,2020-03-06,0,70.14263098143321,254.46648425388358,True,45,8.934260968340611,488.58773956295215
45,2020-03-07,0,70.14263098143321,254.46648425388358,True,46,10.453384168758374,488.58773956295215
46,2020-03-08,0,70.14263098143321,254.46648425388358,True,47,12.224493892523277,488.58773956295215
47,2020-03-09,2,70.14263098143321,254.46648425388358,True,48,14.287080896604305,488.58773956295215
48,2020-03-10,10,70.14263098143321,254.46648425388358,True,49,16.68598866250987,488.58773956295215
49,2020-03-11,12,70.14263098143321,254.46648425388358,True,50,19.471834899905563,488.58773956295215
50,2020-03-12,23,70.14263098143321,254.46648425388358,True,51,22.701348093959307,488.58773956295215
51,2020-03-13,33,70.14263098143321,254.46648425388358,True,52,26.437562725144712,488.58773956295215
52,2020-03-14,38,70.14263098143321,254.46648425388358,True,53,30.749800369574032,488.58773956295215
53,2020-03-15,42,70.14263098143321,254.46648425388358,True,54,35.71334614699946,488.58773956295215
54,2020-03-16,51,70.14263098143321,254.46648425388358,True,55,41.40871265624264,488.58773956295215
55,2020-03-17,55,70.14263098143321,254.46648425388358,True,56,47.920369560148146,488.58773956295215
56,2020-03-18,59,70.14263098143321,254.46648425388358,True,57,55.334810788033806,488.58773956295215
