,Report_Date,Haiti_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.43235226860136,60.77564188108394,True,1,0.01409710206912935,96.71733464774529
1,2020-01-23,0,91.43235226860136,60.77564188108394,True,2,0.015582750974965719,96.71733464774529
2,2020-01-24,0,91.43235226860136,60.77564188108394,True,3,0.017224945520486406,96.71733464774529
3,2020-01-25,0,91.43235226860136,60.77564188108394,True,4,0.019040176293037527,96.71733464774529
4,2020-01-26,0,91.43235226860136,60.77564188108394,True,5,0.02104666991347132,96.71733464774529
5,2020-01-27,0,91.43235226860136,60.77564188108394,True,6,0.02326457155334676,96.71733464774529
6,2020-01-28,0,91.43235226860136,60.77564188108394,True,7,0.025716146587223477,96.71733464774529
7,2020-01-29,0,91.43235226860136,60.77564188108394,True,8,0.02842600337422852,96.71733464774529
8,2020-01-30,0,91.43235226860136,60.77564188108394,True,9,0.03142133936824422,96.71733464774529
9,2020-01-31,0,91.43235226860136,60.77564188108394,True,10,0.03473221298174912,96.71733464774529
10,2020-02-01,0,91.43235226860136,60.77564188108394,True,11,0.03839184387645975,96.71733464774529
11,2020-02-02,0,91.43235226860136,60.77564188108394,True,12,0.04243694462653555,96.71733464774529
12,2020-02-03,0,91.43235226860136,60.77564188108394,True,13,0.04690808699943832,96.71733464774529
13,2020-02-04,0,91.43235226860136,60.77564188108394,True,14,0.05185010642795543,96.71733464774529
14,2020-02-05,0,91.43235226860136,60.77564188108394,True,15,0.05731254860692299,96.71733464774529
15,2020-02-06,0,91.43235226860136,60.77564188108394,True,16,0.06335016254249569,96.71733464774529
16,2020-02-07,0,91.43235226860136,60.77564188108394,True,17,0.07002344481321078,96.71733464774529
17,2020-02-08,0,91.43235226860136,60.77564188108394,True,18,0.07739924027351294,96.71733464774529
18,2020-02-09,0,91.43235226860136,60.77564188108394,True,19,0.08555140494486958,96.71733464774529
19,2020-02-10,0,91.43235226860136,60.77564188108394,True,20,0.09456153740019281,96.71733464774529
20,2020-02-11,0,91.43235226860136,60.77564188108394,True,21,0.10451978555708803,96.71733464774529
21,2020-02-12,0,91.43235226860136,60.77564188108394,True,22,0.11552573645750297,96.71733464774529
22,2020-02-13,0,91.43235226860136,60.77564188108394,True,23,0.12768939732854315,96.71733464774529
23,2020-02-14,0,91.43235226860136,60.77564188108394,True,24,0.14113227699418074,96.71733464774529
24,2020-02-15,0,91.43235226860136,60.77564188108394,True,25,0.15598857754253842,96.71733464774529
25,2020-02-16,0,91.43235226860136,60.77564188108394,True,26,0.17240650705000274,96.71733464774529
26,2020-02-17,0,91.43235226860136,60.77564188108394,True,27,0.19054972512242777,96.71733464774529
27,2020-02-18,0,91.43235226860136,60.77564188108394,True,28,0.21059893403480376,96.71733464774529
28,2020-02-19,0,91.43235226860136,60.77564188108394,True,29,0.23275362933218324,96.71733464774529
29,2020-02-20,0,91.43235226860136,60.77564188108394,True,30,0.2572340248926371,96.71733464774529
30,2020-02-21,0,91.43235226860136,60.77564188108394,True,31,0.2842831686413071,96.71733464774529
31,2020-02-22,0,91.43235226860136,60.77564188108394,True,32,0.314169266333798,96.71733464774529
32,2020-02-23,0,91.43235226860136,60.77564188108394,True,33,0.3471882320837783,96.71733464774529
33,2020-02-24,0,91.43235226860136,60.77564188108394,True,34,0.3836664855752581,96.71733464774529
34,2020-02-25,0,91.43235226860136,60.77564188108394,True,35,0.4239640171498815,96.71733464774529
35,2020-02-26,0,91.43235226860136,60.77564188108394,True,36,0.46847774316130847,96.71733464774529
36,2020-02-27,0,91.43235226860136,60.77564188108394,True,37,0.5176451751004911,96.71733464774529
37,2020-02-28,0,91.43235226860136,60.77564188108394,True,38,0.5719484269640558,96.71733464774529
38,2020-02-29,0,91.43235226860136,60.77564188108394,True,39,0.6319185860957215,96.71733464774529
39,2020-03-01,0,91.43235226860136,60.77564188108394,True,40,0.698140473193714,96.71733464774529
40,2020-03-02,0,91.43235226860136,60.77564188108394,True,41,0.7712578172412344,96.71733464774529
