,Report_Date,Swaziland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,108.26844581692518,146.98631752181575,True,1,0.0032695168669076243,282.0261169001993
1,2020-01-23,0,0,108.26844581692518,146.98631752181575,True,2,0.003636340536662361,282.0261169001993
2,2020-01-24,0,0,108.26844581692518,146.98631752181575,True,3,0.004044319447068725,282.0261169001993
3,2020-01-25,0,0,108.26844581692518,146.98631752181575,True,4,0.004498070815479752,282.0261169001993
4,2020-01-26,0,0,108.26844581692518,146.98631752181575,True,5,0.0050027298342897285,282.0261169001993
5,2020-01-27,0,0,108.26844581692518,146.98631752181575,True,6,0.005564007771589073,282.0261169001993
6,2020-01-28,0,0,108.26844581692518,146.98631752181575,True,7,0.00618825658711609,282.0261169001993
7,2020-01-29,0,0,108.26844581692518,146.98631752181575,True,8,0.006882540793695363,282.0261169001993
8,2020-01-30,0,0,108.26844581692518,146.98631752181575,True,9,0.007654717376086937,282.0261169001993
9,2020-01-31,0,0,108.26844581692518,146.98631752181575,True,10,0.008513524670029981,282.0261169001993
10,2020-02-01,0,0,108.26844581692518,146.98631752181575,True,11,0.009468681205262551,282.0261169001993
11,2020-02-02,0,0,108.26844581692518,146.98631752181575,True,12,0.010530995628559556,282.0261169001993
12,2020-02-03,0,0,108.26844581692518,146.98631752181575,True,13,0.01171248894760152,282.0261169001993
13,2020-02-04,0,0,108.26844581692518,146.98631752181575,True,14,0.01302653047515041,282.0261169001993
14,2020-02-05,0,0,108.26844581692518,146.98631752181575,True,15,0.014487989007099555,282.0261169001993
15,2020-02-06,0,0,108.26844581692518,146.98631752181575,True,16,0.016113400939182513,282.0261169001993
16,2020-02-07,0,0,108.26844581692518,146.98631752181575,True,17,0.017921157217353944,282.0261169001993
17,2020-02-08,0,0,108.26844581692518,146.98631752181575,True,18,0.019931711228179695,282.0261169001993
18,2020-02-09,0,0,108.26844581692518,146.98631752181575,True,19,0.022167809970302276,282.0261169001993
19,2020-02-10,0,0,108.26844581692518,146.98631752181575,True,20,0.02465475110873455,282.0261169001993
20,2020-02-11,0,0,108.26844581692518,146.98631752181575,True,21,0.027420668803203024,282.0261169001993
21,2020-02-12,0,0,108.26844581692518,146.98631752181575,True,22,0.03049685152312983,282.0261169001993
22,2020-02-13,0,0,108.26844581692518,146.98631752181575,True,23,0.033918095418553736,282.0261169001993
23,2020-02-14,0,0,108.26844581692518,146.98631752181575,True,24,0.03772309721213936,282.0261169001993
24,2020-02-15,0,0,108.26844581692518,146.98631752181575,True,25,0.04195489101659584,282.0261169001993
25,2020-02-16,0,0,108.26844581692518,146.98631752181575,True,26,0.04666133396892064,282.0261169001993
26,2020-02-17,0,0,108.26844581692518,146.98631752181575,True,27,0.05189564611296235,282.0261169001993
27,2020-02-18,0,0,108.26844581692518,146.98631752181575,True,28,0.05771701056040656,282.0261169001993
28,2020-02-19,0,0,108.26844581692518,146.98631752181575,True,29,0.0641912406235118,282.0261169001993
29,2020-02-20,0,0,108.26844581692518,146.98631752181575,True,30,0.07139152134740741,282.0261169001993
30,2020-02-21,0,0,108.26844581692518,146.98631752181575,True,31,0.07939923368276174,282.0261169001993
31,2020-02-22,0,0,108.26844581692518,146.98631752181575,True,32,0.08830487043903032,282.0261169001993
32,2020-02-23,0,0,108.26844581692518,146.98631752181575,True,33,0.09820905415285859,282.0261169001993
33,2020-02-24,0,0,108.26844581692518,146.98631752181575,True,34,0.1092236681047988,282.0261169001993
34,2020-02-25,0,0,108.26844581692518,146.98631752181575,True,35,0.1214731129302677,282.0261169001993
35,2020-02-26,0,0,108.26844581692518,146.98631752181575,True,36,0.13509570260830145,282.0261169001993
36,2020-02-27,0,0,108.26844581692518,146.98631752181575,True,37,0.1502452150855322,282.0261169001993
37,2020-02-28,0,0,108.26844581692518,146.98631752181575,True,38,0.1670926144149519,282.0261169001993
38,2020-02-29,0,0,108.26844581692518,146.98631752181575,True,39,0.18582796307208044,282.0261169001993
39,2020-03-01,0,0,108.26844581692518,146.98631752181575,True,40,0.20666254506822485,282.0261169001993
40,2020-03-02,0,0,108.26844581692518,146.98631752181575,True,41,0.22983122262504782,282.0261169001993
41,2020-03-03,0,0,108.26844581692518,146.98631752181575,True,42,0.25559505152019074,282.0261169001993
42,2020-03-04,0,0,108.26844581692518,146.98631752181575,True,43,0.2842441827735456,282.0261169001993
43,2020-03-05,0,0,108.26844581692518,146.98631752181575,True,44,0.3161010811306086,282.0261169001993
44,2020-03-06,0,0,108.26844581692518,146.98631752181575,True,45,0.35152409382470434,282.0261169001993
45,2020-03-07,0,0,108.26844581692518,146.98631752181575,True,46,0.3909114063732953,282.0261169001993
46,2020-03-08,0,0,108.26844581692518,146.98631752181575,True,47,0.4347054256918623,282.0261169001993
47,2020-03-09,0,0,108.26844581692518,146.98631752181575,True,48,0.4833976345946333,282.0261169001993
48,2020-03-10,0,0,108.26844581692518,146.98631752181575,True,49,0.5375339657919456,282.0261169001993
49,2020-03-11,0,0,108.26844581692518,146.98631752181575,True,50,0.597720747778939,282.0261169001993
50,2020-03-12,0,0,108.26844581692518,146.98631752181575,True,51,0.6646312795194691,282.0261169001993
51,2020-03-13,0,0,108.26844581692518,146.98631752181575,True,52,0.7390130955297007,282.0261169001993
52,2020-03-14,1,1,108.26844581692518,146.98631752181575,True,53,0.8216959878083756,282.0261169001993
53,2020-03-15,1,1,108.26844581692518,146.98631752181575,True,54,0.9136008559749023,282.0261169001993
54,2020-03-16,1,1,108.26844581692518,146.98631752181575,True,55,1.0157494618652756,282.0261169001993
55,2020-03-17,1,1,108.26844581692518,146.98631752181575,True,56,1.129275169569402,282.0261169001993
