,Report_Date,Jamaica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,148.27737313870324,7325.434258078687,False,1,0.15833593872211732,14650.868516157363
1,2020-01-23,0,148.27737313870324,7325.434258078687,False,2,0.17111958063268956,14650.868516157363
2,2020-01-24,0,148.27737313870324,7325.434258078687,False,3,0.18493532832387982,14650.868516157363
3,2020-01-25,0,148.27737313870324,7325.434258078687,False,4,0.19986650815687212,14650.868516157363
4,2020-01-26,0,148.27737313870324,7325.434258078687,False,5,0.21600317342250397,14650.868516157363
5,2020-01-27,0,148.27737313870324,7325.434258078687,False,6,0.23344264734392503,14650.868516157363
6,2020-01-28,0,148.27737313870324,7325.434258078687,False,7,0.2522901099004487,14650.868516157363
7,2020-01-29,0,148.27737313870324,7325.434258078687,False,8,0.27265923200729447,14650.868516157363
8,2020-01-30,0,148.27737313870324,7325.434258078687,False,9,0.2946728608707416,14650.868516157363
9,2020-01-31,0,148.27737313870324,7325.434258078687,False,10,0.3184637606459371,14650.868516157363
10,2020-02-01,0,148.27737313870324,7325.434258078687,False,11,0.3441754128570607,14650.868516157363
11,2020-02-02,0,148.27737313870324,7325.434258078687,False,12,0.3719628813987201,14650.868516157363
12,2020-02-03,0,148.27737313870324,7325.434258078687,False,13,0.40199374732546883,14650.868516157363
13,2020-02-04,0,148.27737313870324,7325.434258078687,False,14,0.4344491190555125,14650.868516157363
14,2020-02-05,0,148.27737313870324,7325.434258078687,False,15,0.46952472406747353,14650.868516157363
15,2020-02-06,0,148.27737313870324,7325.434258078687,False,16,0.50743208865822,14650.868516157363
16,2020-02-07,0,148.27737313870324,7325.434258078687,False,17,0.5483998128580934,14650.868516157363
17,2020-02-08,0,148.27737313870324,7325.434258078687,False,18,0.5926749481705477,14650.868516157363
18,2020-02-09,0,148.27737313870324,7325.434258078687,False,19,0.640524486419565,14650.868516157363
19,2020-02-10,0,148.27737313870324,7325.434258078687,False,20,0.6922369686538965,14650.868516157363
