,Report_Date,China_ningxia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,15.499309224207272,37.39289898340213,True,1,3.618571993571662,74.78579701819159
1,2020-01-23,1,15.499309224207272,37.39289898340213,True,2,4.3954008582488555,74.78579701819159
2,2020-01-24,2,15.499309224207272,37.39289898340213,True,3,5.326516233530326,74.78579701819159
3,2020-01-25,3,15.499309224207272,37.39289898340213,True,4,6.436840599235018,74.78579701819159
4,2020-01-26,4,15.499309224207272,37.39289898340213,True,5,7.752781064410264,74.78579701819159
5,2020-01-27,7,15.499309224207272,37.39289898340213,True,6,9.301140557205603,74.78579701819159
6,2020-01-28,11,15.499309224207272,37.39289898340213,True,7,11.107492727545084,74.78579701819159
7,2020-01-29,12,15.499309224207272,37.39289898340213,True,8,13.193970902353866,74.78579701819159
8,2020-01-30,17,15.499309224207272,37.39289898340213,True,9,15.576510240681928,74.78579701819159
9,2020-01-31,21,15.499309224207272,37.39289898340213,True,10,18.26172092201481,74.78579701819159
10,2020-02-01,26,15.499309224207272,37.39289898340213,True,11,21.243746928780357,74.78579701819159
11,2020-02-02,28,15.499309224207272,37.39289898340213,True,12,24.501641384990847,74.78579701819159
12,2020-02-03,31,15.499309224207272,37.39289898340213,True,13,27.997899139659072,74.78579701819159
13,2020-02-04,34,15.499309224207272,37.39289898340213,True,14,31.678751777972835,74.78579701819159
14,2020-02-05,34,15.499309224207272,37.39289898340213,True,15,35.47659490272544,74.78579701819159
15,2020-02-06,40,15.499309224207272,37.39289898340213,True,16,39.314496008203974,74.78579701819159
16,2020-02-07,43,15.499309224207272,37.39289898340213,True,17,43.112229069467666,74.78579701819159
17,2020-02-08,45,15.499309224207272,37.39289898340213,True,18,46.79287056018446,74.78579701819159
18,2020-02-09,45,15.499309224207272,37.39289898340213,True,19,50.28883252688003,74.78579701819159
19,2020-02-10,49,15.499309224207272,37.39289898340213,True,20,53.546367856673385,74.78579701819159
20,2020-02-11,53,15.499309224207272,37.39289898340213,True,21,56.52799453524941,74.78579701819159
21,2020-02-12,58,15.499309224207272,37.39289898340213,True,22,59.21278788970659,74.78579701819159
22,2020-02-13,64,15.499309224207272,37.39289898340213,True,23,61.59491112590016,74.78579701819159
23,2020-02-14,67,15.499309224207272,37.39289898340213,True,24,63.6809895235428,74.78579701819159
24,2020-02-15,70,15.499309224207272,37.39289898340213,True,25,65.48696890889025,74.78579701819159
25,2020-02-16,70,15.499309224207272,37.39289898340213,True,26,67.03498915133315,74.78579701819159
26,2020-02-17,70,15.499309224207272,37.39289898340213,True,27,68.35062698867142,74.78579701819159
27,2020-02-18,70,15.499309224207272,37.39289898340213,True,28,69.46068579108409,74.78579701819159
28,2020-02-19,71,15.499309224207272,37.39289898340213,True,29,70.39157125377965,74.78579701819159
29,2020-02-20,71,15.499309224207272,37.39289898340213,True,30,71.16820326870572,74.78579701819159
30,2020-02-21,71,15.499309224207272,37.39289898340213,True,31,71.81337011896056,74.78579701819159
31,2020-02-22,71,15.499309224207272,37.39289898340213,True,32,72.34741922558086,74.78579701819159
32,2020-02-23,71,15.499309224207272,37.39289898340213,True,33,72.78818603879064,74.78579701819159
33,2020-02-24,71,15.499309224207272,37.39289898340213,True,34,73.15107911955197,74.78579701819159
34,2020-02-25,71,15.499309224207272,37.39289898340213,True,35,73.44925829689687,74.78579701819159
35,2020-02-26,71,15.499309224207272,37.39289898340213,True,36,73.69386028810389,74.78579701819159
36,2020-02-27,72,15.499309224207272,37.39289898340213,True,37,73.89424070273358,74.78579701819159
37,2020-02-28,72,15.499309224207272,37.39289898340213,True,38,74.05821255270922,74.78579701819159
38,2020-02-29,73,15.499309224207272,37.39289898340213,True,39,74.19226954410354,74.78579701819159
39,2020-03-01,73,15.499309224207272,37.39289898340213,True,40,74.30178807620132,74.78579701819159
40,2020-03-02,74,15.499309224207272,37.39289898340213,True,41,74.39120560460785,74.78579701819159
41,2020-03-03,74,15.499309224207272,37.39289898340213,True,42,74.46417535941306,74.78579701819159
42,2020-03-04,75,15.499309224207272,37.39289898340213,True,43,74.52369876869128,74.78579701819159
43,2020-03-05,75,15.499309224207272,37.39289898340213,True,44,74.5722376424226,74.78579701819159
44,2020-03-06,75,15.499309224207272,37.39289898340213,True,45,74.61180845480374,74.78579701819159
45,2020-03-07,75,15.499309224207272,37.39289898340213,True,46,74.64406108651872,74.78579701819159
46,2020-03-08,75,15.499309224207272,37.39289898340213,True,47,74.67034426298495,74.78579701819159
47,2020-03-09,75,15.499309224207272,37.39289898340213,True,48,74.69175972208761,74.78579701819159
48,2020-03-10,75,15.499309224207272,37.39289898340213,True,49,74.70920691118583,74.78579701819159
49,2020-03-11,75,15.499309224207272,37.39289898340213,True,50,74.72341977591336,74.78579701819159
50,2020-03-12,75,15.499309224207272,37.39289898340213,True,51,74.7349969782673,74.78579701819159
51,2020-03-13,75,15.499309224207272,37.39289898340213,True,52,74.74442667674805,74.78579701819159
52,2020-03-14,75,15.499309224207272,37.39289898340213,True,53,74.75210682014155,74.78579701819159
53,2020-03-15,75,15.499309224207272,37.39289898340213,True,54,74.75836174930656,74.78579701819159
54,2020-03-16,75,15.499309224207272,37.39289898340213,True,55,74.76345576680312,74.78579701819159
55,2020-03-17,75,15.499309224207272,37.39289898340213,True,56,74.76760422031607,74.78579701819159
56,2020-03-18,75,15.499309224207272,37.39289898340213,True,57,74.7709825501969,74.78579701819159
57,2020-03-19,75,15.499309224207272,37.39289898340213,True,58,74.77373367164638,74.78579701819159
58,2020-03-20,75,15.499309224207272,37.39289898340213,True,59,74.77597399579585,74.78579701819159
59,2020-03-21,75,15.499309224207272,37.39289898340213,True,60,74.77779833913016,74.78579701819159
60,2020-03-22,75,15.499309224207272,37.39289898340213,True,61,74.77928392549309,74.78579701819159
61,2020-03-23,75,15.499309224207272,37.39289898340213,True,62,74.78049364773061,74.78579701819159
62,2020-03-24,75,15.499309224207272,37.39289898340213,True,63,74.78147872549712,74.78579701819159
63,2020-03-25,75,15.499309224207272,37.39289898340213,True,64,74.78228087072252,74.78579701819159
64,2020-03-26,75,15.499309224207272,37.39289898340213,True,65,74.78293405174908,74.78579701819159
65,2020-03-27,75,15.499309224207272,37.39289898340213,True,66,74.783465930389,74.78579701819159
66,2020-03-28,75,15.499309224207272,37.39289898340213,True,67,74.78389903245953,74.78579701819159
67,2020-03-29,75,15.499309224207272,37.39289898340213,True,68,74.78425170116984,74.78579701819159
68,2020-03-30,75,15.499309224207272,37.39289898340213,True,69,74.78453887360561,74.78579701819159
69,2020-03-31,75,15.499309224207272,37.39289898340213,True,70,74.78477271311108,74.78579701819159
70,2020-04-01,75,15.499309224207272,37.39289898340213,True,71,74.78496312429533,74.78579701819159
71,2020-04-02,75,15.499309224207272,37.39289898340213,True,72,74.78511817243746,74.78579701819159
72,2020-04-03,75,15.499309224207272,37.39289898340213,True,73,74.78524442503051,74.78579701819159
73,2020-04-04,75,15.499309224207272,37.39289898340213,True,74,74.78534722991357,74.78579701819159
74,2020-04-05,75,15.499309224207272,37.39289898340213,True,75,74.78543094176223,74.78579701819159
75,2020-04-06,75,15.499309224207272,37.39289898340213,True,76,74.78549910652401,74.78579701819159
76,2020-04-07,75,15.499309224207272,37.39289898340213,True,77,74.78555461160568,74.78579701819159
77,2020-04-08,75,15.499309224207272,37.39289898340213,True,78,74.78559980817153,74.78579701819159
78,2020-04-09,75,15.499309224207272,37.39289898340213,True,79,74.7856366107307,74.78579701819159
79,2020-04-10,75,15.499309224207272,37.39289898340213,True,80,74.78566657823069,74.78579701819159
80,2020-04-11,75,15.499309224207272,37.39289898340213,True,81,74.78569098009098,74.78579701819159
81,2020-04-12,75,15.499309224207272,37.39289898340213,True,82,74.78571084997351,74.78579701819159
82,2020-04-13,75,15.499309224207272,37.39289898340213,True,83,74.78572702956737,74.78579701819159
83,2020-04-14,75,15.499309224207272,37.39289898340213,True,84,74.78574020424182,74.78579701819159
84,2020-04-15,75,15.499309224207272,37.39289898340213,True,85,74.7857509320781,74.78579701819159
85,2020-04-16,75,15.499309224207272,37.39289898340213,True,86,74.7857596675095,74.78579701819159
86,2020-04-17,75,15.499309224207272,37.39289898340213,True,87,74.78576678057085,74.78579701819159
87,2020-04-18,75,15.499309224207272,37.39289898340213,True,88,74.78577257257332,74.78579701819159
88,2020-04-19,75,15.499309224207272,37.39289898340213,True,89,74.78577728886769,74.78579701819159
89,2020-04-20,75,15.499309224207272,37.39289898340213,True,90,74.7857811292376,74.78579701819159
90,2020-04-21,75,15.499309224207272,37.39289898340213,True,91,74.78578425636238,74.78579701819159
91,2020-04-22,75,15.499309224207272,37.39289898340213,True,92,74.78578680270796,74.78579701819159
92,2020-04-23,75,15.499309224207272,37.39289898340213,True,93,74.78578887613845,74.78579701819159
93,2020-04-24,75,15.499309224207272,37.39289898340213,True,94,74.78579056448505,74.78579701819159
