,Report_Date,Peru_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,117.27411935005671,94930.96964224994,True,1,9.029305338766054,162328.439304491
1,2020-01-23,0,0,117.27411935005671,94930.96964224994,True,2,9.836256323118471,162328.439304491
2,2020-01-24,0,0,117.27411935005671,94930.96964224994,True,3,10.715320622350871,162328.439304491
3,2020-01-25,0,0,117.27411935005671,94930.96964224994,True,4,11.672941895343014,162328.439304491
4,2020-01-26,0,0,117.27411935005671,94930.96964224994,True,5,12.716139429842165,162328.439304491
5,2020-01-27,0,0,117.27411935005671,94930.96964224994,True,6,13.85255953839314,162328.439304491
6,2020-01-28,0,0,117.27411935005671,94930.96964224994,True,7,15.090531538286427,162328.439304491
7,2020-01-29,0,0,117.27411935005671,94930.96964224994,True,8,16.43912872345001,162328.439304491
8,2020-01-30,0,0,117.27411935005671,94930.96964224994,True,9,17.908234772338364,162328.439304491
9,2020-01-31,0,0,117.27411935005671,94930.96964224994,True,10,19.508616075167645,162328.439304491
10,2020-02-01,0,0,117.27411935005671,94930.96964224994,True,11,21.252000506580043,162328.439304491
11,2020-02-02,0,0,117.27411935005671,94930.96964224994,True,12,23.151163216287532,162328.439304491
12,2020-02-03,0,0,117.27411935005671,94930.96964224994,True,13,25.220020060761883,162328.439304491
13,2020-02-04,0,0,117.27411935005671,94930.96964224994,True,14,27.473729353948222,162328.439304491
14,2020-02-05,0,0,117.27411935005671,94930.96964224994,True,15,29.928802674651994,162328.439304491
15,2020-02-06,0,0,117.27411935005671,94930.96964224994,True,16,32.60322553308371,162328.439304491
16,2020-02-07,0,0,117.27411935005671,94930.96964224994,True,17,35.516588769471426,162328.439304491
17,2020-02-08,0,0,117.27411935005671,94930.96964224994,True,18,38.6902316341289,162328.439304491
18,2020-02-09,0,0,117.27411935005671,94930.96964224994,True,19,42.14739758139473,162328.439304491
19,2020-02-10,0,0,117.27411935005671,94930.96964224994,True,20,45.913403899965424,162328.439304491
20,2020-02-11,0,0,117.27411935005671,94930.96964224994,True,21,50.015826399904505,162328.439304491
