,Report_Date,Switzerland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.74278601738402,13269.271289964032,True,1,0.3153453067561024,26066.713639694863
1,2020-01-23,0,66.74278601738402,13269.271289964032,True,2,0.37471395188098905,26066.713639694863
2,2020-01-24,0,66.74278601738402,13269.271289964032,True,3,0.4452594777520391,26066.713639694863
3,2020-01-25,0,66.74278601738402,13269.271289964032,True,4,0.5290859929659502,26066.713639694863
4,2020-01-26,0,66.74278601738402,13269.271289964032,True,5,0.6286936841805505,26066.713639694863
5,2020-01-27,0,66.74278601738402,13269.271289964032,True,6,0.7470533608611724,26066.713639694863
6,2020-01-28,0,66.74278601738402,13269.271289964032,True,7,0.88769502448391,26066.713639694863
7,2020-01-29,0,66.74278601738402,13269.271289964032,True,8,1.0548130984578366,26066.713639694863
8,2020-01-30,0,66.74278601738402,13269.271289964032,True,9,1.2533914496652805,26066.713639694863
9,2020-01-31,0,66.74278601738402,13269.271289964032,True,10,1.4893519195859475,26066.713639694863
10,2020-02-01,0,66.74278601738402,13269.271289964032,True,11,1.7697307795826902,26066.713639694863
11,2020-02-02,0,66.74278601738402,13269.271289964032,True,12,2.102888351304315,26066.713639694863
12,2020-02-03,0,66.74278601738402,13269.271289964032,True,13,2.4987580131651925,26066.713639694863
13,2020-02-04,0,66.74278601738402,13269.271289964032,True,14,2.9691419756118953,26066.713639694863
14,2020-02-05,0,66.74278601738402,13269.271289964032,True,15,3.528062584466589,26066.713639694863
15,2020-02-06,0,66.74278601738402,13269.271289964032,True,16,4.192179541891155,26066.713639694863
16,2020-02-07,0,66.74278601738402,13269.271289964032,True,17,4.981285363947202,26066.713639694863
17,2020-02-08,0,66.74278601738402,13269.271289964032,True,18,5.918893675478433,26066.713639694863
18,2020-02-09,0,66.74278601738402,13269.271289964032,True,19,7.0329376389569465,26066.713639694863
19,2020-02-10,0,66.74278601738402,13269.271289964032,True,20,8.35659899566307,26066.713639694863
20,2020-02-11,0,66.74278601738402,13269.271289964032,True,21,9.929291947660898,26066.713639694863
21,2020-02-12,0,66.74278601738402,13269.271289964032,True,22,11.79783052194064,26066.713639694863
22,2020-02-13,0,66.74278601738402,13269.271289964032,True,23,14.01781324093899,26066.713639694863
23,2020-02-14,0,66.74278601738402,13269.271289964032,True,24,16.655264996506034,26066.713639694863
24,2020-02-15,0,66.74278601738402,13269.271289964032,True,25,19.78858311985569,26066.713639694863
25,2020-02-16,0,66.74278601738402,13269.271289964032,True,26,23.51084290150869,26066.713639694863
26,2020-02-17,0,66.74278601738402,13269.271289964032,True,27,27.932527393263758,26066.713639694863
27,2020-02-18,0,66.74278601738402,13269.271289964032,True,28,33.18475736996992,26066.713639694863
28,2020-02-19,0,66.74278601738402,13269.271289964032,True,29,39.4231099832206,26066.713639694863
29,2020-02-20,0,66.74278601738402,13269.271289964032,True,30,46.832129015571766,26066.713639694863
30,2020-02-21,0,66.74278601738402,13269.271289964032,True,31,55.63064580253731,26066.713639694863
31,2020-02-22,0,66.74278601738402,13269.271289964032,True,32,66.07804779818332,26066.713639694863
32,2020-02-23,0,66.74278601738402,13269.271289964032,True,33,78.48165123750692,26066.713639694863
33,2020-02-24,0,66.74278601738402,13269.271289964032,True,34,93.20535498387257,26066.713639694863
34,2020-02-25,1,66.74278601738402,13269.271289964032,True,35,110.6797736871484,26066.713639694863
35,2020-02-26,1,66.74278601738402,13269.271289964032,True,36,131.41406855894883,26066.713639694863
36,2020-02-27,8,66.74278601738402,13269.271289964032,True,37,156.00971141553032,26066.713639694863
37,2020-02-28,8,66.74278601738402,13269.271289964032,True,38,185.17642915249291,26066.713639694863
38,2020-02-29,18,66.74278601738402,13269.271289964032,True,39,219.75057710482864,26066.713639694863
39,2020-03-01,27,66.74278601738402,13269.271289964032,True,40,260.716174521735,26066.713639694863
40,2020-03-02,42,66.74278601738402,13269.271289964032,True,41,309.2287948463864,26066.713639694863
41,2020-03-03,56,66.74278601738402,13269.271289964032,True,42,366.64242559028975,26066.713639694863
42,2020-03-04,90,66.74278601738402,13269.271289964032,True,43,434.5392812286549,26066.713639694863
43,2020-03-05,114,66.74278601738402,13269.271289964032,True,44,514.7623467694293,26066.713639694863
44,2020-03-06,214,66.74278601738402,13269.271289964032,True,45,609.4501230949867,26066.713639694863
45,2020-03-07,268,66.74278601738402,13269.271289964032,True,46,721.0726060515892,26066.713639694863
46,2020-03-08,337,66.74278601738402,13269.271289964032,True,47,852.4669235282395,26066.713639694863
47,2020-03-09,374,66.74278601738402,13269.271289964032,True,48,1006.8702414028741,26066.713639694863
48,2020-03-10,491,66.74278601738402,13269.271289964032,True,49,1187.9464989281614,26066.713639694863
49,2020-03-11,652,66.74278601738402,13269.271289964032,True,50,1399.8022331175055,26066.713639694863
50,2020-03-12,652,66.74278601738402,13269.271289964032,True,51,1646.9852226878163,26066.713639694863
51,2020-03-13,1139,66.74278601738402,13269.271289964032,True,52,1934.4580119164402,26066.713639694863
52,2020-03-14,1359,66.74278601738402,13269.271289964032,True,53,2267.536750569517,26066.713639694863
53,2020-03-15,2200,66.74278601738402,13269.271289964032,True,54,2651.784536834105,26066.713639694863
54,2020-03-16,2200,66.74278601738402,13269.271289964032,True,55,3092.8480827808576,26066.713639694863
55,2020-03-17,2700,66.74278601738402,13269.271289964032,True,56,3596.22773122139,26066.713639694863
56,2020-03-18,3028,66.74278601738402,13269.271289964032,True,57,4166.974473452143,26066.713639694863
57,2020-03-19,4075,66.74278601738402,13269.271289964032,True,58,4809.314474595636,26066.713639694863
58,2020-03-20,5294,66.74278601738402,13269.271289964032,True,59,5526.212237165687,26066.713639694863
59,2020-03-21,6575,66.74278601738402,13269.271289964032,True,60,6318.897734114777,26066.713639694863
60,2020-03-22,7474,66.74278601738402,13269.271289964032,True,61,7186.39922218012,26066.713639694863
61,2020-03-23,8795,66.74278601738402,13269.271289964032,True,62,8125.139040967571,26066.713639694863
62,2020-03-24,9877,66.74278601738402,13269.271289964032,True,63,9128.66005541503,26066.713639694863
63,2020-03-25,10897,66.74278601738402,13269.271289964032,True,64,10187.550368621536,26066.713639694863
64,2020-03-26,11811,66.74278601738402,13269.271289964032,True,65,11289.619343125309,26066.713639694863
65,2020-03-27,12928,66.74278601738402,13269.271289964032,True,66,12420.347740158744,26066.713639694863
66,2020-03-28,14076,66.74278601738402,13269.271289964032,True,67,13563.592646450474,26066.713639694863
67,2020-03-29,14829,66.74278601738402,13269.271289964032,True,68,14702.482510757545,26066.713639694863
68,2020-03-30,15922,66.74278601738402,13269.271289964032,True,69,15820.40065290753,26066.713639694863
69,2020-03-31,16605,66.74278601738402,13269.271289964032,True,70,16901.937608159467,26066.713639694863
70,2020-04-01,17768,66.74278601738402,13269.271289964032,True,71,17933.699065189237,26066.713639694863
71,2020-04-02,18827,66.74278601738402,13269.271289964032,True,72,18904.884995903925,26066.713639694863
72,2020-04-03,19606,66.74278601738402,13269.271289964032,True,73,19807.598338854514,26066.713639694863
