,Report_Date,Pakistan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,121.1964783115753,48920.21903621525,True,1,13.202438513279152,75978.4417739551
1,2020-01-23,0,0,121.1964783115753,48920.21903621525,True,2,14.218222615236053,75978.4417739551
2,2020-01-24,0,0,121.1964783115753,48920.21903621525,True,3,15.312148027094453,75978.4417739551
3,2020-01-25,0,0,121.1964783115753,48920.21903621525,True,4,16.490223977324277,75978.4417739551
4,2020-01-26,0,0,121.1964783115753,48920.21903621525,True,5,17.758921504160387,75978.4417739551
5,2020-01-27,0,0,121.1964783115753,48920.21903621525,True,6,19.125208895814723,75978.4417739551
6,2020-01-28,0,0,121.1964783115753,48920.21903621525,True,7,20.59658984246432,75978.4417739551
7,2020-01-29,0,0,121.1964783115753,48920.21903621525,True,8,22.18114450623589,75978.4417739551
8,2020-01-30,0,0,121.1964783115753,48920.21903621525,True,9,23.887573730885617,75978.4417739551
9,2020-01-31,0,0,121.1964783115753,48920.21903621525,True,10,25.72524662947939,75978.4417739551
10,2020-02-01,0,0,121.1964783115753,48920.21903621525,True,11,27.704251806191092,75978.4417739551
11,2020-02-02,0,0,121.1964783115753,48920.21903621525,True,12,29.835452487436072,75978.4417739551
12,2020-02-03,0,0,121.1964783115753,48920.21903621525,True,13,32.13054585802902,75978.4417739551
13,2020-02-04,0,0,121.1964783115753,48920.21903621525,True,14,34.602126919990965,75978.4417739551
14,2020-02-05,0,0,121.1964783115753,48920.21903621525,True,15,37.263757215123164,75978.4417739551
15,2020-02-06,0,0,121.1964783115753,48920.21903621525,True,16,40.1300387776161,75978.4417739551
16,2020-02-07,0,0,121.1964783115753,48920.21903621525,True,17,43.21669370987256,75978.4417739551
17,2020-02-08,0,0,121.1964783115753,48920.21903621525,True,18,46.540649803503655,75978.4417739551
18,2020-02-09,0,0,121.1964783115753,48920.21903621525,True,19,50.12013265821661,75978.4417739551
19,2020-02-10,0,0,121.1964783115753,48920.21903621525,True,20,53.97476478416832,75978.4417739551
20,2020-02-11,0,0,121.1964783115753,48920.21903621525,True,21,58.12567220842961,75978.4417739551
21,2020-02-12,0,0,121.1964783115753,48920.21903621525,True,22,62.59559914360856,75978.4417739551
22,2020-02-13,0,0,121.1964783115753,48920.21903621525,True,23,67.40903131654446,75978.4417739551
23,2020-02-14,0,0,121.1964783115753,48920.21903621525,True,24,72.59232859742541,75978.4417739551
24,2020-02-15,0,0,121.1964783115753,48920.21903621525,True,25,78.17386761482656,75978.4417739551
25,2020-02-16,0,0,121.1964783115753,48920.21903621525,True,26,84.18419509013144,75978.4417739551
26,2020-02-17,0,0,121.1964783115753,48920.21903621525,True,27,90.65619267569929,75978.4417739551
27,2020-02-18,0,0,121.1964783115753,48920.21903621525,True,28,97.62525413508602,75978.4417739551
28,2020-02-19,0,0,121.1964783115753,48920.21903621525,True,29,105.12947576071124,75978.4417739551
29,2020-02-20,0,0,121.1964783115753,48920.21903621525,True,30,113.20986098467434,75978.4417739551
30,2020-02-21,0,0,121.1964783115753,48920.21903621525,True,31,121.91054020202309,75978.4417739551
31,2020-02-22,0,0,121.1964783115753,48920.21903621525,True,32,131.27900689271294,75978.4417739551
32,2020-02-23,0,0,121.1964783115753,48920.21903621525,True,33,141.36637119877955,75978.4417739551
33,2020-02-24,0,0,121.1964783115753,48920.21903621525,True,34,152.22763218685557,75978.4417739551
34,2020-02-25,0,0,121.1964783115753,48920.21903621525,True,35,163.92197010303443,75978.4417739551
35,2020-02-26,2,2,121.1964783115753,48920.21903621525,True,36,176.5130600070975,75978.4417739551
36,2020-02-27,2,2,121.1964783115753,48920.21903621525,True,37,190.06940825608703,75978.4417739551
