,Report_Date,Luxembourg_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
59,2020-03-21,670,662,69.10558912449167,1922.2680696201983,True,60,704.4467156018007,3844.488967075259
60,2020-03-22,798,784,69.10558912449167,1922.2680696201983,True,61,803.8323227240228,3844.488967075259
61,2020-03-23,875,861,69.10558912449167,1922.2680696201983,True,62,913.1619705786571,3844.488967075259
62,2020-03-24,1099,1085,69.10558912449167,1922.2680696201983,True,63,1032.3132690829605,3844.488967075259
63,2020-03-25,1333,1319,69.10558912449167,1922.2680696201983,True,64,1160.854860798558,3844.488967075259
64,2020-03-26,1453,1438,69.10558912449167,1922.2680696201983,True,65,1298.0145564553227,3844.488967075259
65,2020-03-27,1605,1550,69.10558912449167,1922.2680696201983,True,66,1442.6683690241748,3844.488967075259
66,2020-03-28,1831,1773,69.10558912449167,1922.2680696201983,True,67,1593.3561237276438,3844.488967075259
67,2020-03-29,1950,1889,69.10558912449167,1922.2680696201983,True,68,1748.326535632712,3844.488967075259
68,2020-03-30,1988,1926,69.10558912449167,1922.2680696201983,True,69,1905.6106617645867,3844.488967075259
69,2020-03-31,2178,2075,69.10558912449167,1922.2680696201983,True,70,2063.1181596482393,3844.488967075259
70,2020-04-01,2319,2210,69.10558912449167,1922.2680696201983,True,71,2218.74682523213,3844.488967075259
71,2020-04-02,2487,2377,69.10558912449167,1922.2680696201983,True,72,2370.4934491495696,3844.488967075259
72,2020-04-03,2612,2081,69.10558912449167,1922.2680696201983,True,73,2516.553783819428,3844.488967075259
73,2020-04-04,2729,2198,69.10558912449167,1922.2680696201983,True,74,2655.401423647645,3844.488967075259
74,2020-04-05,2804,2268,69.10558912449167,1922.2680696201983,True,75,2785.8391149561085,3844.488967075259
75,2020-04-06,2843,2302,69.10558912449167,1922.2680696201983,True,76,2907.020467457951,3844.488967075259
76,2020-04-07,2970,2426,69.10558912449167,1922.2680696201983,True,77,3018.444199676585,3844.488967075259
77,2020-04-08,3034,2488,69.10558912449167,1922.2680696201983,True,78,3119.926127580401,3844.488967075259
78,2020-04-09,3115,2563,69.10558912449167,1922.2680696201983,True,79,3211.5557309094656,3844.488967075259
79,2020-04-10,3223,2669,69.10558912449167,1922.2680696201983,True,80,3293.6443565129043,3844.488967075259
80,2020-04-11,3270,2708,69.10558912449167,1922.2680696201983,True,81,3366.671282936776,3844.488967075259
81,2020-04-12,3281,2715,69.10558912449167,1922.2680696201983,True,82,3431.2324308703896,3844.488967075259
82,2020-04-13,3292,2723,69.10558912449167,1922.2680696201983,True,83,3487.9948837866677,3844.488967075259
83,2020-04-14,3307,2740,69.10558912449167,1922.2680696201983,True,84,3537.6588909347565,3844.488967075259
84,2020-04-15,3373,2778,69.10558912449167,1922.2680696201983,True,85,3580.927832664765,3844.488967075259
85,2020-04-16,3444,2823,69.10558912449167,1922.2680696201983,True,86,3618.4857910349665,3844.488967075259
86,2020-04-17,3480,2829,69.10558912449167,1922.2680696201983,True,87,3650.9818631090798,3844.488967075259
87,2020-04-18,3537,2864,69.10558912449167,1922.2680696201983,True,88,3679.020115858367,3844.488967075259
88,2020-04-19,3550,2850,69.10558912449167,1922.2680696201983,True,89,3703.1540339298576,3844.488967075259
89,2020-04-20,3558,2846,69.10558912449167,1922.2680696201983,True,90,3723.88438451545,3844.488967075259
90,2020-04-21,3618,2870,69.10558912449167,1922.2680696201983,True,91,3741.6595611959606,3844.488967075259
91,2020-04-22,3654,2863,69.10558912449167,1922.2680696201983,True,92,3756.87763103654,3844.488967075259
92,2020-04-23,3665,2854,69.10558912449167,1922.2680696201983,True,93,3769.8894707924633,3844.488967075259
93,2020-04-24,3695,603,69.10558912449167,1922.2680696201983,True,94,3781.002524424198,3844.488967075259
94,2020-04-25,3711,538,69.10558912449167,1922.2680696201983,True,95,3790.4848386519593,3844.488967075259
95,2020-04-26,3723,531,69.10558912449167,1922.2680696201983,True,96,3798.5691344738875,3844.488967075259
96,2020-04-27,3729,518,69.10558912449167,1922.2680696201983,True,97,3805.4567518006115,3844.488967075259
97,2020-04-28,3741,529,69.10558912449167,1922.2680696201983,True,98,3811.321364417716,3844.488967075259
98,2020-04-29,3769,546,69.10558912449167,1922.2680696201983,True,99,3816.312406655028,3844.488967075259
99,2020-04-30,3784,481,69.10558912449167,1922.2680696201983,True,100,3820.558184633167,3844.488967075259
100,2020-05-01,3802,497,69.10558912449167,1922.2680696201983,True,101,3824.168666647539,3844.488967075259
101,2020-05-02,3812,402,69.10558912449167,1922.2680696201983,True,102,3827.2379615611076,3844.488967075259
102,2020-05-03,3824,349,69.10558912449167,1922.2680696201983,True,103,3829.8465029700324,3844.488967075259
103,2020-05-04,3828,327,69.10558912449167,1922.2680696201983,True,104,3832.062961917482,3844.488967075259
104,2020-05-05,3840,332,69.10558912449167,1922.2680696201983,True,105,3833.9459132348916,3844.488967075259
105,2020-05-06,3851,301,69.10558912449167,1922.2680696201983,True,106,3835.5452810643005,3844.488967075259
106,2020-05-07,3859,254,69.10558912449167,1922.2680696201983,True,107,3836.903588402958,3844.488967075259
107,2020-05-08,3871,245,69.10558912449167,1922.2680696201983,True,108,3838.057034073345,3844.488967075259
108,2020-05-09,3877,226,69.10558912449167,1922.2680696201983,True,109,3839.0364186823385,3844.488967075259
109,2020-05-10,3886,199,69.10558912449167,1922.2680696201983,True,110,3839.867939114586,3844.488967075259
110,2020-05-11,3888,185,69.10558912449167,1922.2680696201983,True,111,3840.5738690553135,3844.488967075259
111,2020-05-12,3894,182,69.10558912449167,1922.2680696201983,True,112,3841.1731410510624,3844.488967075259
112,2020-05-13,3904,172,69.10558912449167,1922.2680696201983,True,113,3841.6818437502284,3844.488967075259
113,2020-05-14,3915,147,69.10558912449167,1922.2680696201983,True,114,3842.1136462493023,3844.488967075259
114,2020-05-15,3923,137,69.10558912449167,1922.2680696201983,True,115,3842.480159918506,3844.488967075259
115,2020-05-16,3930,127,69.10558912449167,1922.2680696201983,True,116,3842.7912466934627,3844.488967075259
116,2020-05-17,3945,136,69.10558912449167,1922.2680696201983,True,117,3843.055281591824,3844.488967075259
117,2020-05-18,3947,125,69.10558912449167,1922.2680696201983,True,118,3843.279376135138,3844.488967075259
118,2020-05-19,3958,131,69.10558912449167,1922.2680696201983,True,119,3843.4695684143226,3844.488967075259
119,2020-05-20,3971,134,69.10558912449167,1922.2680696201983,True,120,3843.630984718497,3844.488967075259
120,2020-05-21,3980,130,69.10558912449167,1922.2680696201983,True,121,3843.7679769383303,3844.488967075259
121,2020-05-22,3981,124,69.10558912449167,1922.2680696201983,True,122,3843.88423934366,3844.488967075259
122,2020-05-23,3990,123,69.10558912449167,1922.2680696201983,True,123,3843.98290780905,3844.488967075259
123,2020-05-24,3992,115,69.10558912449167,1922.2680696201983,True,124,3844.0666441092208,3844.488967075259
124,2020-05-25,3993,102,69.10558912449167,1922.2680696201983,True,125,3844.1377075191795,3844.488967075259
125,2020-05-26,3995,102,69.10558912449167,1922.2680696201983,True,126,3844.1980156226364,3844.488967075259
126,2020-05-27,4001,100,69.10558912449167,1922.2680696201983,True,127,3844.2491959492063,3844.488967075259
127,2020-05-28,4008,95,69.10558912449167,1922.2680696201983,True,128,3844.2926298192624,3844.488967075259
