,Report_Date,Luxembourg_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,69.10558912449167,1922.2680696201983,True,1,0.053692843073881814,3844.488967075259
1,2020-01-23,0,0,69.10558912449167,1922.2680696201983,True,2,0.06327039308342305,3844.488967075259
2,2020-01-24,0,0,69.10558912449167,1922.2680696201983,True,3,0.07455632134261343,3844.488967075259
3,2020-01-25,0,0,69.10558912449167,1922.2680696201983,True,4,0.08785534387397999,3844.488967075259
4,2020-01-26,0,0,69.10558912449167,1922.2680696201983,True,5,0.10352652257372348,3844.488967075259
5,2020-01-27,0,0,69.10558912449167,1922.2680696201983,True,6,0.12199295581373334,3844.488967075259
6,2020-01-28,0,0,69.10558912449167,1922.2680696201983,True,7,0.14375319625332209,3844.488967075259
7,2020-01-29,0,0,69.10558912449167,1922.2680696201983,True,8,0.1693947034173382,3844.488967075259
8,2020-01-30,0,0,69.10558912449167,1922.2680696201983,True,9,0.19960969324849773,3844.488967075259
9,2020-01-31,0,0,69.10558912449167,1922.2680696201983,True,10,0.23521381115980522,3844.488967075259
10,2020-02-01,0,0,69.10558912449167,1922.2680696201983,True,11,0.277168130790432,3844.488967075259
11,2020-02-02,0,0,69.10558912449167,1922.2680696201983,True,12,0.326605069687598,3844.488967075259
12,2020-02-03,0,0,69.10558912449167,1922.2680696201983,True,13,0.38485891781658893,3844.488967075259
13,2020-02-04,0,0,69.10558912449167,1922.2680696201983,True,14,0.4535017978496377,3844.488967075259
14,2020-02-05,0,0,69.10558912449167,1922.2680696201983,True,15,0.5343860207608926,3844.488967075259
15,2020-02-06,0,0,69.10558912449167,1922.2680696201983,True,16,0.629693970035817,3844.488967075259
16,2020-02-07,0,0,69.10558912449167,1922.2680696201983,True,17,0.7419968470584719,3844.488967075259
17,2020-02-08,0,0,69.10558912449167,1922.2680696201983,True,18,0.8743238439124086,3844.488967075259
18,2020-02-09,0,0,69.10558912449167,1922.2680696201983,True,19,1.0302435836238466,3844.488967075259
19,2020-02-10,0,0,69.10558912449167,1922.2680696201983,True,20,1.2139599883419594,3844.488967075259
20,2020-02-11,0,0,69.10558912449167,1922.2680696201983,True,21,1.4304251105787036,3844.488967075259
21,2020-02-12,0,0,69.10558912449167,1922.2680696201983,True,22,1.6854718999212566,3844.488967075259
22,2020-02-13,0,0,69.10558912449167,1922.2680696201983,True,23,1.9859703871555527,3844.488967075259
23,2020-02-14,0,0,69.10558912449167,1922.2680696201983,True,24,2.340011360162258,3844.488967075259
24,2020-02-15,0,0,69.10558912449167,1922.2680696201983,True,25,2.75712229297987,3844.488967075259
25,2020-02-16,0,0,69.10558912449167,1922.2680696201983,True,26,3.248521083700955,3844.488967075259
26,2020-02-17,0,0,69.10558912449167,1922.2680696201983,True,27,3.8274140716381235,3844.488967075259
27,2020-02-18,0,0,69.10558912449167,1922.2680696201983,True,28,4.509345852865222,3844.488967075259
28,2020-02-19,0,0,69.10558912449167,1922.2680696201983,True,29,5.312609608535414,3844.488967075259
29,2020-02-20,0,0,69.10558912449167,1922.2680696201983,True,30,6.25872801310591,3844.488967075259
30,2020-02-21,0,0,69.10558912449167,1922.2680696201983,True,31,7.3730163067522065,3844.488967075259
31,2020-02-22,0,0,69.10558912449167,1922.2680696201983,True,32,8.685240798248909,3844.488967075259
32,2020-02-23,0,0,69.10558912449167,1922.2680696201983,True,33,10.230387901283107,3844.488967075259
33,2020-02-24,0,0,69.10558912449167,1922.2680696201983,True,34,12.049560772199527,3844.488967075259
34,2020-02-25,0,0,69.10558912449167,1922.2680696201983,True,35,14.19102266011764,3844.488967075259
35,2020-02-26,0,0,69.10558912449167,1922.2680696201983,True,36,16.711408115832,3844.488967075259
36,2020-02-27,0,0,69.10558912449167,1922.2680696201983,True,37,19.677125098839436,3844.488967075259
37,2020-02-28,0,0,69.10558912449167,1922.2680696201983,True,38,23.165972567723273,3844.488967075259
38,2020-02-29,1,1,69.10558912449167,1922.2680696201983,True,39,27.26899903801896,3844.488967075259
39,2020-03-01,1,1,69.10558912449167,1922.2680696201983,True,40,32.092627414628836,3844.488967075259
40,2020-03-02,1,1,69.10558912449167,1922.2680696201983,True,41,37.76106955258593,3844.488967075259
41,2020-03-03,1,1,69.10558912449167,1922.2680696201983,True,42,44.41904964732258,3844.488967075259
42,2020-03-04,1,1,69.10558912449167,1922.2680696201983,True,43,52.23484759734912,3844.488967075259
43,2020-03-05,1,1,69.10558912449167,1922.2680696201983,True,44,61.40366046358873,3844.488967075259
44,2020-03-06,2,2,69.10558912449167,1922.2680696201983,True,45,72.15126020403686,3844.488967075259
45,2020-03-07,2,2,69.10558912449167,1922.2680696201983,True,46,84.7378966658626,3844.488967075259
46,2020-03-08,3,3,69.10558912449167,1922.2680696201983,True,47,99.46235358568657,3844.488967075259
47,2020-03-09,3,3,69.10558912449167,1922.2680696201983,True,48,116.6660089229323,3844.488967075259
48,2020-03-10,5,5,69.10558912449167,1922.2680696201983,True,49,136.73667593096144,3844.488967075259
49,2020-03-11,7,7,69.10558912449167,1922.2680696201983,True,50,160.11190499571748,3844.488967075259
50,2020-03-12,19,19,69.10558912449167,1922.2680696201983,True,51,187.2813066663014,3844.488967075259
51,2020-03-13,34,34,69.10558912449167,1922.2680696201983,True,52,218.78731422808164,3844.488967075259
52,2020-03-14,51,50,69.10558912449167,1922.2680696201983,True,53,255.22364491580134,3844.488967075259
53,2020-03-15,59,58,69.10558912449167,1922.2680696201983,True,54,297.23055493070984,3844.488967075259
54,2020-03-16,77,76,69.10558912449167,1922.2680696201983,True,55,345.48583775589,3844.488967075259
55,2020-03-17,140,139,69.10558912449167,1922.2680696201983,True,56,400.6904245178721,3844.488967075259
56,2020-03-18,203,201,69.10558912449167,1922.2680696201983,True,57,463.5474618821434,3844.488967075259
57,2020-03-19,335,331,69.10558912449167,1922.2680696201983,True,58,534.7339348206185,3844.488967075259
58,2020-03-20,484,480,69.10558912449167,1922.2680696201983,True,59,614.8643446131758,3844.488967075259
