,Report_Date,Cambodia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,60.5380134682867,61.571047426800426,True,1,0.0014893405635736793,123.1402673222701
1,2020-01-23,0,60.5380134682867,61.571047426800426,True,2,0.001801298349766276,123.1402673222701
2,2020-01-24,0,60.5380134682867,61.571047426800426,True,3,0.0021785977650039,123.1402673222701
3,2020-01-25,0,60.5380134682867,61.571047426800426,True,4,0.0026349245122126402,123.1402673222701
4,2020-01-26,0,60.5380134682867,61.571047426800426,True,5,0.003186830495990946,123.1402673222701
5,2020-01-27,1,60.5380134682867,61.571047426800426,True,6,0.003854333977671538,123.1402673222701
6,2020-01-28,1,60.5380134682867,61.571047426800426,True,7,0.004661645344052998,123.1402673222701
7,2020-01-29,1,60.5380134682867,61.571047426800426,True,8,0.00563804475645387,123.1402673222701
8,2020-01-30,1,60.5380134682867,61.571047426800426,True,9,0.006818943427912263,123.1402673222701
9,2020-01-31,1,60.5380134682867,61.571047426800426,True,10,0.008247166896039552,123.1402673222701
10,2020-02-01,1,60.5380134682867,61.571047426800426,True,11,0.009974506651282041,123.1402673222701
11,2020-02-02,1,60.5380134682867,61.571047426800426,True,12,0.01206359612616868,123.1402673222701
12,2020-02-03,1,60.5380134682867,61.571047426800426,True,13,0.014590178687415892,123.1402673222701
13,2020-02-04,1,60.5380134682867,61.571047426800426,True,14,0.01764584930260326,123.1402673222701
14,2020-02-05,1,60.5380134682867,61.571047426800426,True,15,0.021341368457649192,123.1402673222701
15,2020-02-06,1,60.5380134682867,61.571047426800426,True,16,0.02581066725307095,123.1402673222701
16,2020-02-07,1,60.5380134682867,61.571047426800426,True,17,0.031215687084884553,123.1402673222701
17,2020-02-08,1,60.5380134682867,61.571047426800426,True,18,0.03775222672117782,123.1402673222701
18,2020-02-09,1,60.5380134682867,61.571047426800426,True,19,0.045657004857883016,123.1402673222701
19,2020-02-10,1,60.5380134682867,61.571047426800426,True,20,0.05521618847171059,123.1402673222701
20,2020-02-11,1,60.5380134682867,61.571047426800426,True,21,0.06677568774690254,123.1402673222701
21,2020-02-12,1,60.5380134682867,61.571047426800426,True,22,0.080753578472515,123.1402673222701
22,2020-02-13,1,60.5380134682867,61.571047426800426,True,23,0.09765508419613096,123.1402673222701
23,2020-02-14,1,60.5380134682867,61.571047426800426,True,24,0.11809063483357479,123.1402673222701
24,2020-02-15,1,60.5380134682867,61.571047426800426,True,25,0.14279761772106225,123.1402673222701
25,2020-02-16,1,60.5380134682867,61.571047426800426,True,26,0.17266655309537088,123.1402673222701
26,2020-02-17,1,60.5380134682867,61.571047426800426,True,27,0.20877256035054806,123.1402673222701
27,2020-02-18,1,60.5380134682867,61.571047426800426,True,28,0.25241313531949927,123.1402673222701
28,2020-02-19,1,60.5380134682867,61.571047426800426,True,29,0.3051534325022556,123.1402673222701
29,2020-02-20,1,60.5380134682867,61.571047426800426,True,30,0.3688804382087631,123.1402673222701
30,2020-02-21,1,60.5380134682867,61.571047426800426,True,31,0.44586762691260656,123.1402673222701
31,2020-02-22,1,60.5380134682867,61.571047426800426,True,32,0.5388519053992031,123.1402673222701
32,2020-02-23,1,60.5380134682867,61.571047426800426,True,33,0.6511248527506777,123.1402673222701
33,2020-02-24,1,60.5380134682867,61.571047426800426,True,34,0.7866404344335053,123.1402673222701
34,2020-02-25,1,60.5380134682867,61.571047426800426,True,35,0.9501414673430925,123.1402673222701
35,2020-02-26,1,60.5380134682867,61.571047426800426,True,36,1.1473070812998203,123.1402673222701
36,2020-02-27,1,60.5380134682867,61.571047426800426,True,37,1.3849231752125009,123.1402673222701
37,2020-02-28,1,60.5380134682867,61.571047426800426,True,38,1.6710772795806133,123.1402673222701
38,2020-02-29,1,60.5380134682867,61.571047426800426,True,39,2.0153781390519527,123.1402673222701
39,2020-03-01,1,60.5380134682867,61.571047426800426,True,40,2.429198486420601,123.1402673222701
40,2020-03-02,1,60.5380134682867,61.571047426800426,True,41,2.9259365889748654,123.1402673222701
41,2020-03-03,1,60.5380134682867,61.571047426800426,True,42,3.5212878323131727,123.1402673222701
42,2020-03-04,1,60.5380134682867,61.571047426800426,True,43,4.2335114293608225,123.1402673222701
