,Report_Date,China_xinjiang_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,16.428202424426765,38.12298674118512,True,1,2.0645185357080518,76.24597348232804
1,2020-01-23,2,2,16.428202424426765,38.12298674118512,True,2,2.5856940608043772,76.24597348232804
2,2020-01-24,2,2,16.428202424426765,38.12298674118512,True,3,3.232703772830723,76.24597348232804
3,2020-01-25,3,3,16.428202424426765,38.12298674118512,True,4,4.032748951334882,76.24597348232804
4,2020-01-26,4,4,16.428202424426765,38.12298674118512,True,5,5.01718745982867,76.24597348232804
5,2020-01-27,5,5,16.428202424426765,38.12298674118512,True,6,6.22123514480507,76.24597348232804
6,2020-01-28,10,10,16.428202424426765,38.12298674118512,True,7,7.68306792010669,76.24597348232804
7,2020-01-29,13,13,16.428202424426765,38.12298674118512,True,8,9.442077985934429,76.24597348232804
8,2020-01-30,14,14,16.428202424426765,38.12298674118512,True,9,11.536047480845447,76.24597348232804
9,2020-01-31,17,17,16.428202424426765,38.12298674118512,True,10,13.997097349806545,76.24597348232804
10,2020-02-01,18,18,16.428202424426765,38.12298674118512,True,11,16.846491353314164,76.24597348232804
11,2020-02-02,21,21,16.428202424426765,38.12298674118512,True,12,20.088745044031754,76.24597348232804
12,2020-02-03,24,24,16.428202424426765,38.12298674118512,True,13,23.705964155441436,76.24597348232804
13,2020-02-04,29,29,16.428202424426765,38.12298674118512,True,14,27.653772481649053,76.24597348232804
14,2020-02-05,32,32,16.428202424426765,38.12298674118512,True,15,31.86034715085231,76.24597348232804
15,2020-02-06,36,36,16.428202424426765,38.12298674118512,True,16,36.22971716597552,76.24597348232804
16,2020-02-07,39,39,16.428202424426765,38.12298674118512,True,17,40.6495258182481,76.24597348232804
17,2020-02-08,42,42,16.428202424426765,38.12298674118512,True,18,45.00215310610945,76.24597348232804
18,2020-02-09,45,45,16.428202424426765,38.12298674118512,True,19,49.17696994054673,76.24597348232804
19,2020-02-10,49,49,16.428202424426765,38.12298674118512,True,20,53.081094505759424,76.24597348232804
20,2020-02-11,55,52,16.428202424426765,38.12298674118512,True,21,56.64655007282137,76.24597348232804
21,2020-02-12,59,56,16.428202424426765,38.12298674118512,True,22,59.83291090453724,76.24597348232804
22,2020-02-13,63,56,16.428202424426765,38.12298674118512,True,23,62.625805044042025,76.24597348232804
23,2020-02-14,65,58,16.428202424426765,38.12298674118512,True,24,65.03251961181915,76.24597348232804
24,2020-02-15,70,59,16.428202424426765,38.12298674118512,True,25,67.07623107404414,76.24597348232804
25,2020-02-16,71,58,16.428202424426765,38.12298674118512,True,26,68.79016880181975,76.24597348232804
26,2020-02-17,75,62,16.428202424426765,38.12298674118512,True,27,70.21256602329049,76.24597348232804
27,2020-02-18,76,63,16.428202424426765,38.12298674118512,True,28,71.38278646565414,76.24597348232804
28,2020-02-19,76,55,16.428202424426765,38.12298674118512,True,29,72.33866562297675,76.24597348232804
29,2020-02-20,76,53,16.428202424426765,38.12298674118512,True,30,73.11490393205935,76.24597348232804
30,2020-02-21,76,51,16.428202424426765,38.12298674118512,True,31,73.74226959088188,76.24597348232804
31,2020-02-22,76,49,16.428202424426765,38.12298674118512,True,32,74.24736747814435,76.24597348232804
32,2020-02-23,76,46,16.428202424426765,38.12298674118512,True,33,74.65276830724937,76.24597348232804
33,2020-02-24,76,44,16.428202424426765,38.12298674118512,True,34,74.977341969856,76.24597348232804
34,2020-02-25,76,44,16.428202424426765,38.12298674118512,True,35,75.2366862546277,76.24597348232804
35,2020-02-26,76,40,16.428202424426765,38.12298674118512,True,36,75.44358058858039,76.24597348232804
36,2020-02-27,76,31,16.428202424426765,38.12298674118512,True,37,75.60842293242143,76.24597348232804
37,2020-02-28,76,21,16.428202424426765,38.12298674118512,True,38,75.7396276098633,76.24597348232804
38,2020-02-29,76,11,16.428202424426765,38.12298674118512,True,39,75.84397459025965,76.24597348232804
39,2020-03-01,76,9,16.428202424426765,38.12298674118512,True,40,75.92690849260485,76.24597348232804
40,2020-03-02,76,7,16.428202424426765,38.12298674118512,True,41,75.99278993053451,76.24597348232804
41,2020-03-03,76,5,16.428202424426765,38.12298674118512,True,42,76.04510397219279,76.24597348232804
42,2020-03-04,76,4,16.428202424426765,38.12298674118512,True,43,76.08663129220052,76.24597348232804
43,2020-03-05,76,3,16.428202424426765,38.12298674118512,True,44,76.1195876141464,76.24597348232804
44,2020-03-06,76,2,16.428202424426765,38.12298674118512,True,45,76.14573664734291,76.24597348232804
45,2020-03-07,76,1,16.428202424426765,38.12298674118512,True,46,76.16648113747021,76.24597348232804
46,2020-03-08,76,0,16.428202424426765,38.12298674118512,True,47,76.18293601073795,76.24597348232804
47,2020-03-09,76,0,16.428202424426765,38.12298674118512,True,48,76.19598696934646,76.24597348232804
48,2020-03-10,76,0,16.428202424426765,38.12298674118512,True,49,76.20633732942409,76.24597348232804
49,2020-03-11,76,0,16.428202424426765,38.12298674118512,True,50,76.2145453963104,76.24597348232804
50,2020-03-12,76,0,16.428202424426765,38.12298674118512,True,51,76.2210542485542,76.24597348232804
51,2020-03-13,76,0,16.428202424426765,38.12298674118512,True,52,76.22621544715439,76.24597348232804
52,2020-03-14,76,0,16.428202424426765,38.12298674118512,True,53,76.23030789314653,76.24597348232804
53,2020-03-15,76,0,16.428202424426765,38.12298674118512,True,54,76.23355281634618,76.24597348232804
54,2020-03-16,76,0,16.428202424426765,38.12298674118512,True,55,76.23612568271054,76.24597348232804
55,2020-03-17,76,0,16.428202424426765,38.12298674118512,True,56,76.23816564984605,76.24597348232804
56,2020-03-18,76,0,16.428202424426765,38.12298674118512,True,57,76.23978307304844,76.24597348232804
57,2020-03-19,76,0,16.428202424426765,38.12298674118512,True,58,76.2410654622459,76.24597348232804
58,2020-03-20,76,0,16.428202424426765,38.12298674118512,True,59,76.24208220857032,76.24597348232804
59,2020-03-21,76,0,16.428202424426765,38.12298674118512,True,60,76.24288833406808,76.24597348232804
60,2020-03-22,76,0,16.428202424426765,38.12298674118512,True,61,76.24352746605594,76.24597348232804
61,2020-03-23,76,0,16.428202424426765,38.12298674118512,True,62,76.24403419620512,76.24597348232804
62,2020-03-24,76,0,16.428202424426765,38.12298674118512,True,63,76.24443595147561,76.24597348232804
63,2020-03-25,76,0,16.428202424426765,38.12298674118512,True,64,76.24475447781388,76.24597348232804
64,2020-03-26,76,0,16.428202424426765,38.12298674118512,True,65,76.24500701670279,76.24597348232804
65,2020-03-27,76,0,16.428202424426765,38.12298674118512,True,66,76.24520723810923,76.24597348232804
66,2020-03-28,76,0,16.428202424426765,38.12298674118512,True,67,76.2453659802438,76.24597348232804
67,2020-03-29,76,0,16.428202424426765,38.12298674118512,True,68,76.24549183612083,76.24597348232804
68,2020-03-30,76,0,16.428202424426765,38.12298674118512,True,69,76.24559161863654,76.24597348232804
69,2020-03-31,76,0,16.428202424426765,38.12298674118512,True,70,76.24567072931909,76.24597348232804
70,2020-04-01,76,0,16.428202424426765,38.12298674118512,True,71,76.24573345069876,76.24597348232804
71,2020-04-02,76,0,16.428202424426765,38.12298674118512,True,72,76.24578317811641,76.24597348232804
72,2020-04-03,76,0,16.428202424426765,38.12298674118512,True,73,76.24582260351367,76.24597348232804
73,2020-04-04,76,0,16.428202424426765,38.12298674118512,True,74,76.24585386115074,76.24597348232804
74,2020-04-05,76,0,16.428202424426765,38.12298674118512,True,75,76.24587864313786,76.24597348232804
75,2020-04-06,76,0,16.428202424426765,38.12298674118512,True,76,76.24589829103353,76.24597348232804
76,2020-04-07,76,0,16.428202424426765,38.12298674118512,True,77,76.24591386846708,76.24597348232804
77,2020-04-08,76,0,16.428202424426765,38.12298674118512,True,78,76.24592621871653,76.24597348232804
78,2020-04-09,76,0,16.428202424426765,38.12298674118512,True,79,76.24593601035838,76.24597348232804
79,2020-04-10,76,0,16.428202424426765,38.12298674118512,True,80,76.24594377346023,76.24597348232804
80,2020-04-11,76,0,16.428202424426765,38.12298674118512,True,81,76.24594992827554,76.24597348232804
81,2020-04-12,76,0,16.428202424426765,38.12298674118512,True,82,76.24595480799384,76.24597348232804
82,2020-04-13,76,0,16.428202424426765,38.12298674118512,True,83,76.24595867677768,76.24597348232804
83,2020-04-14,76,0,16.428202424426765,38.12298674118512,True,84,76.24596174406295,76.24597348232804
84,2020-04-15,76,0,16.428202424426765,38.12298674118512,True,85,76.24596417589659,76.24597348232804
85,2020-04-16,76,0,16.428202424426765,38.12298674118512,True,86,76.24596610392555,76.24597348232804
86,2020-04-17,76,0,16.428202424426765,38.12298674118512,True,87,76.24596763252336,76.24597348232804
87,2020-04-18,76,0,16.428202424426765,38.12298674118512,True,88,76.24596884444047,76.24597348232804
88,2020-04-19,76,0,16.428202424426765,38.12298674118512,True,89,76.24596980528382,76.24597348232804
89,2020-04-20,76,0,16.428202424426765,38.12298674118512,True,90,76.24597056706855,76.24597348232804
90,2020-04-21,76,0,16.428202424426765,38.12298674118512,True,91,76.24597117103377,76.24597348232804
91,2020-04-22,76,0,16.428202424426765,38.12298674118512,True,92,76.24597164987507,76.24597348232804
92,2020-04-23,76,0,16.428202424426765,38.12298674118512,True,93,76.24597202951448,76.24597348232804
93,2020-04-24,76,0,16.428202424426765,38.12298674118512,True,94,76.24597233050369,76.24597348232804
94,2020-04-25,76,0,16.428202424426765,38.12298674118512,True,95,76.24597256913674,76.24597348232804
95,2020-04-26,76,0,16.428202424426765,38.12298674118512,True,96,76.24597275833202,76.24597348232804
96,2020-04-27,76,0,16.428202424426765,38.12298674118512,True,97,76.24597290833157,76.24597348232804
97,2020-04-28,76,0,16.428202424426765,38.12298674118512,True,98,76.24597302725559,76.24597348232804
98,2020-04-29,76,0,16.428202424426765,38.12298674118512,True,99,76.24597312154202,76.24597348232804
99,2020-04-30,76,0,16.428202424426765,38.12298674118512,True,100,76.24597319629508,76.24597348232804
100,2020-05-01,76,0,16.428202424426765,38.12298674118512,True,101,76.24597325556148,76.24597348232804
101,2020-05-02,76,0,16.428202424426765,38.12298674118512,True,102,76.24597330254963,76.24597348232804
102,2020-05-03,76,0,16.428202424426765,38.12298674118512,True,103,76.2459733398032,76.24597348232804
103,2020-05-04,76,0,16.428202424426765,38.12298674118512,True,104,76.24597336933891,76.24597348232804
104,2020-05-05,76,0,16.428202424426765,38.12298674118512,True,105,76.2459733927557,76.24597348232804
105,2020-05-06,76,0,16.428202424426765,38.12298674118512,True,106,76.24597341132122,76.24597348232804
106,2020-05-07,76,0,16.428202424426765,38.12298674118512,True,107,76.2459734260405,76.24597348232804
107,2020-05-08,76,0,16.428202424426765,38.12298674118512,True,108,76.24597343771038,76.24597348232804
108,2020-05-09,76,0,16.428202424426765,38.12298674118512,True,109,76.2459734469626,76.24597348232804
109,2020-05-10,76,0,16.428202424426765,38.12298674118512,True,110,76.24597345429802,76.24597348232804
110,2020-05-11,76,0,16.428202424426765,38.12298674118512,True,111,76.24597346011377,76.24597348232804
111,2020-05-12,76,0,16.428202424426765,38.12298674118512,True,112,76.24597346472466,76.24597348232804
112,2020-05-13,76,0,16.428202424426765,38.12298674118512,True,113,76.2459734683803,76.24597348232804
113,2020-05-14,76,0,16.428202424426765,38.12298674118512,True,114,76.24597347127862,76.24597348232804
114,2020-05-15,76,0,16.428202424426765,38.12298674118512,True,115,76.24597347357648,76.24597348232804
115,2020-05-16,76,0,16.428202424426765,38.12298674118512,True,116,76.24597347539829,76.24597348232804
116,2020-05-17,76,0,16.428202424426765,38.12298674118512,True,117,76.24597347684266,76.24597348232804
117,2020-05-18,76,0,16.428202424426765,38.12298674118512,True,118,76.24597347798783,76.24597348232804
118,2020-05-19,76,0,16.428202424426765,38.12298674118512,True,119,76.24597347889573,76.24597348232804
119,2020-05-20,76,0,16.428202424426765,38.12298674118512,True,120,76.24597347961554,76.24597348232804
120,2020-05-21,76,0,16.428202424426765,38.12298674118512,True,121,76.24597348018624,76.24597348232804
121,2020-05-22,76,0,16.428202424426765,38.12298674118512,True,122,76.24597348063871,76.24597348232804
122,2020-05-23,76,0,16.428202424426765,38.12298674118512,True,123,76.24597348099742,76.24597348232804
123,2020-05-24,76,0,16.428202424426765,38.12298674118512,True,124,76.24597348128184,76.24597348232804
124,2020-05-25,76,0,16.428202424426765,38.12298674118512,True,125,76.24597348150732,76.24597348232804
125,2020-05-26,76,0,16.428202424426765,38.12298674118512,True,126,76.2459734816861,76.24597348232804
126,2020-05-27,76,0,16.428202424426765,38.12298674118512,True,127,76.24597348182783,76.24597348232804
127,2020-05-28,76,0,16.428202424426765,38.12298674118512,True,128,76.24597348194021,76.24597348232804
