,Report_Date,Andorra_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.03655176780002,485.9381419402316,False,1,0.01137796969542838,971.876283880463
1,2020-01-23,0,73.03655176780002,485.9381419402316,False,2,0.013320569025276747,971.876283880463
2,2020-01-24,0,73.03655176780002,485.9381419402316,False,3,0.015594829600810392,971.876283880463
3,2020-01-25,0,73.03655176780002,485.9381419402316,False,4,0.01825737418956787,971.876283880463
4,2020-01-26,0,73.03655176780002,485.9381419402316,False,5,0.021374491733235558,971.876283880463
5,2020-01-27,0,73.03655176780002,485.9381419402316,False,6,0.025023787206646178,971.876283880463
6,2020-01-28,0,73.03655176780002,485.9381419402316,False,7,0.029296112980516258,971.876283880463
7,2020-01-29,0,73.03655176780002,485.9381419402316,False,8,0.0342978296816936,971.876283880463
8,2020-01-30,0,73.03655176780002,485.9381419402316,False,9,0.040153452713381534,971.876283880463
9,2020-01-31,0,73.03655176780002,485.9381419402316,False,10,0.04700875015172343,971.876283880463
10,2020-02-01,0,73.03655176780002,485.9381419402316,False,11,0.05503436890727012,971.876283880463
11,2020-02-02,0,73.03655176780002,485.9381419402316,False,12,0.06443007910169897,971.876283880463
12,2020-02-03,0,73.03655176780002,485.9381419402316,False,13,0.07542974187776597,971.876283880463
13,2020-02-04,0,73.03655176780002,485.9381419402316,False,14,0.08830712370143964,971.876283880463
14,2020-02-05,0,73.03655176780002,485.9381419402316,False,15,0.10338270105649973,971.876283880463
15,2020-02-06,0,73.03655176780002,485.9381419402316,False,16,0.12103162376893978,971.876283880463
16,2020-02-07,0,73.03655176780002,485.9381419402316,False,17,0.14169303360497032,971.876283880463
17,2020-02-08,0,73.03655176780002,485.9381419402316,False,18,0.1658809679253391,971.876283880463
18,2020-02-09,0,73.03655176780002,485.9381419402316,False,19,0.19419711681464277,971.876283880463
19,2020-02-10,0,73.03655176780002,485.9381419402316,False,20,0.22734574711637504,971.876283880463
20,2020-02-11,0,73.03655176780002,485.9381419402316,False,21,0.2661511591998917,971.876283880463
21,2020-02-12,0,73.03655176780002,485.9381419402316,False,22,0.31157810321355345,971.876283880463
22,2020-02-13,0,73.03655176780002,485.9381419402316,False,23,0.3647556523435305,971.876283880463
23,2020-02-14,0,73.03655176780002,485.9381419402316,False,24,0.42700511267145536,971.876283880463
24,2020-02-15,0,73.03655176780002,485.9381419402316,False,25,0.49987264425238326,971.876283880463
25,2020-02-16,0,73.03655176780002,485.9381419402316,False,26,0.5851673778403245,971.876283880463
26,2020-02-17,0,73.03655176780002,485.9381419402316,False,27,0.6850059382640423,971.876283880463
27,2020-02-18,0,73.03655176780002,485.9381419402316,False,28,0.8018644309395617,971.876283880463
28,2020-02-19,0,73.03655176780002,485.9381419402316,False,29,0.9386391146384504,971.876283880463
29,2020-02-20,0,73.03655176780002,485.9381419402316,False,30,1.0987171736777308,971.876283880463
30,2020-02-21,0,73.03655176780002,485.9381419402316,False,31,1.2860592183250665,971.876283880463
31,2020-02-22,0,73.03655176780002,485.9381419402316,False,32,1.5052953853009583,971.876283880463
32,2020-02-23,0,73.03655176780002,485.9381419402316,False,33,1.7618371821203238,971.876283880463
33,2020-02-24,0,73.03655176780002,485.9381419402316,False,34,2.0620075199881183,971.876283880463
34,2020-02-25,0,73.03655176780002,485.9381419402316,False,35,2.4131917088360937,971.876283880463
35,2020-02-26,0,73.03655176780002,485.9381419402316,False,36,2.8240125412886967,971.876283880463
36,2020-02-27,0,73.03655176780002,485.9381419402316,False,37,3.304532962823949,971.876283880463
37,2020-02-28,0,73.03655176780002,485.9381419402316,False,38,3.866490201088777,971.876283880463
38,2020-02-29,0,73.03655176780002,485.9381419402316,False,39,4.5235655891055275,971.876283880463
39,2020-03-01,0,73.03655176780002,485.9381419402316,False,40,5.2916946360186525,971.876283880463
40,2020-03-02,1,73.03655176780002,485.9381419402316,False,41,6.189422132711985,971.876283880463
41,2020-03-03,1,73.03655176780002,485.9381419402316,False,42,7.238307167650198,971.876283880463
42,2020-03-04,1,73.03655176780002,485.9381419402316,False,43,8.46338278629912,971.876283880463
43,2020-03-05,1,73.03655176780002,485.9381419402316,False,44,9.893674539920825,971.876283880463
44,2020-03-06,1,73.03655176780002,485.9381419402316,False,45,11.56278118108256,971.876283880463
45,2020-03-07,1,73.03655176780002,485.9381419402316,False,46,13.509519068935939,971.876283880463
46,2020-03-08,1,73.03655176780002,485.9381419402316,False,47,15.778629182395884,971.876283880463
47,2020-03-09,1,73.03655176780002,485.9381419402316,False,48,18.42154166963377,971.876283880463
48,2020-03-10,1,73.03655176780002,485.9381419402316,False,49,21.49718717830466,971.876283880463
49,2020-03-11,1,73.03655176780002,485.9381419402316,False,50,25.072836329459307,971.876283880463
50,2020-03-12,1,73.03655176780002,485.9381419402316,False,51,29.22493807829464,971.876283880463
51,2020-03-13,1,73.03655176780002,485.9381419402316,False,52,34.03991378869177,971.876283880463
52,2020-03-14,1,73.03655176780002,485.9381419402316,False,53,39.61484613927727,971.876283880463
53,2020-03-15,1,73.03655176780002,485.9381419402316,False,54,46.05798017626951,971.876283880463
54,2020-03-16,2,73.03655176780002,485.9381419402316,False,55,53.488928040287256,971.876283880463
55,2020-03-17,39,73.03655176780002,485.9381419402316,False,56,62.03843994344838,971.876283880463
56,2020-03-18,39,73.03655176780002,485.9381419402316,False,57,71.8475738094683,971.876283880463
57,2020-03-19,53,73.03655176780002,485.9381419402316,False,58,83.06606819017294,971.876283880463
