,Report_Date,Denmark_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.3523545108493,2208.6806564752364,True,1,0.46101563840746074,3915.6655508377175
1,2020-01-23,0,66.3523545108493,2208.6806564752364,True,2,0.5304334709324768,3915.6655508377175
2,2020-01-24,0,66.3523545108493,2208.6806564752364,True,3,0.610302509949006,3915.6655508377175
3,2020-01-25,0,66.3523545108493,2208.6806564752364,True,4,0.702195769886519,3915.6655508377175
4,2020-01-26,0,66.3523545108493,2208.6806564752364,True,5,0.807922868648759,3915.6655508377175
5,2020-01-27,0,66.3523545108493,2208.6806564752364,True,6,0.9295655670686391,3915.6655508377175
6,2020-01-28,0,66.3523545108493,2208.6806564752364,True,7,1.0695186307525206,3915.6655508377175
7,2020-01-29,0,66.3523545108493,2208.6806564752364,True,8,1.2305368062494741,3915.6655508377175
8,2020-01-30,0,66.3523545108493,2208.6806564752364,True,9,1.4157888196455204,3915.6655508377175
9,2020-01-31,0,66.3523545108493,2208.6806564752364,True,10,1.6289194383420718,3915.6655508377175
10,2020-02-01,0,66.3523545108493,2208.6806564752364,True,11,1.8741207880945139,3915.6655508377175
11,2020-02-02,0,66.3523545108493,2208.6806564752364,True,12,2.1562142897463414,3915.6655508377175
12,2020-02-03,0,66.3523545108493,2208.6806564752364,True,13,2.48074477610523,3915.6655508377175
13,2020-02-04,0,66.3523545108493,2208.6806564752364,True,14,2.8540885718925497,3915.6655508377175
14,2020-02-05,0,66.3523545108493,2208.6806564752364,True,15,3.2835775716692437,3915.6655508377175
15,2020-02-06,0,66.3523545108493,2208.6806564752364,True,16,3.777641635254711,3915.6655508377175
16,2020-02-07,0,66.3523545108493,2208.6806564752364,True,17,4.3459719406352475,3915.6655508377175
17,2020-02-08,0,66.3523545108493,2208.6806564752364,True,18,4.999708293879903,3915.6655508377175
18,2020-02-09,0,66.3523545108493,2208.6806564752364,True,19,5.751653797096648,3915.6655508377175
19,2020-02-10,0,66.3523545108493,2208.6806564752364,True,20,6.616520721450734,3915.6655508377175
20,2020-02-11,0,66.3523545108493,2208.6806564752364,True,21,7.61121192438555,3915.6655508377175
21,2020-02-12,0,66.3523545108493,2208.6806564752364,True,22,8.75514268877693,3915.6655508377175
22,2020-02-13,0,66.3523545108493,2208.6806564752364,True,23,10.070608445177617,3915.6655508377175
23,2020-02-14,0,66.3523545108493,2208.6806564752364,True,24,11.583204462051915,3915.6655508377175
24,2020-02-15,0,66.3523545108493,2208.6806564752364,True,25,13.322304244358957,3915.6655508377175
25,2020-02-16,0,66.3523545108493,2208.6806564752364,True,26,15.321604053737039,3915.6655508377175
26,2020-02-17,0,66.3523545108493,2208.6806564752364,True,27,17.619741631828408,3915.6655508377175
27,2020-02-18,0,66.3523545108493,2208.6806564752364,True,28,20.260997839453854,3915.6655508377175
28,2020-02-19,0,66.3523545108493,2208.6806564752364,True,29,23.29609047195194,3915.6655508377175
29,2020-02-20,0,66.3523545108493,2208.6806564752364,True,30,26.78306991025894,3915.6655508377175
30,2020-02-21,0,66.3523545108493,2208.6806564752364,True,31,30.788326429613324,3915.6655508377175
31,2020-02-22,0,66.3523545108493,2208.6806564752364,True,32,35.38771879392841,3915.6655508377175
32,2020-02-23,0,66.3523545108493,2208.6806564752364,True,33,40.66783305597348,3915.6655508377175
33,2020-02-24,0,66.3523545108493,2208.6806564752364,True,34,46.72737905534206,3915.6655508377175
34,2020-02-25,0,66.3523545108493,2208.6806564752364,True,35,53.67872969249767,3915.6655508377175
35,2020-02-26,0,66.3523545108493,2208.6806564752364,True,36,61.64960432199909,3915.6655508377175
36,2020-02-27,1,66.3523545108493,2208.6806564752364,True,37,70.78489213318207,3915.6655508377175
37,2020-02-28,1,66.3523545108493,2208.6806564752364,True,38,81.24860366219087,3915.6655508377175
38,2020-02-29,3,66.3523545108493,2208.6806564752364,True,39,93.22592799865718,3915.6655508377175
39,2020-03-01,4,66.3523545108493,2208.6806564752364,True,40,106.92535911427171,3915.6655508377175
40,2020-03-02,4,66.3523545108493,2208.6806564752364,True,41,122.58083627690414,3915.6655508377175
41,2020-03-03,6,66.3523545108493,2208.6806564752364,True,42,140.45381992244438,3915.6655508377175
42,2020-03-04,10,66.3523545108493,2208.6806564752364,True,43,160.8351948904208,3915.6655508377175
43,2020-03-05,10,66.3523545108493,2208.6806564752364,True,44,184.0468570303441,3915.6655508377175
44,2020-03-06,23,66.3523545108493,2208.6806564752364,True,45,210.44279668975665,3915.6655508377175
45,2020-03-07,23,66.3523545108493,2208.6806564752364,True,46,240.40944402871284,3915.6655508377175
46,2020-03-08,35,66.3523545108493,2208.6806564752364,True,47,274.3649880859638,3915.6655508377175
47,2020-03-09,90,66.3523545108493,2208.6806564752364,True,48,312.75732726264226,3915.6655508377175
48,2020-03-10,262,66.3523545108493,2208.6806564752364,True,49,356.0602587848957,3915.6655508377175
49,2020-03-11,442,66.3523545108493,2208.6806564752364,True,50,404.76747693080375,3915.6655508377175
50,2020-03-12,615,66.3523545108493,2208.6806564752364,True,51,459.3839357776349,3915.6655508377175
51,2020-03-13,801,66.3523545108493,2208.6806564752364,True,52,520.4141567172542,3915.6655508377175
52,2020-03-14,827,66.3523545108493,2208.6806564752364,True,53,588.347141553892,3915.6655508377175
53,2020-03-15,864,66.3523545108493,2208.6806564752364,True,54,663.637707301875,3915.6655508377175
54,2020-03-16,914,66.3523545108493,2208.6806564752364,True,55,746.6843054370646,3915.6655508377175
