,Report_Date,Cambodia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,1,0,60.52116000944321,61.50112835843136,True,42,3.5248967970759835,123.00220785818102
42,2020-03-04,1,0,60.52116000944321,61.50112835843136,True,43,4.2380124787154925,123.00220785818102
43,2020-03-05,1,0,60.52116000944321,61.50112835843136,True,44,5.089252058414416,123.00220785818102
44,2020-03-06,1,0,60.52116000944321,61.50112835843136,True,45,6.102684387814286,123.00220785818102
45,2020-03-07,1,0,60.52116000944321,61.50112835843136,True,46,7.305420263423026,123.00220785818102
46,2020-03-08,2,1,60.52116000944321,61.50112835843136,True,47,8.727498167576472,123.00220785818102
47,2020-03-09,2,1,60.52116000944321,61.50112835843136,True,48,10.401511461305248,123.00220785818102
48,2020-03-10,2,1,60.52116000944321,61.50112835843136,True,49,12.361881086651131,123.00220785818102
49,2020-03-11,3,2,60.52116000944321,61.50112835843136,True,50,14.64367154004233,123.00220785818102
50,2020-03-12,3,2,60.52116000944321,61.50112835843136,True,51,17.28085748640115,123.00220785818102
51,2020-03-13,5,4,60.52116000944321,61.50112835843136,True,52,20.303983844352377,123.00220785818102
52,2020-03-14,7,6,60.52116000944321,61.50112835843136,True,53,23.737233452516616,123.00220785818102
53,2020-03-15,7,6,60.52116000944321,61.50112835843136,True,54,27.59502935328947,123.00220785818102
54,2020-03-16,7,6,60.52116000944321,61.50112835843136,True,55,31.878448682360002,123.00220785818102
55,2020-03-17,33,32,60.52116000944321,61.50112835843136,True,56,36.57189014003082,123.00220785818102
56,2020-03-18,35,34,60.52116000944321,61.50112835843136,True,57,41.64057394770261,123.00220785818102
57,2020-03-19,37,36,60.52116000944321,61.50112835843136,True,58,47.02950277314625,123.00220785818102
58,2020-03-20,51,50,60.52116000944321,61.50112835843136,True,59,52.664416692389686,123.00220785818102
59,2020-03-21,53,52,60.52116000944321,61.50112835843136,True,60,58.45500764530253,123.00220785818102
60,2020-03-22,84,83,60.52116000944321,61.50112835843136,True,61,64.30025022230149,123.00220785818102
61,2020-03-23,87,86,60.52116000944321,61.50112835843136,True,62,70.09525363251765,123.00220785818102
62,2020-03-24,91,87,60.52116000944321,61.50112835843136,True,63,75.73868236847574,123.00220785818102
63,2020-03-25,96,86,60.52116000944321,61.50112835843136,True,64,81.13965341251024,123.00220785818102
64,2020-03-26,96,86,60.52116000944321,61.50112835843136,True,65,86.22314650536485,123.00220785818102
65,2020-03-27,99,88,60.52116000944321,61.50112835843136,True,66,90.93331427869492,123.00220785818102
66,2020-03-28,99,86,60.52116000944321,61.50112835843136,True,67,95.23452994407782,123.00220785818102
67,2020-03-29,103,82,60.52116000944321,61.50112835843136,True,68,99.11042309103132,123.00220785818102
68,2020-03-30,107,86,60.52116000944321,61.50112835843136,True,69,102.56142883885039,123.00220785818102
69,2020-03-31,109,86,60.52116000944321,61.50112835843136,True,70,105.60147806768612,123.00220785818102
70,2020-04-01,109,84,60.52116000944321,61.50112835843136,True,71,108.25441194695905,123.00220785818102
71,2020-04-02,110,76,60.52116000944321,61.50112835843136,True,72,110.5505694776232,123.00220785818102
72,2020-04-03,114,79,60.52116000944321,61.50112835843136,True,73,112.52383194398558,123.00220785818102
73,2020-04-04,114,64,60.52116000944321,61.50112835843136,True,74,114.20925699314517,123.00220785818102
74,2020-04-05,114,64,60.52116000944321,61.50112835843136,True,75,115.64132037356268,123.00220785818102
75,2020-04-06,114,61,60.52116000944321,61.50112835843136,True,76,116.8527103909798,123.00220785818102
76,2020-04-07,115,57,60.52116000944321,61.50112835843136,True,77,117.87358335385501,123.00220785818102
77,2020-04-08,117,54,60.52116000944321,61.50112835843136,True,78,118.73117778962035,123.00220785818102
78,2020-04-09,119,57,60.52116000944321,61.50112835843136,True,79,119.44969101415725,123.00220785818102
79,2020-04-10,119,47,60.52116000944321,61.50112835843136,True,80,120.05033569540997,123.00220785818102
80,2020-04-11,120,45,60.52116000944321,61.50112835843136,True,81,120.55151084612037,123.00220785818102
81,2020-04-12,122,45,60.52116000944321,61.50112835843136,True,82,120.96903792248733,123.00220785818102
82,2020-04-13,122,45,60.52116000944321,61.50112835843136,True,83,121.3164267636459,123.00220785818102
83,2020-04-14,122,31,60.52116000944321,61.50112835843136,True,84,121.60514742425384,123.00220785818102
84,2020-04-15,122,26,60.52116000944321,61.50112835843136,True,85,121.84489258457131,123.00220785818102
85,2020-04-16,122,24,60.52116000944321,61.50112835843136,True,86,122.04382151857362,123.00220785818102
86,2020-04-17,122,24,60.52116000944321,61.50112835843136,True,87,122.20878100851002,123.00220785818102
87,2020-04-18,122,19,60.52116000944321,61.50112835843136,True,88,122.34550155309104,123.00220785818102
88,2020-04-19,122,17,60.52116000944321,61.50112835843136,True,89,122.45876910763563,123.00220785818102
89,2020-04-20,122,15,60.52116000944321,61.50112835843136,True,90,122.55257372617734,123.00220785818102
90,2020-04-21,122,12,60.52116000944321,61.50112835843136,True,91,122.63023708456127,123.00220785818102
91,2020-04-22,122,12,60.52116000944321,61.50112835843136,True,92,122.6945211252475,123.00220785818102
92,2020-04-23,122,12,60.52116000944321,61.50112835843136,True,93,122.74772010465614,123.00220785818102
93,2020-04-24,122,5,60.52116000944321,61.50112835843136,True,94,122.79173823022317,123.00220785818102
94,2020-04-25,122,5,60.52116000944321,61.50112835843136,True,95,122.82815490650361,123.00220785818102
95,2020-04-26,122,5,60.52116000944321,61.50112835843136,True,96,122.85827940697602,123.00220785818102
96,2020-04-27,122,3,60.52116000944321,61.50112835843136,True,97,122.88319657571334,123.00220785818102
97,2020-04-28,122,3,60.52116000944321,61.50112835843136,True,98,122.90380495599216,123.00220785818102
98,2020-04-29,122,3,60.52116000944321,61.50112835843136,True,99,122.92084854982713,123.00220785818102
99,2020-04-30,122,3,60.52116000944321,61.50112835843136,True,100,122.93494323759566,123.00220785818102
100,2020-05-01,122,2,60.52116000944321,61.50112835843136,True,101,122.94659873187658,123.00220785818102
101,2020-05-02,122,2,60.52116000944321,61.50112835843136,True,102,122.95623680418456,123.00220785818102
102,2020-05-03,122,2,60.52116000944321,61.50112835843136,True,103,122.9642064063012,123.00220785818102
103,2020-05-04,122,2,60.52116000944321,61.50112835843136,True,104,122.97079620774267,123.00220785818102
104,2020-05-05,122,2,60.52116000944321,61.50112835843136,True,105,122.97624498572831,123.00220785818102
105,2020-05-06,122,2,60.52116000944321,61.50112835843136,True,106,122.98075023196586,123.00220785818102
106,2020-05-07,122,2,60.52116000944321,61.50112835843136,True,107,122.98447527988719,123.00220785818102
107,2020-05-08,122,2,60.52116000944321,61.50112835843136,True,108,122.98755520503258,123.00220785818102
108,2020-05-09,122,2,60.52116000944321,61.50112835843136,True,109,122.99010170864496,123.00220785818102
109,2020-05-10,122,2,60.52116000944321,61.50112835843136,True,110,122.99220715892575,123.00220785818102
110,2020-05-11,122,1,60.52116000944321,61.50112835843136,True,111,122.99394793471744,123.00220785818102
111,2020-05-12,122,1,60.52116000944321,61.50112835843136,True,112,122.99538719166385,123.00220785818102
112,2020-05-13,122,1,60.52116000944321,61.50112835843136,True,113,122.99657715035373,123.00220785818102
113,2020-05-14,122,1,60.52116000944321,61.50112835843136,True,114,122.99756098888503,123.00220785818102
114,2020-05-15,122,0,60.52116000944321,61.50112835843136,True,115,122.99837440812433,123.00220785818102
115,2020-05-16,122,0,60.52116000944321,61.50112835843136,True,116,122.99904692618807,123.00220785818102
116,2020-05-17,122,0,60.52116000944321,61.50112835843136,True,117,122.99960294893464,123.00220785818102
117,2020-05-18,122,0,60.52116000944321,61.50112835843136,True,118,123.00006265518856,123.00220785818102
118,2020-05-19,122,0,60.52116000944321,61.50112835843136,True,119,123.00044272873575,123.00220785818102
119,2020-05-20,122,0,60.52116000944321,61.50112835843136,True,120,123.00075696359588,123.00220785818102
120,2020-05-21,123,1,60.52116000944321,61.50112835843136,True,121,123.00101676449893,123.00220785818102
121,2020-05-22,123,1,60.52116000944321,61.50112835843136,True,122,123.0012315607014,123.00220785818102
122,2020-05-23,124,2,60.52116000944321,61.50112835843136,True,123,123.00140914814327,123.00220785818102
123,2020-05-24,124,2,60.52116000944321,61.50112835843136,True,124,123.0015559723502,123.00220785818102
124,2020-05-25,124,2,60.52116000944321,61.50112835843136,True,125,123.00167736234074,123.00220785818102
125,2020-05-26,124,2,60.52116000944321,61.50112835843136,True,126,123.00177772402188,123.00220785818102
126,2020-05-27,124,2,60.52116000944321,61.50112835843136,True,127,123.00186070008813,123.00220785818102
127,2020-05-28,124,2,60.52116000944321,61.50112835843136,True,128,123.00192930222504,123.00220785818102
