,Report_Date,Cambodia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,60.52116000944321,61.50112835843136,True,1,0.0014877280784083905,123.00220785818102
1,2020-01-23,0,0,60.52116000944321,61.50112835843136,True,2,0.001799443405370536,123.00220785818102
2,2020-01-24,0,0,60.52116000944321,61.50112835843136,True,3,0.0021764695422420983,123.00220785818102
3,2020-01-25,0,0,60.52116000944321,61.50112835843136,True,4,0.0026324899198627498,123.00220785818102
4,2020-01-26,0,0,60.52116000944321,61.50112835843136,True,5,0.0031840545711481426,123.00220785818102
5,2020-01-27,1,1,60.52116000944321,61.50112835843136,True,6,0.003851180553498192,123.00220785818102
6,2020-01-28,1,1,60.52116000944321,61.50112835843136,True,7,0.004658078079236443,123.00220785818102
7,2020-01-29,1,1,60.52116000944321,61.50112835843136,True,8,0.005634028648490715,123.00220785818102
8,2020-01-30,1,1,60.52116000944321,61.50112835843136,True,9,0.006814446967559113,123.00220785818102
9,2020-01-31,1,1,60.52116000944321,61.50112835843136,True,10,0.008242165064850522,123.00220785818102
10,2020-02-01,1,1,60.52116000944321,61.50112835843136,True,11,0.009968985020448776,123.00220785818102
11,2020-02-02,1,1,60.52116000944321,61.50112835843136,True,12,0.012057556385809846,123.00220785818102
12,2020-02-03,1,1,60.52116000944321,61.50112835843136,True,13,0.014583646024644842,123.00220785818102
13,2020-02-04,1,1,60.52116000944321,61.50112835843136,True,14,0.01763888215859786,123.00220785818102
14,2020-02-05,1,1,60.52116000944321,61.50112835843136,True,15,0.02133407133405145,123.00220785818102
15,2020-02-06,1,1,60.52116000944321,61.50112835843136,True,16,0.025803207413102606,123.00220785818102
16,2020-02-07,1,1,60.52116000944321,61.50112835843136,True,17,0.03120831621282894,123.00220785818102
17,2020-02-08,1,1,60.52116000944321,61.50112835843136,True,18,0.03774530887539933,123.00220785818102
18,2020-02-09,1,1,60.52116000944321,61.50112835843136,True,19,0.045651052389512024,123.00220785818102
19,2020-02-10,1,1,60.52116000944321,61.50112835843136,True,20,0.055211907998177934,123.00220785818102
20,2020-02-11,1,1,60.52116000944321,61.50112835843136,True,21,0.06677403878418334,123.00220785818102
21,2020-02-12,1,0,60.52116000944321,61.50112835843136,True,22,0.08075584796295478,123.00220785818102
22,2020-02-13,1,0,60.52116000944321,61.50112835843136,True,23,0.09766298094426369,123.00220785818102
23,2020-02-14,1,0,60.52116000944321,61.50112835843136,True,24,0.11810640880813932,123.00220785818102
24,2020-02-15,1,0,60.52116000944321,61.50112835843136,True,25,0.1428242103285399,123.00220785818102
25,2020-02-16,1,0,60.52116000944321,61.50112835843136,True,26,0.17270778591234615,123.00220785818102
26,2020-02-17,1,0,60.52116000944321,61.50112835843136,True,27,0.20883337145335606,123.00220785818102
27,2020-02-18,1,0,60.52116000944321,61.50112835843136,True,28,0.2524998743017443,123.00220785818102
28,2020-02-19,1,0,60.52116000944321,61.50112835843136,True,29,0.3052742275476113,123.00220785818102
29,2020-02-20,1,0,60.52116000944321,61.50112835843136,True,30,0.36904565119450794,123.00220785818102
30,2020-02-21,1,0,60.52116000944321,61.50112835843136,True,31,0.4460904154336175,123.00220785818102
31,2020-02-22,1,0,60.52116000944321,61.50112835843136,True,32,0.5391489137440202,123.00220785818102
32,2020-02-23,1,0,60.52116000944321,61.50112835843136,True,33,0.6515170570655298,123.00220785818102
33,2020-02-24,1,0,60.52116000944321,61.50112835843136,True,34,0.78715417027657,123.00220785818102
34,2020-02-25,1,0,60.52116000944321,61.50112835843136,True,35,0.9508096700550419,123.00220785818102
35,2020-02-26,1,0,60.52116000944321,61.50112835843136,True,36,1.1481707702920687,123.00220785818102
36,2020-02-27,1,0,60.52116000944321,61.50112835843136,True,37,1.3860332111638576,123.00220785818102
37,2020-02-28,1,0,60.52116000944321,61.50112835843136,True,38,1.6724964167975491,123.00220785818102
38,2020-02-29,1,0,60.52116000944321,61.50112835843136,True,39,2.01718338124097,123.00220785818102
39,2020-03-01,1,0,60.52116000944321,61.50112835843136,True,40,2.431483729160677,123.00220785818102
40,2020-03-02,1,0,60.52116000944321,61.50112835843136,True,41,2.9288154913361746,123.00220785818102
