,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.66614147699372,26.025478410894465,True,1,0.0006202493003926523,51.03400943300771
1,2020-01-23,0,65.66614147699372,26.025478410894465,True,2,0.0007391082199896128,51.03400943300771
2,2020-01-24,0,65.66614147699372,26.025478410894465,True,3,0.0008807437936002759,51.03400943300771
3,2020-01-25,0,65.66614147699372,26.025478410894465,True,4,0.0010495204957690673,51.03400943300771
4,2020-01-26,0,65.66614147699372,26.025478410894465,True,5,0.001250639055991916,51.03400943300771
5,2020-01-27,0,65.66614147699372,26.025478410894465,True,6,0.0014902966607592118,51.03400943300771
6,2020-01-28,0,65.66614147699372,26.025478410894465,True,7,0.00177587783364426,51.03400943300771
7,2020-01-29,0,65.66614147699372,26.025478410894465,True,8,0.0021161818631231155,51.03400943300771
8,2020-01-30,0,65.66614147699372,26.025478410894465,True,9,0.0025216937687535666,51.03400943300771
9,2020-01-31,0,65.66614147699372,26.025478410894465,True,10,0.003004907130461433,51.03400943300771
10,2020-02-01,0,65.66614147699372,26.025478410894465,True,11,0.003580708693148671,51.03400943300771
11,2020-02-02,0,65.66614147699372,26.025478410894465,True,12,0.004266836547228,51.03400943300771
12,2020-02-03,0,65.66614147699372,26.025478410894465,True,13,0.005084425931290724,51.03400943300771
13,2020-02-04,0,65.66614147699372,26.025478410894465,True,14,0.006058659372424912,51.03400943300771
14,2020-02-05,0,65.66614147699372,26.025478410894465,True,15,0.007219541051139701,51.03400943300771
15,2020-02-06,0,65.66614147699372,26.025478410894465,True,16,0.008602819043703427,51.03400943300771
16,2020-02-07,0,65.66614147699372,26.025478410894465,True,17,0.010251083563289295,51.03400943300771
17,2020-02-08,0,65.66614147699372,26.025478410894465,True,18,0.012215074619385246,51.03400943300771
18,2020-02-09,0,65.66614147699372,26.025478410894465,True,19,0.014555238790183335,51.03400943300771
19,2020-02-10,0,65.66614147699372,26.025478410894465,True,20,0.017343582226455646,51.03400943300771
20,2020-02-11,0,65.66614147699372,26.025478410894465,True,21,0.020665875775280458,51.03400943300771
21,2020-02-12,0,65.66614147699372,26.025478410894465,True,22,0.02462427845389461,51.03400943300771
22,2020-02-13,0,65.66614147699372,26.025478410894465,True,23,0.029340457673933857,51.03400943300771
23,2020-02-14,0,65.66614147699372,26.025478410894465,True,24,0.03495929890069652,51.03400943300771
24,2020-02-15,0,65.66614147699372,26.025478410894465,True,25,0.041653314145532035,51.03400943300771
25,2020-02-16,0,65.66614147699372,26.025478410894465,True,26,0.049627878169701704,51.03400943300771
26,2020-02-17,0,65.66614147699372,26.025478410894465,True,27,0.05912744387495143,51.03400943300771
27,2020-02-18,0,65.66614147699372,26.025478410894465,True,28,0.07044291441267574,51.03400943300771
28,2020-02-19,0,65.66614147699372,26.025478410894465,True,29,0.08392037936530249,51.03400943300771
29,2020-02-20,0,65.66614147699372,26.025478410894465,True,30,0.09997145615952921,51.03400943300771
30,2020-02-21,0,65.66614147699372,26.025478410894465,True,31,0.11908551572065273,51.03400943300771
31,2020-02-22,0,65.66614147699372,26.025478410894465,True,32,0.14184411306089464,51.03400943300771
32,2020-02-23,0,65.66614147699372,26.025478410894465,True,33,0.16893798837510016,51.03400943300771
33,2020-02-24,0,65.66614147699372,26.025478410894465,True,34,0.20118705100232145,51.03400943300771
34,2020-02-25,0,65.66614147699372,26.025478410894465,True,35,0.23956380503437785,51.03400943300771
35,2020-02-26,0,65.66614147699372,26.025478410894465,True,36,0.2852207177262507,51.03400943300771
36,2020-02-27,0,65.66614147699372,26.025478410894465,True,37,0.339522064477366,51.03400943300771
37,2020-02-28,0,65.66614147699372,26.025478410894465,True,38,0.4040807984625246,51.03400943300771
38,2020-02-29,0,65.66614147699372,26.025478410894465,True,39,0.4808009765593765,51.03400943300771
39,2020-03-01,0,65.66614147699372,26.025478410894465,True,40,0.571926208375329,51.03400943300771
