,Report_Date,Australia_tasmania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.69232590892953,130.16071647231374,True,1,0.024314489259136658,244.13718303684107
1,2020-01-23,0,80.69232590892953,130.16071647231374,True,2,0.027316475422984415,244.13718303684107
2,2020-01-24,0,80.69232590892953,130.16071647231374,True,3,0.030689057831954428,244.13718303684107
3,2020-01-25,0,80.69232590892953,130.16071647231374,True,4,0.034477975266336856,244.13718303684107
4,2020-01-26,0,80.69232590892953,130.16071647231374,True,5,0.03873460855766754,244.13718303684107
5,2020-01-27,0,80.69232590892953,130.16071647231374,True,6,0.04351667576970457,244.13718303684107
6,2020-01-28,0,80.69232590892953,130.16071647231374,True,7,0.0488890128291481,244.13718303684107
7,2020-01-29,0,80.69232590892953,130.16071647231374,True,8,0.05492445005519414,244.13718303684107
8,2020-01-30,0,80.69232590892953,130.16071647231374,True,9,0.0617047963005355,244.13718303684107
9,2020-01-31,0,80.69232590892953,130.16071647231374,True,10,0.06932194382898141,244.13718303684107
10,2020-02-01,0,80.69232590892953,130.16071647231374,True,11,0.07787910863304193,244.13718303684107
11,2020-02-02,0,80.69232590892953,130.16071647231374,True,12,0.08749222265676994,244.13718303684107
12,2020-02-03,0,80.69232590892953,130.16071647231374,True,13,0.09829149635467065,244.13718303684107
13,2020-02-04,0,80.69232590892953,130.16071647231374,True,14,0.11042317220807084,244.13718303684107
14,2020-02-05,0,80.69232590892953,130.16071647231374,True,15,0.12405149225919232,244.13718303684107
15,2020-02-06,0,80.69232590892953,130.16071647231374,True,16,0.13936090543517501,244.13718303684107
16,2020-02-07,0,80.69232590892953,130.16071647231374,True,17,0.156558543445908,244.13718303684107
17,2020-02-08,0,80.69232590892953,130.16071647231374,True,18,0.17587699737860477,244.13718303684107
18,2020-02-09,0,80.69232590892953,130.16071647231374,True,19,0.19757743080753953,244.13718303684107
19,2020-02-10,0,80.69232590892953,130.16071647231374,True,20,0.2219530693188035,244.13718303684107
20,2020-02-11,0,80.69232590892953,130.16071647231374,True,21,0.2493331108468532,244.13718303684107
21,2020-02-12,0,80.69232590892953,130.16071647231374,True,22,0.28008710616051324,244.13718303684107
