,Report_Date,Venezuela_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.46077419345276,92.46197024238195,True,1,0.002210825672509576,183.01193242953636
1,2020-01-23,0,64.46077419345276,92.46197024238195,True,2,0.002643139200873283,183.01193242953636
2,2020-01-24,0,64.46077419345276,92.46197024238195,True,3,0.0031599875686063304,183.01193242953636
3,2020-01-25,0,64.46077419345276,92.46197024238195,True,4,0.003777900147293194,183.01193242953636
4,2020-01-26,0,64.46077419345276,92.46197024238195,True,5,0.004516638083948307,183.01193242953636
5,2020-01-27,0,64.46077419345276,92.46197024238195,True,6,0.005399826054190208,183.01193242953636
6,2020-01-28,0,64.46077419345276,92.46197024238195,True,7,0.006455707462567116,183.01193242953636
7,2020-01-29,0,64.46077419345276,92.46197024238195,True,8,0.007718047191040731,183.01193242953636
8,2020-01-30,0,64.46077419345276,92.46197024238195,True,9,0.00922721069290762,183.01193242953636
9,2020-01-31,0,64.46077419345276,92.46197024238195,True,10,0.011031453836927881,183.01193242953636
10,2020-02-01,0,64.46077419345276,92.46197024238195,True,11,0.013188464600269244,183.01193242953636
11,2020-02-02,0,64.46077419345276,92.46197024238195,True,12,0.0157672056971284,183.01193242953636
12,2020-02-03,0,64.46077419345276,92.46197024238195,True,13,0.01885011675944325,183.01193242953636
13,2020-02-04,0,64.46077419345276,92.46197024238195,True,14,0.02253574604944968,183.01193242953636
14,2020-02-05,0,64.46077419345276,92.46197024238195,True,15,0.02694189522683473,183.01193242953636
15,2020-02-06,0,64.46077419345276,92.46197024238195,True,16,0.032209376823957504,183.01193242953636
16,2020-02-07,0,64.46077419345276,92.46197024238195,True,17,0.03850650328113543,183.01193242953636
17,2020-02-08,0,64.46077419345276,92.46197024238195,True,18,0.04603444922321378,183.01193242953636
18,2020-02-09,0,64.46077419345276,92.46197024238195,True,19,0.05503365577569858,183.01193242953636
19,2020-02-10,0,64.46077419345276,92.46197024238195,True,20,0.06579147788676186,183.01193242953636
20,2020-02-11,0,64.46077419345276,92.46197024238195,True,21,0.07865131372067782,183.01193242953636
21,2020-02-12,0,64.46077419345276,92.46197024238195,True,22,0.09402350022540035,183.01193242953636
22,2020-02-13,0,64.46077419345276,92.46197024238195,True,23,0.11239831209057499,183.01193242953636
23,2020-02-14,0,64.46077419345276,92.46197024238195,True,24,0.13436146377103597,183.01193242953636
24,2020-02-15,0,64.46077419345276,92.46197024238195,True,25,0.1606125874404278,183.01193242953636
25,2020-02-16,0,64.46077419345276,92.46197024238195,True,26,0.1919872451305936,183.01193242953636
26,2020-02-17,0,64.46077419345276,92.46197024238195,True,27,0.22948313239964063,183.01193242953636
27,2020-02-18,0,64.46077419345276,92.46197024238195,True,28,0.27429124507023783,183.01193242953636
28,2020-02-19,0,64.46077419345276,92.46197024238195,True,29,0.3278329110572722,183.01193242953636
29,2020-02-20,0,64.46077419345276,92.46197024238195,True,30,0.391803736719415,183.01193242953636
30,2020-02-21,0,64.46077419345276,92.46197024238195,True,31,0.4682256812782612,183.01193242953636
31,2020-02-22,0,64.46077419345276,92.46197024238195,True,32,0.5595086519205912,183.01193242953636
32,2020-02-23,0,64.46077419345276,92.46197024238195,True,33,0.6685232021683983,183.01193242953636
33,2020-02-24,0,64.46077419345276,92.46197024238195,True,34,0.7986861093564708,183.01193242953636
34,2020-02-25,0,64.46077419345276,92.46197024238195,True,35,0.9540607907389316,183.01193242953636
35,2020-02-26,0,64.46077419345276,92.46197024238195,True,36,1.1394746713933912,183.01193242953636
36,2020-02-27,0,64.46077419345276,92.46197024238195,True,37,1.3606557094504648,183.01193242953636
