,Report_Date,Venezuela_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,0,64.46077419345276,92.46197024238195,True,38,1.6243902689674021,183.01193242953636
38,2020-02-29,0,64.46077419345276,92.46197024238195,True,39,1.9387043412223406,183.01193242953636
39,2020-03-01,0,64.46077419345276,92.46197024238195,True,40,2.3130696572977607,183.01193242953636
40,2020-03-02,0,64.46077419345276,92.46197024238195,True,41,2.758635379267937,183.01193242953636
41,2020-03-03,0,64.46077419345276,92.46197024238195,True,42,3.2884846309652325,183.01193242953636
42,2020-03-04,0,64.46077419345276,92.46197024238195,True,43,3.917912907311662,183.01193242953636
43,2020-03-05,0,64.46077419345276,92.46197024238195,True,44,4.664722102626444,183.01193242953636
44,2020-03-06,0,64.46077419345276,92.46197024238195,True,45,5.549519190219331,183.01193242953636
45,2020-03-07,0,64.46077419345276,92.46197024238195,True,46,6.596002103633316,183.01193242953636
46,2020-03-08,0,64.46077419345276,92.46197024238195,True,47,7.831206767890044,183.01193242953636
47,2020-03-09,0,64.46077419345276,92.46197024238195,True,48,9.285678274408538,183.01193242953636
48,2020-03-10,0,64.46077419345276,92.46197024238195,True,49,10.99351592953375,183.01193242953636
49,2020-03-11,0,64.46077419345276,92.46197024238195,True,50,12.992226904100278,183.01193242953636
50,2020-03-12,0,64.46077419345276,92.46197024238195,True,51,15.322307914956987,183.01193242953636
51,2020-03-13,0,64.46077419345276,92.46197024238195,True,52,18.02646152152361,183.01193242953636
52,2020-03-14,2,64.46077419345276,92.46197024238195,True,53,21.14834767420016,183.01193242953636
53,2020-03-15,10,64.46077419345276,92.46197024238195,True,54,24.730778479850308,183.01193242953636
54,2020-03-16,17,64.46077419345276,92.46197024238195,True,55,28.81329272286411,183.01193242953636
55,2020-03-17,33,64.46077419345276,92.46197024238195,True,56,33.42910475934234,183.01193242953636
56,2020-03-18,36,64.46077419345276,92.46197024238195,True,57,38.601515808451765,183.01193242953636
57,2020-03-19,42,64.46077419345276,92.46197024238195,True,58,44.34000351570503,183.01193242953636
58,2020-03-20,42,64.46077419345276,92.46197024238195,True,59,50.63635527655688,183.01193242953636
59,2020-03-21,70,64.46077419345276,92.46197024238195,True,60,57.461353794632636,183.01193242953636
60,2020-03-22,70,64.46077419345276,92.46197024238195,True,61,64.76261616924658,183.01193242953636
61,2020-03-23,77,64.46077419345276,92.46197024238195,True,62,72.46418024466406,183.01193242953636
62,2020-03-24,84,64.46077419345276,92.46197024238195,True,63,80.46828455153945,183.01193242953636
63,2020-03-25,91,64.46077419345276,92.46197024238195,True,64,88.659494442713,183.01193242953636
64,2020-03-26,107,64.46077419345276,92.46197024238195,True,65,96.91093017355536,183.01193242953636
65,2020-03-27,107,64.46077419345276,92.46197024238195,True,66,105.09194436411133,183.01193242953636
66,2020-03-28,119,64.46077419345276,92.46197024238195,True,67,113.07629106537996,183.01193242953636
67,2020-03-29,119,64.46077419345276,92.46197024238195,True,68,120.7497212179012,183.01193242953636
68,2020-03-30,135,64.46077419345276,92.46197024238195,True,69,128.01606445978047,183.01193242953636
69,2020-03-31,135,64.46077419345276,92.46197024238195,True,70,134.80117451293447,183.01193242953636
70,2020-04-01,143,64.46077419345276,92.46197024238195,True,71,141.05452687611145,183.01193242953636
71,2020-04-02,146,64.46077419345276,92.46197024238195,True,72,146.74864909546707,183.01193242953636
72,2020-04-03,153,64.46077419345276,92.46197024238195,True,73,151.87684699526258,183.01193242953636
73,2020-04-04,155,64.46077419345276,92.46197024238195,True,74,156.4498258846705,183.01193242953636
74,2020-04-05,159,64.46077419345276,92.46197024238195,True,75,160.49180374132703,183.01193242953636
75,2020-04-06,165,64.46077419345276,92.46197024238195,True,76,164.03661480058423,183.01193242953636
76,2020-04-07,165,64.46077419345276,92.46197024238195,True,77,167.12415706771503,183.01193242953636
77,2020-04-08,167,64.46077419345276,92.46197024238195,True,78,169.79738855477086,183.01193242953636
78,2020-04-09,171,64.46077419345276,92.46197024238195,True,79,172.09995162125833,183.01193242953636
79,2020-04-10,171,64.46077419345276,92.46197024238195,True,80,174.07441424936252,183.01193242953636
