,Report_Date,Canada_saskatchewan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,91.00229727598403,345.9422816939949,True,1,1.675136370383152,663.2933672622112
1,2020-01-23,0,0,91.00229727598403,345.9422816939949,True,2,1.7907356046469047,663.2933672622112
2,2020-01-24,0,0,91.00229727598403,345.9422816939949,True,3,1.9142900839412031,663.2933672622112
3,2020-01-25,0,0,91.00229727598403,345.9422816939949,True,4,2.046344110410272,663.2933672622112
4,2020-01-26,0,0,91.00229727598403,345.9422816939949,True,5,2.1874787771906163,663.2933672622112
5,2020-01-27,0,0,91.00229727598403,345.9422816939949,True,6,2.338314390905696,663.2933672622112
6,2020-01-28,0,0,91.00229727598403,345.9422816939949,True,7,2.4995130444433324,663.2933672622112
7,2020-01-29,0,0,91.00229727598403,345.9422816939949,True,8,2.671781347995807,663.2933672622112
8,2020-01-30,0,0,91.00229727598403,345.9422816939949,True,9,2.8558733265622487,663.2933672622112
9,2020-01-31,0,0,91.00229727598403,345.9422816939949,True,10,3.052593492303162,663.2933672622112
10,2020-02-01,0,0,91.00229727598403,345.9422816939949,True,11,3.2628001002899545,663.2933672622112
11,2020-02-02,0,0,91.00229727598403,345.9422816939949,True,12,3.487408596299145,663.2933672622112
12,2020-02-03,0,0,91.00229727598403,345.9422816939949,True,13,3.7273952653511624,663.2933672622112
13,2020-02-04,0,0,91.00229727598403,345.9422816939949,True,14,3.9838010896753575,663.2933672622112
14,2020-02-05,0,0,91.00229727598403,345.9422816939949,True,15,4.2577358246823485,663.2933672622112
15,2020-02-06,0,0,91.00229727598403,345.9422816939949,True,16,4.550382301326626,663.2933672622112
16,2020-02-07,0,0,91.00229727598403,345.9422816939949,True,17,4.86300096292857,663.2933672622112
17,2020-02-08,0,0,91.00229727598403,345.9422816939949,True,18,5.1969346440756805,663.2933672622112
18,2020-02-09,0,0,91.00229727598403,345.9422816939949,True,19,5.55361359861518,663.2933672622112
19,2020-02-10,0,0,91.00229727598403,345.9422816939949,True,20,5.934560782958565,663.2933672622112
20,2020-02-11,0,0,91.00229727598403,345.9422816939949,True,21,6.341397399914446,663.2933672622112
21,2020-02-12,0,0,91.00229727598403,345.9422816939949,True,22,6.775848707017147,663.2933672622112
22,2020-02-13,0,0,91.00229727598403,345.9422816939949,True,23,7.239750091789103,663.2933672622112
23,2020-02-14,0,0,91.00229727598403,345.9422816939949,True,24,7.73505341452553,663.2933672622112
24,2020-02-15,0,0,91.00229727598403,345.9422816939949,True,25,8.263833616976397,663.2933672622112
25,2020-02-16,0,0,91.00229727598403,345.9422816939949,True,26,8.828295592675188,663.2933672622112
26,2020-02-17,0,0,91.00229727598403,345.9422816939949,True,27,9.430781311573696,663.2933672622112
27,2020-02-18,0,0,91.00229727598403,345.9422816939949,True,28,10.073777188030133,663.2933672622112
28,2020-02-19,0,0,91.00229727598403,345.9422816939949,True,29,10.759921677002305,663.2933672622112
29,2020-02-20,0,0,91.00229727598403,345.9422816939949,True,30,11.492013078452448,663.2933672622112
30,2020-02-21,0,0,91.00229727598403,345.9422816939949,True,31,12.273017524405526,663.2933672622112
31,2020-02-22,0,0,91.00229727598403,345.9422816939949,True,32,13.106077116744347,663.2933672622112
32,2020-02-23,0,0,91.00229727598403,345.9422816939949,True,33,13.994518176596328,663.2933672622112
33,2020-02-24,0,0,91.00229727598403,345.9422816939949,True,34,14.941859557989982,663.2933672622112
34,2020-02-25,0,0,91.00229727598403,345.9422816939949,True,35,15.951820969255044,663.2933672622112
35,2020-02-26,0,0,91.00229727598403,345.9422816939949,True,36,17.028331235332086,663.2933672622112
36,2020-02-27,0,0,91.00229727598403,345.9422816939949,True,37,18.1755364226723,663.2933672622112
37,2020-02-28,0,0,91.00229727598403,345.9422816939949,True,38,19.397807735679788,663.2933672622112
38,2020-02-29,0,0,91.00229727598403,345.9422816939949,True,39,20.69974907962183,663.2933672622112
39,2020-03-01,0,0,91.00229727598403,345.9422816939949,True,40,22.08620416956874,663.2933672622112
40,2020-03-02,0,0,91.00229727598403,345.9422816939949,True,41,23.562263048203665,663.2933672622112
41,2020-03-03,0,0,91.00229727598403,345.9422816939949,True,42,25.133267857274227,663.2933672622112
42,2020-03-04,0,0,91.00229727598403,345.9422816939949,True,43,26.804817688086246,663.2933672622112
43,2020-03-05,0,0,91.00229727598403,345.9422816939949,True,44,28.582772315851866,663.2933672622112
44,2020-03-06,0,0,91.00229727598403,345.9422816939949,True,45,30.47325460104382,663.2933672622112
45,2020-03-07,0,0,91.00229727598403,345.9422816939949,True,46,32.48265131838045,663.2933672622112
46,2020-03-08,0,0,91.00229727598403,345.9422816939949,True,47,34.617612150957946,663.2933672622112
47,2020-03-09,0,0,91.00229727598403,345.9422816939949,True,48,36.885046563731755,663.2933672622112
48,2020-03-10,0,0,91.00229727598403,345.9422816939949,True,49,39.29211824750955,663.2933672622112
49,2020-03-11,0,0,91.00229727598403,345.9422816939949,True,50,41.84623680245071,663.2933672622112
50,2020-03-12,0,0,91.00229727598403,345.9422816939949,True,51,44.555046309503474,663.2933672622112
51,2020-03-13,2,2,91.00229727598403,345.9422816939949,True,52,47.42641042012688,663.2933672622112
52,2020-03-14,2,2,91.00229727598403,345.9422816939949,True,53,50.46839358006828,663.2933672622112
53,2020-03-15,2,2,91.00229727598403,345.9422816939949,True,54,53.68923799309417,663.2933672622112
54,2020-03-16,7,7,91.00229727598403,345.9422816939949,True,55,57.097335926752535,663.2933672622112
55,2020-03-17,7,7,91.00229727598403,345.9422816939949,True,56,60.70119696599521,663.2933672622112
56,2020-03-18,8,8,91.00229727598403,345.9422816939949,True,57,64.50940983346267,663.2933672622112
57,2020-03-19,16,16,91.00229727598403,345.9422816939949,True,58,68.53059841920523,663.2933672622112
