,Report_Date,Oman_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,146.50736318679776,17990.11808551586,False,1,5.840461674809204,35980.236171031735
1,2020-01-23,0,0,146.50736318679776,17990.11808551586,False,2,6.201353602100829,35980.236171031735
2,2020-01-24,0,0,146.50736318679776,17990.11808551586,False,3,6.584541565481034,35980.236171031735
3,2020-01-25,0,0,146.50736318679776,17990.11808551586,False,4,6.991402502266629,35980.236171031735
4,2020-01-26,0,0,146.50736318679776,17990.11808551586,False,5,7.42339831910979,35980.236171031735
5,2020-01-27,0,0,146.50736318679776,17990.11808551586,False,6,7.882081126925444,35980.236171031735
6,2020-01-28,0,0,146.50736318679776,17990.11808551586,False,7,8.369098797264893,35980.236171031735
7,2020-01-29,0,0,146.50736318679776,17990.11808551586,False,8,8.886200859736675,35980.236171031735
8,2020-01-30,0,0,146.50736318679776,17990.11808551586,False,9,9.435244761253228,35980.236171031735
9,2020-01-31,0,0,146.50736318679776,17990.11808551586,False,10,10.018202509128217,35980.236171031735
10,2020-02-01,0,0,146.50736318679776,17990.11808551586,False,11,10.637167721367714,35980.236171031735
11,2020-02-02,0,0,146.50736318679776,17990.11808551586,False,12,11.294363108892792,35980.236171031735
12,2020-02-03,0,0,146.50736318679776,17990.11808551586,False,13,11.992148415905776,35980.236171031735
13,2020-02-04,0,0,146.50736318679776,17990.11808551586,False,14,12.733028846170827,35980.236171031735
14,2020-02-05,0,0,146.50736318679776,17990.11808551586,False,15,13.519664004627138,35980.236171031735
15,2020-02-06,0,0,146.50736318679776,17990.11808551586,False,16,14.354877385493163,35980.236171031735
16,2020-02-07,0,0,146.50736318679776,17990.11808551586,False,17,15.24166643985845,35980.236171031735
17,2020-02-08,0,0,146.50736318679776,17990.11808551586,False,18,16.18321325770029,35980.236171031735
18,2020-02-09,0,0,146.50736318679776,17990.11808551586,False,19,17.182895901310193,35980.236171031735
19,2020-02-10,0,0,146.50736318679776,17990.11808551586,False,20,18.24430042927604,35980.236171031735
20,2020-02-11,0,0,146.50736318679776,17990.11808551586,False,21,19.37123365244369,35980.236171031735
21,2020-02-12,0,0,146.50736318679776,17990.11808551586,False,22,20.567736665683075,35980.236171031735
22,2020-02-13,0,0,146.50736318679776,17990.11808551586,False,23,21.838099201813392,35980.236171031735
23,2020-02-14,0,0,146.50736318679776,17990.11808551586,False,24,23.186874856705163,35980.236171031735
24,2020-02-15,0,0,146.50736318679776,17990.11808551586,False,25,24.618897237379166,35980.236171031735
25,2020-02-16,0,0,146.50736318679776,17990.11808551586,False,26,26.139297087869437,35980.236171031735
26,2020-02-17,0,0,146.50736318679776,17990.11808551586,False,27,27.75352045071407,35980.236171031735
27,2020-02-18,0,0,146.50736318679776,17990.11808551586,False,28,29.46734792518968,35980.236171031735
28,2020-02-19,0,0,146.50736318679776,17990.11808551586,False,29,31.28691508681756,35980.236171031735
29,2020-02-20,0,0,146.50736318679776,17990.11808551586,False,30,33.21873413624631,35980.236171031735
30,2020-02-21,0,0,146.50736318679776,17990.11808551586,False,31,35.2697168493627,35980.236171031735
31,2020-02-22,0,0,146.50736318679776,17990.11808551586,False,32,37.44719890440225,35980.236171031735
32,2020-02-23,0,0,146.50736318679776,17990.11808551586,False,33,39.75896566592799,35980.236171031735
33,2020-02-24,2,2,146.50736318679776,17990.11808551586,False,34,42.213279509822726,35980.236171031735
34,2020-02-25,2,2,146.50736318679776,17990.11808551586,False,35,44.81890877789847,35980.236171031735
35,2020-02-26,4,4,146.50736318679776,17990.11808551586,False,36,47.58515845536812,35980.236171031735
36,2020-02-27,4,4,146.50736318679776,17990.11808551586,False,37,50.52190266924837,35980.236171031735
37,2020-02-28,4,4,146.50736318679776,17990.11808551586,False,38,53.639619110767605,35980.236171031735
38,2020-02-29,6,5,146.50736318679776,17990.11808551586,False,39,56.94942549003504,35980.236171031735
39,2020-03-01,6,5,146.50736318679776,17990.11808551586,False,40,60.46311813658343,35980.236171031735
40,2020-03-02,6,5,146.50736318679776,17990.11808551586,False,41,64.19321286491663,35980.236171031735
41,2020-03-03,12,10,146.50736318679776,17990.11808551586,False,42,68.15298822986988,35980.236171031735
42,2020-03-04,15,13,146.50736318679776,17990.11808551586,False,43,72.35653130240755,35980.236171031735
43,2020-03-05,16,14,146.50736318679776,17990.11808551586,False,44,76.81878610242514,35980.236171031735
44,2020-03-06,16,14,146.50736318679776,17990.11808551586,False,45,81.55560483117037,35980.236171031735
45,2020-03-07,16,14,146.50736318679776,17990.11808551586,False,46,86.58380205202327,35980.236171031735
46,2020-03-08,16,14,146.50736318679776,17990.11808551586,False,47,91.92121197455093,35980.236171031735
47,2020-03-09,16,14,146.50736318679776,17990.11808551586,False,48,97.5867490029396,35980.236171031735
48,2020-03-10,18,9,146.50736318679776,17990.11808551586,False,49,103.60047171606108,35980.236171031735
49,2020-03-11,18,9,146.50736318679776,17990.11808551586,False,50,109.98365045250492,35980.236171031735
50,2020-03-12,18,9,146.50736318679776,17990.11808551586,False,51,116.75883867983612,35980.236171031735
51,2020-03-13,19,10,146.50736318679776,17990.11808551586,False,52,123.9499483330564,35980.236171031735
52,2020-03-14,19,10,146.50736318679776,17990.11808551586,False,53,131.58232931267122,35980.236171031735
53,2020-03-15,22,13,146.50736318679776,17990.11808551586,False,54,139.68285333779838,35980.236171031735
54,2020-03-16,22,13,146.50736318679776,17990.11808551586,False,55,148.28000235429778,35980.236171031735
55,2020-03-17,24,15,146.50736318679776,17990.11808551586,False,56,157.40396170182183,35980.236171031735
56,2020-03-18,39,27,146.50736318679776,17990.11808551586,False,57,167.08671824684825,35980.236171031735
57,2020-03-19,48,36,146.50736318679776,17990.11808551586,False,58,177.36216369099856,35980.236171031735
58,2020-03-20,48,36,146.50736318679776,17990.11808551586,False,59,188.2662032650827,35980.236171031735
59,2020-03-21,52,40,146.50736318679776,17990.11808551586,False,60,199.8368700191372,35980.236171031735
60,2020-03-22,55,38,146.50736318679776,17990.11808551586,False,61,212.11444491700902,35980.236171031735
61,2020-03-23,66,49,146.50736318679776,17990.11808551586,False,62,225.14158294051126,35980.236171031735
62,2020-03-24,84,67,146.50736318679776,17990.11808551586,False,63,238.96344540255217,35980.236171031735
63,2020-03-25,99,82,146.50736318679776,17990.11808551586,False,64,253.62783866057947,35980.236171031735
64,2020-03-26,109,86,146.50736318679776,17990.11808551586,False,65,269.18535941081444,35980.236171031735
65,2020-03-27,131,108,146.50736318679776,17990.11808551586,False,66,285.68954672967317,35980.236171031735
66,2020-03-28,152,129,146.50736318679776,17990.11808551586,False,67,303.1970410110145,35980.236171031735
67,2020-03-29,167,144,146.50736318679776,17990.11808551586,False,68,321.7677499259143,35980.236171031735
68,2020-03-30,179,150,146.50736318679776,17990.11808551586,False,69,341.46502150498554,35980.236171031735
69,2020-03-31,192,157,146.50736318679776,17990.11808551586,False,70,362.3558244112105,35980.236171031735
70,2020-04-01,210,175,146.50736318679776,17990.11808551586,False,71,384.51093543317126,35980.236171031735
71,2020-04-02,231,173,146.50736318679776,17990.11808551586,False,72,408.0051341836802,35980.236171031735
72,2020-04-03,252,194,146.50736318679776,17990.11808551586,False,73,432.9174049363511,35980.236171031735
73,2020-04-04,277,214,146.50736318679776,17990.11808551586,False,74,459.331145471706,35980.236171031735
74,2020-04-05,298,235,146.50736318679776,17990.11808551586,False,75,487.3343827340471,35980.236171031735
75,2020-04-06,331,268,146.50736318679776,17990.11808551586,False,76,517.0199950195146,35980.236171031735
76,2020-04-07,371,302,146.50736318679776,17990.11808551586,False,77,548.4859403234037,35980.236171031735
77,2020-04-08,419,345,146.50736318679776,17990.11808551586,False,78,581.8354903697827,35980.236171031735
78,2020-04-09,457,345,146.50736318679776,17990.11808551586,False,79,617.1774697274811,35980.236171031735
79,2020-04-10,484,372,146.50736318679776,17990.11808551586,False,80,654.6264992823735,35980.236171031735
80,2020-04-11,546,434,146.50736318679776,17990.11808551586,False,81,694.3032431851952,35980.236171031735
81,2020-04-12,599,486,146.50736318679776,17990.11808551586,False,82,736.3346582255593,35980.236171031735
82,2020-04-13,727,599,146.50736318679776,17990.11808551586,False,83,780.8542443950183,35980.236171031735
83,2020-04-14,813,679,146.50736318679776,17990.11808551586,False,84,828.0022951935708,35980.236171031735
84,2020-04-15,910,775,146.50736318679776,17990.11808551586,False,85,877.9261460036116,35980.236171031735
85,2020-04-16,1019,839,146.50736318679776,17990.11808551586,False,86,930.7804186017376,35980.236171031735
86,2020-04-17,1069,887,146.50736318679776,17990.11808551586,False,87,986.7272596009265,35980.236171031735
