,Report_Date,South Africa_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,0.009322708958623948,1963.7307072511333,True,1,3927.4614145022606,3927.4614145022665
1,2020-01-23,0,0,0.009322708958623948,1963.7307072511333,True,2,3927.4614145022665,3927.4614145022665
2,2020-01-24,0,0,0.009322708958623948,1963.7307072511333,True,3,3927.4614145022665,3927.4614145022665
3,2020-01-25,0,0,0.009322708958623948,1963.7307072511333,True,4,3927.4614145022665,3927.4614145022665
4,2020-01-26,0,0,0.009322708958623948,1963.7307072511333,True,5,3927.4614145022665,3927.4614145022665
5,2020-01-27,0,0,0.009322708958623948,1963.7307072511333,True,6,3927.4614145022665,3927.4614145022665
6,2020-01-28,0,0,0.009322708958623948,1963.7307072511333,True,7,3927.4614145022665,3927.4614145022665
7,2020-01-29,0,0,0.009322708958623948,1963.7307072511333,True,8,3927.4614145022665,3927.4614145022665
8,2020-01-30,0,0,0.009322708958623948,1963.7307072511333,True,9,3927.4614145022665,3927.4614145022665
9,2020-01-31,0,0,0.009322708958623948,1963.7307072511333,True,10,3927.4614145022665,3927.4614145022665
10,2020-02-01,0,0,0.009322708958623948,1963.7307072511333,True,11,3927.4614145022665,3927.4614145022665
11,2020-02-02,0,0,0.009322708958623948,1963.7307072511333,True,12,3927.4614145022665,3927.4614145022665
12,2020-02-03,0,0,0.009322708958623948,1963.7307072511333,True,13,3927.4614145022665,3927.4614145022665
13,2020-02-04,0,0,0.009322708958623948,1963.7307072511333,True,14,3927.4614145022665,3927.4614145022665
14,2020-02-05,0,0,0.009322708958623948,1963.7307072511333,True,15,3927.4614145022665,3927.4614145022665
15,2020-02-06,0,0,0.009322708958623948,1963.7307072511333,True,16,3927.4614145022665,3927.4614145022665
16,2020-02-07,0,0,0.009322708958623948,1963.7307072511333,True,17,3927.4614145022665,3927.4614145022665
17,2020-02-08,0,0,0.009322708958623948,1963.7307072511333,True,18,3927.4614145022665,3927.4614145022665
18,2020-02-09,0,0,0.009322708958623948,1963.7307072511333,True,19,3927.4614145022665,3927.4614145022665
19,2020-02-10,0,0,0.009322708958623948,1963.7307072511333,True,20,3927.4614145022665,3927.4614145022665
20,2020-02-11,0,0,0.009322708958623948,1963.7307072511333,True,21,3927.4614145022665,3927.4614145022665
21,2020-02-12,0,0,0.009322708958623948,1963.7307072511333,True,22,3927.4614145022665,3927.4614145022665
22,2020-02-13,0,0,0.009322708958623948,1963.7307072511333,True,23,3927.4614145022665,3927.4614145022665
23,2020-02-14,0,0,0.009322708958623948,1963.7307072511333,True,24,3927.4614145022665,3927.4614145022665
24,2020-02-15,0,0,0.009322708958623948,1963.7307072511333,True,25,3927.4614145022665,3927.4614145022665
25,2020-02-16,0,0,0.009322708958623948,1963.7307072511333,True,26,3927.4614145022665,3927.4614145022665
26,2020-02-17,0,0,0.009322708958623948,1963.7307072511333,True,27,3927.4614145022665,3927.4614145022665
27,2020-02-18,0,0,0.009322708958623948,1963.7307072511333,True,28,3927.4614145022665,3927.4614145022665
28,2020-02-19,0,0,0.009322708958623948,1963.7307072511333,True,29,3927.4614145022665,3927.4614145022665
29,2020-02-20,0,0,0.009322708958623948,1963.7307072511333,True,30,3927.4614145022665,3927.4614145022665
30,2020-02-21,0,0,0.009322708958623948,1963.7307072511333,True,31,3927.4614145022665,3927.4614145022665
31,2020-02-22,0,0,0.009322708958623948,1963.7307072511333,True,32,3927.4614145022665,3927.4614145022665
32,2020-02-23,0,0,0.009322708958623948,1963.7307072511333,True,33,3927.4614145022665,3927.4614145022665
33,2020-02-24,0,0,0.009322708958623948,1963.7307072511333,True,34,3927.4614145022665,3927.4614145022665
34,2020-02-25,0,0,0.009322708958623948,1963.7307072511333,True,35,3927.4614145022665,3927.4614145022665
35,2020-02-26,0,0,0.009322708958623948,1963.7307072511333,True,36,3927.4614145022665,3927.4614145022665
36,2020-02-27,0,0,0.009322708958623948,1963.7307072511333,True,37,3927.4614145022665,3927.4614145022665
37,2020-02-28,0,0,0.009322708958623948,1963.7307072511333,True,38,3927.4614145022665,3927.4614145022665
38,2020-02-29,0,0,0.009322708958623948,1963.7307072511333,True,39,3927.4614145022665,3927.4614145022665
39,2020-03-01,0,0,0.009322708958623948,1963.7307072511333,True,40,3927.4614145022665,3927.4614145022665
40,2020-03-02,0,0,0.009322708958623948,1963.7307072511333,True,41,3927.4614145022665,3927.4614145022665
41,2020-03-03,0,0,0.009322708958623948,1963.7307072511333,True,42,3927.4614145022665,3927.4614145022665
42,2020-03-04,0,0,0.009322708958623948,1963.7307072511333,True,43,3927.4614145022665,3927.4614145022665
43,2020-03-05,1,1,0.009322708958623948,1963.7307072511333,True,44,3927.4614145022665,3927.4614145022665
