,Report_Date,Canada_ontario_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.79040784629257,8980.604942807284,False,1,0.20581657063155906,17961.209885614568
1,2020-01-23,0,84.79040784629257,8980.604942807284,False,2,0.23574711714743798,17961.209885614568
2,2020-01-24,0,84.79040784629257,8980.604942807284,False,3,0.2700302002144066,17961.209885614568
3,2020-01-25,0,84.79040784629257,8980.604942807284,False,4,0.3092987505859767,17961.209885614568
4,2020-01-26,1,84.79040784629257,8980.604942807284,False,5,0.35427773123864,17961.209885614568
5,2020-01-27,1,84.79040784629257,8980.604942807284,False,6,0.40579751746471365,17961.209885614568
6,2020-01-28,1,84.79040784629257,8980.604942807284,False,7,0.4648092216082257,17961.209885614568
7,2020-01-29,1,84.79040784629257,8980.604942807284,False,8,0.53240224488194,17961.209885614568
8,2020-01-30,1,84.79040784629257,8980.604942807284,False,9,0.6098243796642904,17961.209885614568
9,2020-01-31,3,84.79040784629257,8980.604942807284,False,10,0.6985048325571406,17961.209885614568
10,2020-02-01,3,84.79040784629257,8980.604942807284,False,11,0.8000805921390611,17961.209885614568
11,2020-02-02,3,84.79040784629257,8980.604942807284,False,12,0.9164266267445857,17961.209885614568
12,2020-02-03,3,84.79040784629257,8980.604942807284,False,13,1.049690467844629,17961.209885614568
13,2020-02-04,3,84.79040784629257,8980.604942807284,False,14,1.2023318149590323,17961.209885614568
14,2020-02-05,3,84.79040784629257,8980.604942807284,False,15,1.3771678899368969,17961.209885614568
15,2020-02-06,3,84.79040784629257,8980.604942807284,False,16,1.5774253735308947,17961.209885614568
16,2020-02-07,3,84.79040784629257,8980.604942807284,False,17,1.8067998773296947,17961.209885614568
17,2020-02-08,3,84.79040784629257,8980.604942807284,False,18,2.0695240414130653,17961.209885614568
18,2020-02-09,3,84.79040784629257,8980.604942807284,False,19,2.3704455049567685,17961.209885614568
19,2020-02-10,3,84.79040784629257,8980.604942807284,False,20,2.7151161761579226,17961.209885614568
20,2020-02-11,3,84.79040784629257,8980.604942807284,False,21,3.109894432351209,17961.209885614568
21,2020-02-12,3,84.79040784629257,8980.604942807284,False,22,3.56206211451288,17961.209885614568
22,2020-02-13,3,84.79040784629257,8980.604942807284,False,23,4.079958446411776,17961.209885614568
23,2020-02-14,3,84.79040784629257,8980.604942807284,False,24,4.673133311853057,17961.209885614568
24,2020-02-15,3,84.79040784629257,8980.604942807284,False,25,5.352522668683292,17961.209885614568
25,2020-02-16,3,84.79040784629257,8980.604942807284,False,26,6.13064927096024,17961.209885614568
26,2020-02-17,3,84.79040784629257,8980.604942807284,False,27,7.0218523170115335,17961.209885614568
27,2020-02-18,3,84.79040784629257,8980.604942807284,False,28,8.04255014771362,17961.209885614568
28,2020-02-19,3,84.79040784629257,8980.604942807284,False,29,9.211540693552454,17961.209885614568
29,2020-02-20,3,84.79040784629257,8980.604942807284,False,30,10.550345018844466,17961.209885614568
30,2020-02-21,3,84.79040784629257,8980.604942807284,False,31,12.08360004544647,17961.209885614568
31,2020-02-22,3,84.79040784629257,8980.604942807284,False,32,13.839507365406094,17961.209885614568
