,Report_Date,Australia_south australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.52678082693333,345.3252956267474,True,1,0.00813108179415182,610.9086642672102
1,2020-01-23,0,70.52678082693333,345.3252956267474,True,2,0.009572876985463313,610.9086642672102
2,2020-01-24,0,70.52678082693333,345.3252956267474,True,3,0.01127032566835448,610.9086642672102
3,2020-01-25,0,70.52678082693333,345.3252956267474,True,4,0.013268757710646948,610.9086642672102
4,2020-01-26,0,70.52678082693333,345.3252956267474,True,5,0.015621539787815617,610.9086642672102
5,2020-01-27,0,70.52678082693333,345.3252956267474,True,6,0.018391500037360835,610.9086642672102
6,2020-01-28,0,70.52678082693333,345.3252956267474,True,7,0.021652605163559928,610.9086642672102
7,2020-01-29,0,70.52678082693333,345.3252956267474,True,8,0.025491934691304518,610.9086642672102
8,2020-01-30,0,70.52678082693333,345.3252956267474,True,9,0.03001200496823377,610.9086642672102
9,2020-01-31,0,70.52678082693333,345.3252956267474,True,10,0.03533350480595302,610.9086642672102
10,2020-02-01,1,70.52678082693333,345.3252956267474,True,11,0.04159851557664699,610.9086642672102
11,2020-02-02,2,70.52678082693333,345.3252956267474,True,12,0.048974301425324315,610.9086642672102
12,2020-02-03,2,70.52678082693333,345.3252956267474,True,13,0.057657770353142956,610.9086642672102
13,2020-02-04,2,70.52678082693333,345.3252956267474,True,14,0.06788072466285561,610.9086642672102
14,2020-02-05,2,70.52678082693333,345.3252956267474,True,15,0.07991604008757508,610.9086642672102
15,2020-02-06,2,70.52678082693333,345.3252956267474,True,16,0.09408493737812842,610.9086642672102
16,2020-02-07,2,70.52678082693333,345.3252956267474,True,17,0.11076553881798462,610.9086642672102
17,2020-02-08,2,70.52678082693333,345.3252956267474,True,18,0.13040293578269077,610.9086642672102
18,2020-02-09,2,70.52678082693333,345.3252956267474,True,19,0.15352103288994032,610.9086642672102
19,2020-02-10,2,70.52678082693333,345.3252956267474,True,20,0.18073648045069546,610.9086642672102
20,2020-02-11,2,70.52678082693333,345.3252956267474,True,21,0.21277506092685275,610.9086642672102
21,2020-02-12,2,70.52678082693333,345.3252956267474,True,22,0.2504909581789288,610.9086642672102
22,2020-02-13,2,70.52678082693333,345.3252956267474,True,23,0.294889411870075,610.9086642672102
23,2020-02-14,2,70.52678082693333,345.3252956267474,True,24,0.3471533450823881,610.9086642672102
24,2020-02-15,2,70.52678082693333,345.3252956267474,True,25,0.4086746527844496,610.9086642672102
25,2020-02-16,2,70.52678082693333,345.3252956267474,True,26,0.48109095423140613,610.9086642672102
26,2020-02-17,2,70.52678082693333,345.3252956267474,True,27,0.5663287458063834,610.9086642672102
27,2020-02-18,2,70.52678082693333,345.3252956267474,True,28,0.6666540444672957,610.9086642672102
28,2020-02-19,2,70.52678082693333,345.3252956267474,True,29,0.7847317881291553,610.9086642672102
29,2020-02-20,2,70.52678082693333,345.3252956267474,True,30,0.9236954601866793,610.9086642672102
30,2020-02-21,2,70.52678082693333,345.3252956267474,True,31,1.0872286328818828,610.9086642672102
31,2020-02-22,2,70.52678082693333,345.3252956267474,True,32,1.279660379686282,610.9086642672102
32,2020-02-23,2,70.52678082693333,345.3252956267474,True,33,1.5060767906263328,610.9086642672102
33,2020-02-24,2,70.52678082693333,345.3252956267474,True,34,1.7724511352256196,610.9086642672102
34,2020-02-25,2,70.52678082693333,345.3252956267474,True,35,2.085795551635536,610.9086642672102
35,2020-02-26,2,70.52678082693333,345.3252956267474,True,36,2.4543374899794674,610.9086642672102
36,2020-02-27,2,70.52678082693333,345.3252956267474,True,37,2.88772448986907,610.9086642672102
37,2020-02-28,2,70.52678082693333,345.3252956267474,True,38,3.397261205586309,610.9086642672102
38,2020-02-29,3,70.52678082693333,345.3252956267474,True,39,3.996182875756416,610.9086642672102
39,2020-03-01,3,70.52678082693333,345.3252956267474,True,40,4.6999696206141035,610.9086642672102
40,2020-03-02,3,70.52678082693333,345.3252956267474,True,41,5.526705971953273,610.9086642672102
41,2020-03-03,3,70.52678082693333,345.3252956267474,True,42,6.497489804171471,610.9086642672102
42,2020-03-04,5,70.52678082693333,345.3252956267474,True,43,7.636894209648985,610.9086642672102
43,2020-03-05,5,70.52678082693333,345.3252956267474,True,44,8.973484672960879,610.9086642672102
44,2020-03-06,7,70.52678082693333,345.3252956267474,True,45,10.540391914898377,610.9086642672102
45,2020-03-07,7,70.52678082693333,345.3252956267474,True,46,12.375937700715271,610.9086642672102
46,2020-03-08,7,70.52678082693333,345.3252956267474,True,47,14.524306363291839,610.9086642672102
47,2020-03-09,7,70.52678082693333,345.3252956267474,True,48,17.036248328108858,610.9086642672102
48,2020-03-10,7,70.52678082693333,345.3252956267474,True,49,19.969793020589062,610.9086642672102
49,2020-03-11,9,70.52678082693333,345.3252956267474,True,50,23.39093662664663,610.9086642672102
50,2020-03-12,9,70.52678082693333,345.3252956267474,True,51,27.374254732097334,610.9086642672102
51,2020-03-13,16,70.52678082693333,345.3252956267474,True,52,32.00337050468302,610.9086642672102
52,2020-03-14,19,70.52678082693333,345.3252956267474,True,53,37.37118577335653,610.9086642672102
53,2020-03-15,20,70.52678082693333,345.3252956267474,True,54,43.57975572425277,610.9086642672102
54,2020-03-16,29,70.52678082693333,345.3252956267474,True,55,50.739659660496855,610.9086642672102
55,2020-03-17,29,70.52678082693333,345.3252956267474,True,56,58.96869364203231,610.9086642672102
56,2020-03-18,37,70.52678082693333,345.3252956267474,True,57,68.38969126349771,610.9086642672102
